user_category,product_id,product_url,product_name,price,discounted_price,image_urls,filename
men_accessories,GUF00234.F002297.81987,/us/en/military-green-laces-with-contrasting-orange-%E2%80%98laces%E2%80%99-lettering-cod-GUF00234.F002297.81987.html,Military-green laces with contrasting orange ‘Laces’ lettering,$70,,"https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F002297-81987.jpg?im=Resize=(1200), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F002297-81987.jpg?im=Resize=(1000), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F002297-81987.jpg?im=Resize=(800), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F002297-81987.jpg?im=Resize=(800), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F002297-81987.jpg?im=Resize=(800), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F002297-81987.jpg?im=Resize=(600), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F002297-81987.jpg?im=Resize=(800), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F002297-81987.jpg?im=Resize=(800), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F002297-81987.jpg?im=Resize=(600)",men_accessories.html
men_accessories,GUF00234.F003966.81991,/us/en/dark-gray-lurex-laces-with-contrasting-gold-stars-cod-GUF00234.F003966.81991.html,Dark gray Lurex laces with contrasting gold stars,$70,,"https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F003966-81991.jpg?im=Resize=(1200), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F003966-81991.jpg?im=Resize=(1000), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F003966-81991.jpg?im=Resize=(800), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F003966-81991.jpg?im=Resize=(800), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F003966-81991.jpg?im=Resize=(800), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F003966-81991.jpg?im=Resize=(600), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F003966-81991.jpg?im=Resize=(800), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F003966-81991.jpg?im=Resize=(800), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F003966-81991.jpg?im=Resize=(600)",men_accessories.html
men_accessories,GUF00234.F003965.81991,/us/en/dark-gray-lurex-laces-with-contrasting-gold-colored-logo-cod-GUF00234.F003965.81991.html,Dark gray Lurex laces with contrasting gold-colored logo,$70,,"https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F003965-81991.jpg?im=Resize=(1200), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F003965-81991.jpg?im=Resize=(1000), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F003965-81991.jpg?im=Resize=(800), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F003965-81991.jpg?im=Resize=(800), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F003965-81991.jpg?im=Resize=(800), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F003965-81991.jpg?im=Resize=(600), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F003965-81991.jpg?im=Resize=(800), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F003965-81991.jpg?im=Resize=(800), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F003965-81991.jpg?im=Resize=(600)",men_accessories.html
men_accessories,GUF00234.F002350.81424,/us/en/beige-and-brown-leopard-print-laces-with-contrasting-white-stars-cod-GUF00234.F002350.81424.html,Beige and brown leopard-print laces with contrasting white stars,$70,,"https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F002350-81424.jpg?im=Resize=(1200), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F002350-81424.jpg?im=Resize=(1000), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F002350-81424.jpg?im=Resize=(800), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F002350-81424.jpg?im=Resize=(800), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F002350-81424.jpg?im=Resize=(800), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F002350-81424.jpg?im=Resize=(600), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F002350-81424.jpg?im=Resize=(800), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F002350-81424.jpg?im=Resize=(800), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F002350-81424.jpg?im=Resize=(600)",men_accessories.html
men_accessories,GUF00234.F003957.81982,/us/en/black-and-white-animal-print-laces-with-contrasting-gold-colored-logo-cod-GUF00234.F003957.81982.html,Black and white animal-print laces with contrasting gold-colored logo,$70,,"https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F003957-81982.jpg?im=Resize=(1200), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F003957-81982.jpg?im=Resize=(1000), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F003957-81982.jpg?im=Resize=(800), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F003957-81982.jpg?im=Resize=(800), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F003957-81982.jpg?im=Resize=(800), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F003957-81982.jpg?im=Resize=(600), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F003957-81982.jpg?im=Resize=(800), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F003957-81982.jpg?im=Resize=(800), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F003957-81982.jpg?im=Resize=(600)",men_accessories.html
men_accessories,GUF00234.F002297.60317,/us/en/ice-colored-laces-with-contrasting-black-%E2%80%98laces%E2%80%99-lettering-cod-GUF00234.F002297.60317.html,Ice-colored laces with contrasting black ‘Laces’ lettering,$70,,"https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F002297-60317.jpg?im=Resize=(1200), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F002297-60317.jpg?im=Resize=(1000), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F002297-60317.jpg?im=Resize=(800), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F002297-60317.jpg?im=Resize=(800), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F002297-60317.jpg?im=Resize=(800), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F002297-60317.jpg?im=Resize=(600), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F002297-60317.jpg?im=Resize=(800), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F002297-60317.jpg?im=Resize=(800), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F002297-60317.jpg?im=Resize=(600)",men_accessories.html
men_accessories,GUF00234.F002292.81296,/us/en/multicolor-lurex-laces-with-black-stars-cod-GUF00234.F002292.81296.html,Multicolor lurex laces with black stars,$70,,"https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F002292-81296.jpg?im=Resize=(1200), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F002292-81296.jpg?im=Resize=(1000), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F002292-81296.jpg?im=Resize=(800), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F002292-81296.jpg?im=Resize=(800), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F002292-81296.jpg?im=Resize=(800), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F002292-81296.jpg?im=Resize=(600), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F002292-81296.jpg?im=Resize=(800), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F002292-81296.jpg?im=Resize=(800), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F002292-81296.jpg?im=Resize=(600)",men_accessories.html
men_accessories,GUP00911.P000489.10283,/us/en/white-star-collection-socks-with-contrasting-black-star-cod-GUP00911.P000489.10283.html,White Star Collection socks with contrasting black star,$70,,"https://static2.goldengoose.com/public/Style/ECOMM/GUP00911.P000489-10283.jpg?im=Resize=(1200), https://static2.goldengoose.com/public/Style/ECOMM/GUP00911.P000489-10283.jpg?im=Resize=(1000), https://static2.goldengoose.com/public/Style/ECOMM/GUP00911.P000489-10283.jpg?im=Resize=(800), https://static2.goldengoose.com/public/Style/ECOMM/GUP00911.P000489-10283.jpg?im=Resize=(800), https://static2.goldengoose.com/public/Style/ECOMM/GUP00911.P000489-10283.jpg?im=Resize=(800), https://static2.goldengoose.com/public/Style/ECOMM/GUP00911.P000489-10283.jpg?im=Resize=(600), https://static2.goldengoose.com/public/Style/ECOMM/GUP00911.P000489-10283.jpg?im=Resize=(800), https://static2.goldengoose.com/public/Style/ECOMM/GUP00911.P000489-10283.jpg?im=Resize=(800), https://static2.goldengoose.com/public/Style/ECOMM/GUP00911.P000489-10283.jpg?im=Resize=(600)",men_accessories.html
men_accessories,GUF00234.F003963.81989,/us/en/purple-laces-with-decorations-and-contrasting-gold-stars-cod-GUF00234.F003963.81989.html,Purple laces with decorations and contrasting gold stars,$70,,"https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F003963-81989.jpg?im=Resize=(1200), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F003963-81989.jpg?im=Resize=(1000), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F003963-81989.jpg?im=Resize=(800), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F003963-81989.jpg?im=Resize=(800), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F003963-81989.jpg?im=Resize=(800), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F003963-81989.jpg?im=Resize=(600), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F003963-81989.jpg?im=Resize=(800), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F003963-81989.jpg?im=Resize=(800), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F003963-81989.jpg?im=Resize=(600)",men_accessories.html
men_accessories,GUF00234.F003961.81983,/us/en/green-and-black-zebra-print-laces-with-contrasting-silver-colored-logo-cod-GUF00234.F003961.81983.html,Green and black zebra-print laces with contrasting silver-colored logo,$70,,"https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F003961-81983.jpg?im=Resize=(1200), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F003961-81983.jpg?im=Resize=(1000), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F003961-81983.jpg?im=Resize=(800), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F003961-81983.jpg?im=Resize=(800), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F003961-81983.jpg?im=Resize=(800), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F003961-81983.jpg?im=Resize=(600), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F003961-81983.jpg?im=Resize=(800), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F003961-81983.jpg?im=Resize=(800), https://static2.goldengoose.com/public/Style/ECOMM/GUF00234.F003961-81983.jpg?im=Resize=(600)",men_accessories.html
