category,product_name,product_id,product_url,image_url,full_price,discount_price,availability,filename
men_clothing,arrow bowling shirt,,https://www.off---white.com/en-us/shopping/off-white-arrow-bowling-shirt-22103364,https://cdn-images.farfetch-contents.com/off-white-arrow-bowling-shirt_22103364_52361923_800.jpg?c=3,$600,$390,In stock,men_clothing.html
men_clothing,arrow stripes bowling shirt,,https://www.off---white.com/en-us/shopping/off-white-arrow-stripes-bowling-shirt-22103354,https://cdn-images.farfetch-contents.com/off-white-arrow-stripes-bowling-shirt_22103354_52361890_800.jpg?c=3,$790,$514,In stock,men_clothing.html
men_clothing,arrow stripes shorts,,https://www.off---white.com/en-us/shopping/off-white-arrow-stripes-shorts-22103313,https://cdn-images.farfetch-contents.com/off-white-arrow-stripes-shorts_22103313_52361841_800.jpg?c=3,$790,$514,In stock,men_clothing.html
men_clothing,90slogo denim overshirt,,https://www.off---white.com/en-us/shopping/off-white-90slogo-denim-overshirt-22102696,https://cdn-images.farfetch-contents.com/off-white-90slogo-denim-overshirt_22102696_52361299_800.jpg?c=3,"$1,125",$731,In stock,men_clothing.html
men_clothing,90slogo lea mesh hoodie,,https://www.off---white.com/en-us/shopping/off-white-90slogo-lea-mesh-hoodie-22103435,https://cdn-images.farfetch-contents.com/off-white-90slogo-lea-mesh-hoodie_22103435_52940346_800.jpg?c=3,"$3,200","$2,100",In stock,men_clothing.html
men_clothing,skyline knit vest,,https://www.off---white.com/en-us/shopping/off-white-skyline-knit-vest-22103379,https://cdn-images.farfetch-contents.com/off-white-skyline-knit-vest_22103379_52940333_800.jpg?c=3,"$1,125",$731,In stock,men_clothing.html
men_clothing,natlover lea mesh basket s/s,,https://www.off---white.com/en-us/shopping/off-white-natlover-lea-mesh-basket-s-s-22103438,https://cdn-images.farfetch-contents.com/off-white-natlover-lea-mesh-basket-s-s_22103438_52940354_800.jpg?c=3,"$2,500","$1,635",In stock,men_clothing.html
men_clothing,natlover super baggy jeans,,https://www.off---white.com/en-us/shopping/off-white-natlover-super-baggy-jeans-22103517,https://cdn-images.farfetch-contents.com/off-white-natlover-super-baggy-jeans_22103517_52362348_800.jpg?c=3,"$1,250",$813,In stock,men_clothing.html
men_clothing,stars denim shorts,,https://www.off---white.com/en-us/shopping/off-white-stars-denim-shorts-22103518,https://cdn-images.farfetch-contents.com/off-white-stars-denim-shorts_22103518_52362354_800.jpg?c=3,"$1,125",$732,In stock,men_clothing.html
men_clothing,ironic quote over s/s tee,,https://www.off---white.com/en-us/shopping/off-white-ironic-quote-over-s-s-tee-21832115,https://cdn-images.farfetch-contents.com/off-white-ironic-quote-over-s-s-tee_21832115_51811003_800.jpg?c=3,$380,$247,In stock,men_clothing.html
men_clothing,football over hoodie,,https://www.off---white.com/en-us/shopping/off-white-football-over-hoodie-21833049,https://cdn-images.farfetch-contents.com/off-white-football-over-hoodie_21833049_51811550_800.jpg?c=3,"$1,050",$683,In stock,men_clothing.html
men_clothing,90s logo baggy tapered jeans,,https://www.off---white.com/en-us/shopping/off-white-90s-logo-baggy-tapered-jeans-22103513,https://cdn-images.farfetch-contents.com/off-white-90s-logo-baggy-tapered-jeans_22103513_52362335_800.jpg?c=3,"$1,050",$683,In stock,men_clothing.html
men_clothing,arrow learher trackpant,,https://www.off---white.com/en-us/shopping/off-white-arrow-learher-trackpant-21833055,https://cdn-images.farfetch-contents.com/off-white-arrow-learher-trackpant_21833055_53340851_800.jpg?c=3,"$2,250","$1,463",In stock,men_clothing.html
men_clothing,90s logo bowling shirt,,https://www.off---white.com/en-us/shopping/off-white-90s-logo-bowling-shirt-22103360,https://cdn-images.farfetch-contents.com/off-white-90s-logo-bowling-shirt_22103360_52408409_800.jpg?c=3,$790,$514,In stock,men_clothing.html
men_clothing,bandana bowling shirt,,https://www.off---white.com/en-us/shopping/off-white-bandana-bowling-shirt-22103359,https://cdn-images.farfetch-contents.com/off-white-bandana-bowling-shirt_22103359_52361902_800.jpg?c=3,$895,$582,In stock,men_clothing.html
men_clothing,arrow stripes western shirt,,https://www.off---white.com/en-us/shopping/off-white-arrow-stripes-western-shirt-22103353,https://cdn-images.farfetch-contents.com/off-white-arrow-stripes-western-shirt_22103353_52408358_800.jpg?c=3,$850,$553,In stock,men_clothing.html
men_clothing,corp slim jacket,,https://www.off---white.com/en-us/shopping/off-white-corp-slim-jacket-21519129,https://cdn-images.farfetch-contents.com/off-white-corp-slim-jacket_21519129_47505983_800.jpg?c=3,"$1,525",,In stock,men_clothing.html
men_clothing,skyline leather over varsity,,https://www.off---white.com/en-us/shopping/off-white-skyline-leather-over-varsity-22102584,https://cdn-images.farfetch-contents.com/off-white-skyline-leather-over-varsity_22102584_52361174_800.jpg?c=3,"$4,500","$2,925",In stock,men_clothing.html
men_clothing,varsity net knit tank,,https://www.off---white.com/en-us/shopping/off-white-varsity-net-knit-tank-22102534,https://cdn-images.farfetch-contents.com/off-white-varsity-net-knit-tank_22102534_52940066_800.jpg?c=3,$990,$644,In stock,men_clothing.html
men_clothing,23 pinst buffalo slim pant,,https://www.off---white.com/en-us/shopping/off-white-23-pinst-buffalo-slim-pant-22103326,https://cdn-images.farfetch-contents.com/off-white-23-pinst-buffalo-slim-pant_22103326_52361861_800.jpg?c=3,"$1,450",$943,In stock,men_clothing.html
men_clothing,xray cargo swimshorts,,https://www.off---white.com/en-us/shopping/off-white-xray-cargo-swimshorts-22103350,https://cdn-images.farfetch-contents.com/off-white-xray-cargo-swimshorts_22103350_52940320_800.jpg?c=3,$695,$452,In stock,men_clothing.html
men_clothing,90s logo super baggy jeans,,https://www.off---white.com/en-us/shopping/off-white-90s-logo-super-baggy-jeans-22102689,https://cdn-images.farfetch-contents.com/off-white-90s-logo-super-baggy-jeans_22102689_52361255_800.jpg?c=3,"$1,250",$813,In stock,men_clothing.html
men_clothing,23 logo skate crewneck,,https://www.off---white.com/en-us/shopping/off-white-23-logo-skate-crewneck-21255509,https://cdn-images.farfetch-contents.com/off-white-23-logo-skate-crewneck_21255509_47463004_800.jpg?c=3,$850,$553,In stock,men_clothing.html
men_clothing,bandana viscose shorts,,https://www.off---white.com/en-us/shopping/off-white-bandana-viscose-shorts-22103319,https://cdn-images.farfetch-contents.com/off-white-bandana-viscose-shorts_22103319_52940313_800.jpg?c=3,$895,$582,In stock,men_clothing.html
men_clothing,90slogo linen baggy tapered pants,,https://www.off---white.com/en-us/shopping/off-white-90slogo-linen-baggy-tapered-pants-22103320,https://cdn-images.farfetch-contents.com/off-white-90slogo-linen-baggy-tapered-pants_22103320_52361851_800.jpg?c=3,$790,$514,In stock,men_clothing.html
men_clothing,cryst windows over den shirt,,https://www.off---white.com/en-us/shopping/off-white-cryst-windows-over-den-shirt-21255526,https://cdn-images.farfetch-contents.com/off-white-cryst-windows-over-den-shirt_21255526_52939559_800.jpg?c=3,"$1,995","$1,297",In stock,men_clothing.html
men_clothing,cryst windows crop flare jeans,,https://www.off---white.com/en-us/shopping/off-white-cryst-windows-crop-flare-jeans-21255525,https://cdn-images.farfetch-contents.com/off-white-cryst-windows-crop-flare-jeans_21255525_52939553_800.jpg?c=3,"$2,180","$1,417",In stock,men_clothing.html
