product_id,product_name,price,category,image_urls,product_url,colors,filename
P25M35_130N_F0035_S_OOO,Shetland wool cardigan,"$ 4,200",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P25/P25M35/130NF0035/P25M35_130N_F0035_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/P/P25/P25M35/130NF0035/P25M35_130N_F0035_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/shetland-wool-cardigan/P25M35_130N_F0035_S_OOO,,ready_to_wear.html
21470_130N_F0035_S_OOO,Shetland wool miniskirt,"$ 2,150",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/2/214/21470/130NF0035/21470_130N_F0035_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/2/214/21470/130NF0035/21470_130N_F0035_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/shetland-wool-miniskirt/21470_130N_F0035_S_OOO,"rgb(226, 226, 205), rgb(244, 227, 235)",ready_to_wear.html
P3L12R_13YF_F0164_S_OOO,Embroidered tulle dress,"$ 6,500",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P3L/P3L12R/13YFF0164/P3L12R_13YF_F0164_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/P/P3L/P3L12R/13YFF0164/P3L12R_13YF_F0164_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/embroidered-tulle-dress/P3L12R_13YF_F0164_S_OOO,,ready_to_wear.html
P253H_1344_F0F24_S_OOO,Organza pants,"$ 1,990",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P25/P253H/1344F0F24/P253H_1344_F0F24_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/P/P25/P253H/1344F0F24/P253H_1344_F0F24_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/organza-pants/P253H_1344_F0F24_S_OOO,,ready_to_wear.html
291805_11A9_F0009_S_222,Re-Nylon cropped convertible down jacket,"$ 2,500",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/2/291/291805/11A9F0009/291805_11A9_F0009_S_222_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/2/291/291805/11A9F0009/291805_11A9_F0009_S_222_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/re-nylon-cropped-convertible-down-jacket/291805_11A9_F0009_S_222,"rgb(255, 255, 255), rgb(204, 221, 232), rgb(0, 0, 0)",ready_to_wear.html
P24C2E_130M_F0040_S_OOO,Cashmere crew-neck sweater,"$ 2,050",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P24/P24C2E/130MF0040/P24C2E_130M_F0040_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/P/P24/P24C2E/130MF0040/P24C2E_130M_F0040_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/cashmere-crew-neck-sweater/P24C2E_130M_F0040_S_OOO,,ready_to_wear.html
P104JR_13YF_F0164_S_OOO,Sequined midi-skirt,"$ 4,600",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P10/P104JR/13YFF0164/P104JR_13YF_F0164_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/P/P10/P104JR/13YFF0164/P104JR_13YF_F0164_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/sequined-midi-skirt-/P104JR_13YF_F0164_S_OOO,,ready_to_wear.html
P25M36_136E_F0A48_S_OOO,Cashmere and wool cardigan with sequins,"$ 5,600",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P25/P25M36/136EF0A48/P25M36_136E_F0A48_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/P/P25/P25M36/136EF0A48/P25M36_136E_F0A48_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/cashmere-and-wool-cardigan-with-sequins/P25M36_136E_F0A48_S_OOO,,ready_to_wear.html
P29A75_136L_F0065_S_OOO,Sleeveless wool and cashmere top,"$ 3,600",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P29/P29A75/136LF0065/P29A75_136L_F0065_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/P/P29/P29A75/136LF0065/P29A75_136L_F0065_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/sleeveless-wool-and-cashmere-top/P29A75_136L_F0065_S_OOO,,ready_to_wear.html
P29A81_136D_F0F24_S_OOO,Sleeveless wool and cashmere top,"$ 1,790",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P29/P29A81/136DF0F24/P29A81_136D_F0F24_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/P/P29/P29A81/136DF0F24/P29A81_136D_F0F24_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/sleeveless-wool-and-cashmere-top/P29A81_136D_F0F24_S_OOO,,ready_to_wear.html
P244HR_13YF_F0164_S_OOO,Sequined tulle panties,"$ 2,750",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/P/P24/P244HR/13YFF0164/P244HR_13YF_F0164_S_OOO_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/P/P24/P244HR/13YFF0164/P244HR_13YF_F0164_S_OOO_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/sequined-tulle-panties/P244HR_13YF_F0164_S_OOO,,ready_to_wear.html
291973_11A9_F0009_S_212,Re-Nylon convertible cropped down jacket,"$ 2,650",ready_to_wear,"https://www.prada.com/content/dam/pradabkg_products/2/291/291973/11A9F0009/291973_11A9_F0009_S_212_MDF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,, https://www.prada.com/content/dam/pradabkg_products/2/291/291973/11A9F0009/291973_11A9_F0009_S_212_SLF.jpg/_jcr_content/renditions/cq5dam.web.hebebed.600.600.jpg,",/us/en/p/re-nylon-convertible-cropped-down-jacket/291973_11A9_F0009_S_212,"rgb(255, 255, 255), rgb(0, 0, 0)",ready_to_wear.html
