product_id,product_name,price,category,image_urls,product_url,filename
1201525_h924,Sneakers - Calf leather and specchio leather - Bianco - Women,$945.00,women_essentials_2,https://us.christianlouboutin.com/media/catalog/product/cache/e88e85f4e5336c618abbd9e5f93aeaf8/1/2/1201525h924-1201525h924-main_image-ecommerce-christianlouboutin-vieira2-1201525_h924_1_1200x1200.jpg,https://us.christianlouboutin.com/us_en/vieira-2-bianco-silver-1201525h924.html,women_essentials_2.html
1240215_b439,#mostwanted,$845.00,women_essentials_2,https://us.christianlouboutin.com/media/catalog/product/cache/e88e85f4e5336c618abbd9e5f93aeaf8/1/2/1240215b439-1240215b439-main_image-ecommerce-christianlouboutin-sweetjane-1240215_b439_1_1200x1200.jpg,https://us.christianlouboutin.com/us_en/sweet-jane-black-lin-black-1240215b439.html,women_essentials_2.html
3230574_b439,55 mm Sling back pumps - Veau velours - Black - Women,$895.00,women_essentials_2,https://us.christianlouboutin.com/media/catalog/product/cache/e88e85f4e5336c618abbd9e5f93aeaf8/3/2/3230574b439-3230574b439-main_image-ecommerce-christianlouboutin-sojanesling-3230574_b439_1_1200x1200_202305312143.jpg,https://us.christianlouboutin.com/us_en/so-jane-sling-black-lin-black-3230574b439.html,women_essentials_2.html
1240666_b439,Sandals - Nappa leather - Black - Women,$845.00,women_essentials_2,https://us.christianlouboutin.com/media/catalog/product/cache/e88e85f4e5336c618abbd9e5f93aeaf8/1/2/1240666b439-1240666b439-main_image-ecommerce-christianlouboutin-sweetjanesandal-1240666_b439_1_1200x1200_202310102156.jpg,https://us.christianlouboutin.com/us_en/sweet-jane-sandal-black-lin-black-1240666b439.html,women_essentials_2.html
1240926_g306,Sandals - Iridescent nappa leather - Platine - Women,$895.00,women_essentials_2,https://us.christianlouboutin.com/media/catalog/product/cache/e88e85f4e5336c618abbd9e5f93aeaf8/1/2/1240926g306-1240926g306-main_image-ecommerce-christianlouboutin-sweetjanesandal-1240926_g306_1_1200x1200_202402222245.jpg,https://us.christianlouboutin.com/us_en/sweet-jane-sandal-platine-lin-platine-1240926g306.html,women_essentials_2.html
1220145_f608,55 mm Mary Janes - Patent calf - Leche - Women,$895.00,women_essentials_2,https://us.christianlouboutin.com/media/catalog/product/cache/e88e85f4e5336c618abbd9e5f93aeaf8/1/2/1220145f608-1220145f608-main_image-ecommerce-christianlouboutin-missjane-1220145_f608_1_1200x1200.jpg,https://us.christianlouboutin.com/us_en/miss-jane-leche-lin-leche-1220145f608.html,women_essentials_2.html
3230572_w302,70mm Sling back pumps - Nappa leather - Bianco - Women,$895.00,women_essentials_2,https://us.christianlouboutin.com/media/catalog/product/cache/e88e85f4e5336c618abbd9e5f93aeaf8/3/2/3230572w302-3230572w302-main_image-ecommerce-christianlouboutin-hotchicksling-3230572_w302_1_1200x1200_202310102156.jpg,https://us.christianlouboutin.com/us_en/hot-chick-sling-bianco-lin-bianco-3230572w302.html,women_essentials_2.html
1190911_w222,#mostwanted,$845.00,women_essentials_2,https://us.christianlouboutin.com/media/catalog/product/cache/e88e85f4e5336c618abbd9e5f93aeaf8/1/1/1190911w222-1190911w222-main_image-ecommerce-christianlouboutin-hotchick-1190911_w222_1_1200x1200.jpg,https://us.christianlouboutin.com/us_en/hot-chick-bianco-1190911w222.html,women_essentials_2.html
3190044_w222,#mostwanted,$795.00,women_essentials_2,https://us.christianlouboutin.com/media/catalog/product/cache/e88e85f4e5336c618abbd9e5f93aeaf8/3/1/3190044w222-3190044w222-main_image-ecommerce-christianlouboutin-kate-3190044_w222_1_1200x1200.jpg,https://us.christianlouboutin.com/us_en/kate-bianco-3190044w222.html,women_essentials_2.html
3190048_w222,100 mm Pumps - Nappa leather - Bianco - Women,$795.00,women_essentials_2,https://us.christianlouboutin.com/media/catalog/product/cache/e88e85f4e5336c618abbd9e5f93aeaf8/3/1/3190048w222-3190048w222-main_image-ecommerce-christianlouboutin-kate-3190048_w222_1_1200x1200.jpg,https://us.christianlouboutin.com/us_en/kate-bianco-3190048w222.html,women_essentials_2.html
1210648_w222,85 mm Pumps - Nappa leather - Bianco - Women,$795.00,women_essentials_2,https://us.christianlouboutin.com/media/catalog/product/cache/e88e85f4e5336c618abbd9e5f93aeaf8/1/2/1210648w222-1210648w222-main_image-ecommerce-christianlouboutin-iriza-1210648_w222_1_1200x1200.jpg,https://us.christianlouboutin.com/us_en/iriza-bianco-1210648w222.html,women_essentials_2.html
3235019_w240,Wallet on chain - Grained calf leather and spikes Loubinthesky - Bianco,"$1,290.00",women_essentials_2,https://us.christianlouboutin.com/media/catalog/product/cache/e88e85f4e5336c618abbd9e5f93aeaf8/3/6/3615487776781-3615487776781-main_image-ecommerce-christianlouboutin-palomawoc-3235019_w240_1_1200x1200_202404192202.jpg,https://us.christianlouboutin.com/us_en/paloma-bianco-bianco-3615487776781.html,women_essentials_2.html
3195275_w240,Top handle bag - Grained calf leather and spikes Loubinthesky - Bianco,"$2,890.00",women_essentials_2,https://us.christianlouboutin.com/media/catalog/product/cache/e88e85f4e5336c618abbd9e5f93aeaf8/3/6/3615485321624-3615485321624-main_image-ecommerce-christianlouboutin-palomamedium-3195275_w240_1_1200x1200.jpg,https://us.christianlouboutin.com/us_en/paloma-medium-bianco-bianco-3615485321624.html,women_essentials_2.html
1175018_m039,#mostwanted,"$1,590.00",women_essentials_2,https://us.christianlouboutin.com/media/catalog/product/cache/e88e85f4e5336c618abbd9e5f93aeaf8/3/6/3615484903579-3615484903579-main_image-ecommerce-christianlouboutin-palomaclutch-1175018_m039_1_1200x1200.jpg,https://us.christianlouboutin.com/us_en/paloma-black-multi-3615484903579.html,women_essentials_2.html
