category,product_title,product_price,product_discountedPrice,product_position,product_cod10,product_brand,product_category,product_macro_category,product_micro_category,product_macro_category_id,product_color,product_color_id,product_micro_category_id,product_price_tf,product_discountedPrice_tf,product_quantity,product_coupon,product_is_in_stock,a_href,img,filename
jackets,42330 LINO NYLON TELA-TC,1023,1023,0,16307489WX,STONE ISLAND,224/36839,COATS & JACKETS,LIGHTWEIGHT JACKET,224,Ecru,20695,36839,1023.0,1023.0,1,,True,https://www.stoneisland.com/us/stone-island/lightweight-jacket_cod16307489wx.html#dept=ctsjckts,https://cdn.yoox.biz/16/16307489WX_13_f.jpg,jackets.html
jackets,G06E1 DISSOLVING GRID CAMO ON ECONYL® REGENERATED NYLON WITH PRIMALOFT® INSULATION TECHNOLOGY,1248,1248,1,16352708QB,STONE ISLAND,224/1256,COATS & JACKETS,Vest,224,Ecru,20695,1256,1248.0,1248.0,1,,True,https://www.stoneisland.com/us/stone-island/vest_cod16352708qb.html#dept=ctsjckts,https://cdn.yoox.biz/16/16352708QB_13_f.jpg,jackets.html
jackets,438E1 DISSOLVING GRID CAMO ON ECONYL® REGENERATED NYLON,1640,1640,2,16307469BF,STONE ISLAND,224/36839,COATS & JACKETS,LIGHTWEIGHT JACKET,224,Gray,3155,36839,1640.0,1640.0,1,,True,https://www.stoneisland.com/us/stone-island/lightweight-jacket_cod16307469bf.html#dept=ctsjckts,https://cdn.yoox.biz/16/16307469BF_13_f.jpg,jackets.html
jackets,43935 BIO RASO WITH BIO-ALLOY™ LIGHT COVER-TC AND KNIT,1113,1113,3,16307492PL,STONE ISLAND,224/28298,COATS & JACKETS,BOMBER,224,Dust Gray,20738,28298,1113.0,1113.0,1,,True,https://www.stoneisland.com/us/stone-island/bomber_cod16307492pl.html#dept=ctsjckts,https://cdn.yoox.biz/16/16307492PL_13_f.jpg,jackets.html
jackets,42732 POLYESTER TELA WITH DAVID LIGHT-TC,1038,1038,4,16307525GV,STONE ISLAND,224/36839,COATS & JACKETS,LIGHTWEIGHT JACKET,224,Light Green,3209,36839,1038.0,1038.0,1,,True,https://www.stoneisland.com/us/stone-island/lightweight-jacket_cod16307525gv.html#dept=ctsjckts,None,jackets.html
jackets,41123 MEMBRANA 3L TC,910,910,5,16338805SK,STONE ISLAND,224/36839,COATS & JACKETS,LIGHTWEIGHT JACKET,224,Light Green,3209,36839,910.0,910.0,1,,True,https://www.stoneisland.com/us/stone-island/lightweight-jacket_cod16338805sk.html#dept=ctsjckts,None,jackets.html
jackets,42932 POLYESTER TELA WITH DAVID LIGHT-TC:,985,985,6,16307518MN,STONE ISLAND,224/36839,COATS & JACKETS,LIGHTWEIGHT JACKET,224,Blue,3148,36839,985.0,985.0,1,,True,https://www.stoneisland.com/us/stone-island/lightweight-jacket_cod16307518mn.html#dept=ctsjckts,None,jackets.html
jackets,40327 LIGHT SOFT SHELL-R_e.dye® TECHNOLOGY IN RECYCLED POLYESTER,780,780,7,16306652AJ,STONE ISLAND,224/36839,COATS & JACKETS,LIGHTWEIGHT JACKET,224,Avio Blue,3178,36839,780.0,780.0,1,,True,https://www.stoneisland.com/us/stone-island/lightweight-jacket_cod16306652aj.html#dept=ctsjckts,None,jackets.html
jackets,41123 MEMBRANA 3L TC,910,910,8,16306648XE,STONE ISLAND,224/36839,COATS & JACKETS,LIGHTWEIGHT JACKET,224,Lavender,20709,36839,910.0,910.0,1,,True,https://www.stoneisland.com/us/stone-island/lightweight-jacket_cod16306648xe.html#dept=ctsjckts,None,jackets.html
jackets,41223 MEMBRANA 3L TC,828,828,9,16310884RA,STONE ISLAND,224/36839,COATS & JACKETS,LIGHTWEIGHT JACKET,224,Red,3142,36839,828.0,828.0,1,,True,https://www.stoneisland.com/us/stone-island/lightweight-jacket_cod16310884ra.html#dept=ctsjckts,None,jackets.html
jackets,40227 LIGHT SOFT SHELL-R_e.dye® TECHNOLOGY IN RECYCLED POLYESTER,780,780,10,16306636AS,STONE ISLAND,224/36839,COATS & JACKETS,LIGHTWEIGHT JACKET,224,Red,3142,36839,780.0,780.0,1,,True,https://www.stoneisland.com/us/stone-island/lightweight-jacket_cod16306636as.html#dept=ctsjckts,None,jackets.html
jackets,41123 MEMBRANA 3L TC,910,910,11,16338027XS,STONE ISLAND,224/36839,COATS & JACKETS,LIGHTWEIGHT JACKET,224,Avio Blue,3178,36839,910.0,910.0,1,,True,https://www.stoneisland.com/us/stone-island/lightweight-jacket_cod16338027xs.html#dept=ctsjckts,None,jackets.html
jackets,41920 NYLON METAL WATRO-TC IN ECONYL® REGENERATED NYLON,985,985,12,16307477TL,STONE ISLAND,224/36839,COATS & JACKETS,LIGHTWEIGHT JACKET,224,Sky Blue,20728,36839,985.0,985.0,1,,True,https://www.stoneisland.com/us/stone-island/lightweight-jacket_cod16307477tl.html#dept=ctsjckts,None,jackets.html
jackets,42020 NYLON METAL WATRO-TC IN ECONYL® REGENERATED NYLON,1008,1008,13,16307478WK,STONE ISLAND,224/36839,COATS & JACKETS,LIGHTWEIGHT JACKET,224,Sky Blue,20728,36839,1008.0,1008.0,1,,True,https://www.stoneisland.com/us/stone-island/lightweight-jacket_cod16307478wk.html#dept=ctsjckts,None,jackets.html
jackets,40922 GARMENT DYED CRINKLE REPS R-NY ,788,788,14,16307495MJ,STONE ISLAND,224/36839,COATS & JACKETS,LIGHTWEIGHT JACKET,224,Dove Gray,3211,36839,788.0,788.0,1,,True,https://www.stoneisland.com/us/stone-island/lightweight-jacket_cod16307495mj.html#dept=ctsjckts,None,jackets.html
jackets,42424 LOOM WOVEN CHAMBERS R-NYLON DOWN-TC,820,820,15,16306668KB,STONE ISLAND,224/1319,COATS & JACKETS,Jacket,224,Dove Gray,3211,1319,820.0,820.0,1,,True,https://www.stoneisland.com/us/stone-island/jacket_cod16306668kb.html#dept=ctsjckts,None,jackets.html
