product_id,color_id,product_name,product_price,currency,product_color,category,image_urls,product_url,filename,relative_path
4S004CPLP.38NO,38NO,Cat Eye S004 Sunglasses in Acetate with Polarized Lenses; Black,500,USD,Black,ACCESSORIES,"https://twicpics.celine.com/product-prd/images/large/4S004CPLP.38NO_1_LIB_W_V3.jpg, https://twicpics.celine.com/product-prd/images/large/4S004CPLP.38NO_2_LIB_W_V3.jpg",/en-us/celine-shop-women/accessories/sunglasses/cat-eye-s004-sunglasses-in-acetate-with-polarized-lenses-4S004CPLP.38NO.html,_nav=A00010-VIEW-ALL.html,2024-07-10 17-39-54\en-us\celine-shop-women\accessories\_nav=A00010-VIEW-ALL.html
4S004CPLB.38BH,38BH,Cat Eye S004 Sunglasses in Acetate; Black / Havana,460,USD,Black / Havana,ACCESSORIES,"https://twicpics.celine.com/product-prd/images/large/4S004CPLB.38BH_1_FW18_W_V2.jpg, https://twicpics.celine.com/product-prd/images/large/4S004CPLB.38BH_2_FW18_W_V2.jpg",/en-us/celine-shop-women/accessories/sunglasses/cat-eye-s004-sunglasses-in-acetate-4S004CPLB.38BH.html,_nav=A00010-VIEW-ALL.html,2024-07-10 17-39-54\en-us\celine-shop-women\accessories\_nav=A00010-VIEW-ALL.html
4S004CPLB.24GI,24GI,Cat Eye S004 Sunglasses in Acetate; Pink Glitter,460,USD,Pink Glitter,ACCESSORIES,"https://twicpics.celine.com/product-prd/images/large/4S004CPLB.24GI_1_FW23_W.jpg, https://twicpics.celine.com/product-prd/images/large/4S004CPLB.24GI_2_FW23_W.jpg",/en-us/celine-shop-women/accessories/sunglasses/cat-eye-s004-sunglasses-in-acetate-4S004CPLB.24GI.html,_nav=A00010-VIEW-ALL.html,2024-07-10 17-39-54\en-us\celine-shop-women\accessories\_nav=A00010-VIEW-ALL.html
4S264CPLB.24GI,24GI,Cat Eye S264 Sunglasses in Acetate; Pink Glitter,420,USD,Pink Glitter,ACCESSORIES,"https://twicpics.celine.com/product-prd/images/large/4S264CPLB.24GI_1_FW23_W.jpg, https://twicpics.celine.com/product-prd/images/large/4S264CPLB.24GI_2_FW23_W.jpg",/en-us/celine-shop-women/accessories/sunglasses/cat-eye-s264-sunglasses-in-acetate-4S264CPLB.24GI.html,_nav=A00010-VIEW-ALL.html,2024-07-10 17-39-54\en-us\celine-shop-women\accessories\_nav=A00010-VIEW-ALL.html
4S240CPSB.19HD,19HD,Round S240 Sunglasses in Acetate with Crystals; Classic Havana,1050,USD,Classic Havana,ACCESSORIES,"https://twicpics.celine.com/product-prd/images/large/4S240CPSB.19HD_1_FW23_W.jpg, https://twicpics.celine.com/product-prd/images/large/4S240CPSB.19HD_2_FW23_W.jpg",/en-us/celine-shop-women/accessories/sunglasses/round-s240-sunglasses-in-acetate-with-crystals-4S240CPSB.19HD.html,_nav=A00010-VIEW-ALL.html,2024-07-10 17-39-54\en-us\celine-shop-women\accessories\_nav=A00010-VIEW-ALL.html
4S240CPSB.01BC,01BC,Round S240 Sunglasses in Acetate with Crystals; White,1050,USD,White,ACCESSORIES,"https://twicpics.celine.com/product-prd/images/large/4S240CPSB.01BC_1_FW23_W.jpg, https://twicpics.celine.com/product-prd/images/large/4S240CPSB.01BC_2_FW23_W.jpg",/en-us/celine-shop-women/accessories/sunglasses/round-s240-sunglasses-in-acetate-with-crystals-4S240CPSB.01BC.html,_nav=A00010-VIEW-ALL.html,2024-07-10 17-39-54\en-us\celine-shop-women\accessories\_nav=A00010-VIEW-ALL.html
4S002CPLB.38NO,38NO,Oversized S002 Sunglasses in Acetate; Black,460,USD,Black,ACCESSORIES,"https://twicpics.celine.com/product-prd/images/large/4S002CPLB.38NO_1_LIB_W_V3.jpg, https://twicpics.celine.com/product-prd/images/large/4S002CPLB.38NO_2_LIB_W_V3.jpg",/en-us/celine-shop-women/accessories/sunglasses/oversized-s002-sunglasses-in-acetate-4S002CPLB.38NO.html,_nav=A00010-VIEW-ALL.html,2024-07-10 17-39-54\en-us\celine-shop-women\accessories\_nav=A00010-VIEW-ALL.html
4S002CPLP.19TR,19TR,Oversized S002 Sunglasses in Acetate with Polarized Lenses; Red Havana,500,USD,Red Havana,ACCESSORIES,"https://twicpics.celine.com/product-prd/images/large/4S002CPLP.19TR_1_SUM19_W_V2.jpg, https://twicpics.celine.com/product-prd/images/large/4S002CPLP.19TR_2_SUM19_W_V2.jpg",/en-us/celine-shop-women/accessories/sunglasses/oversized-s002-sunglasses-in-acetate-with-polarized-lenses-4S002CPLP.19TR.html,_nav=A00010-VIEW-ALL.html,2024-07-10 17-39-54\en-us\celine-shop-women\accessories\_nav=A00010-VIEW-ALL.html
4S002CPLB.19HL,19HL,Oversized S002 Sunglasses in Acetate; Leopard Havana,460,USD,Leopard Havana,ACCESSORIES,"https://twicpics.celine.com/product-prd/images/large/4S002CPLB.19HL_1_SS24_P2_W.jpg, https://twicpics.celine.com/product-prd/images/large/4S002CPLB.19HL_2_SS24_P2_W.jpg",/en-us/celine-shop-women/accessories/sunglasses/oversized-s002-sunglasses-in-acetate-4S002CPLB.19HL.html,_nav=A00010-VIEW-ALL.html,2024-07-10 17-39-54\en-us\celine-shop-women\accessories\_nav=A00010-VIEW-ALL.html
4S002CPLB.15KT,15KT,Oversized S002 Sunglasses in Acetate; Transparent Khaki,460,USD,Transparent Khaki,ACCESSORIES,"https://twicpics.celine.com/product-prd/images/large/4S002CPLB.15KT_1_SPR20_W_V3.jpg, https://twicpics.celine.com/product-prd/images/large/4S002CPLB.15KT_2_SPR20_W_V3.jpg",/en-us/celine-shop-women/accessories/sunglasses/oversized-s002-sunglasses-in-acetate-4S002CPLB.15KT.html,_nav=A00010-VIEW-ALL.html,2024-07-10 17-39-54\en-us\celine-shop-women\accessories\_nav=A00010-VIEW-ALL.html
