category,product_name,product_id,product_url,image_urls,price,filename
women,AJARAFA,224-1657-0001,https://www.manoloblahnik.com/us/ajarafa-76634.html,"https://www.manoloblahnik.com/media/catalog/product/cache/82a653abdb8f0ea3cfd174c78a0cb793/a/0/a0a73956872eacbf96e9b633bb7bd8ada52d0a02_designer-women-dark-red-suede-pointed-toe-pumps-ajarafa_50.jpg, https://www.manoloblahnik.com/media/catalog/product/cache/82a653abdb8f0ea3cfd174c78a0cb793/e/1/e13bea06768e6de12956031113cb864d5a61b1f0_designer-women-dark-red-suede-pointed-toe-pumps-ajarafa_51.jpg, https://www.manoloblahnik.com/media/catalog/product/cache/82a653abdb8f0ea3cfd174c78a0cb793/d/6/d654ca3d5c2f3c698dea8bb55e2d6c2941340a34_designer-women-dark-red-suede-pointed-toe-pumps-ajarafa_52.jpg, https://www.manoloblahnik.com/media/catalog/product/cache/82a653abdb8f0ea3cfd174c78a0cb793/b/4/b448d87f0c0cdb589d802af04e4c5e00f4a8e622_designer-women-dark-red-suede-pointed-toe-pumps-ajarafa_53.jpg",US$895,women.html
women,RAMIMA,224-1703-0001,https://www.manoloblahnik.com/us/ramima-77035.html,"https://www.manoloblahnik.com/media/catalog/product/cache/82a653abdb8f0ea3cfd174c78a0cb793/0/6/067e78de879b2be803833519579511ca3c60acb0_designer-women-dark-red-satin-mary-jane-pumps-ramima_50.jpg, https://www.manoloblahnik.com/media/catalog/product/cache/82a653abdb8f0ea3cfd174c78a0cb793/a/2/a26d0eb44ddb6c857ad5ca661a359470e88970cd_designer-women-dark-red-satin-mary-jane-pumps-ramima_51.jpg, https://www.manoloblahnik.com/media/catalog/product/cache/82a653abdb8f0ea3cfd174c78a0cb793/5/b/5b96ebe5c7a6a6104306f484cbe513a8d7d7898d_designer-women-dark-red-satin-mary-jane-pumps-ramima_52.jpg, https://www.manoloblahnik.com/media/catalog/product/cache/82a653abdb8f0ea3cfd174c78a0cb793/e/3/e30f0d42f93160921b22a23136a8b58d9ae46988_designer-women-dark-red-satin-mary-jane-pumps-ramima_53.jpg",US$945,women.html
women,PELAGALO,224-1603-0002,https://www.manoloblahnik.com/us/pelagalo-76211.html,"https://www.manoloblahnik.com/media/catalog/product/cache/82a653abdb8f0ea3cfd174c78a0cb793/2/e/2e6d3af4cc30ceca8d5f47f354cf6d4ffa4a6069_designer-women-dark-red-nappa-leather-slingback-pumps-pelagalo_50.jpg, https://www.manoloblahnik.com/media/catalog/product/cache/82a653abdb8f0ea3cfd174c78a0cb793/6/3/63730290af541abb33b10bdda2b660fe1968e596_designer-women-dark-red-nappa-leather-slingback-pumps-pelagalo_51.jpg, https://www.manoloblahnik.com/media/catalog/product/cache/82a653abdb8f0ea3cfd174c78a0cb793/6/0/6085da0c1be5a146d509895b4922ba1bae36e764_designer-women-dark-red-nappa-leather-slingback-pumps-pelagalo_52.jpg, https://www.manoloblahnik.com/media/catalog/product/cache/82a653abdb8f0ea3cfd174c78a0cb793/d/1/d11e8e644373f0d4bc497fe6ebf2de5b97d194e7_designer-women-dark-red-nappa-leather-slingback-pumps-pelagalo_53.jpg","US$1,075",women.html
women,MAYFU,224-1662-0001,https://www.manoloblahnik.com/us/mayfu-76678.html,"https://www.manoloblahnik.com/media/catalog/product/cache/82a653abdb8f0ea3cfd174c78a0cb793/5/5/550edb2c005f0c5a1031d2bac96772cebfda3ca9_designer-women-red-calf-leather-buckle-detail-flat-mules-mayfu_50.jpg, https://www.manoloblahnik.com/media/catalog/product/cache/82a653abdb8f0ea3cfd174c78a0cb793/6/0/600ff44cb5884d39475e14bde0af5ebb35e8d2b3_designer-women-red-calf-leather-buckle-detail-flat-mules-mayfu_51.jpg, https://www.manoloblahnik.com/media/catalog/product/cache/82a653abdb8f0ea3cfd174c78a0cb793/a/c/acdef68b296511fb3a66581302637472359692eb_designer-women-red-calf-leather-buckle-detail-flat-mules-mayfu_52.jpg, https://www.manoloblahnik.com/media/catalog/product/cache/82a653abdb8f0ea3cfd174c78a0cb793/c/0/c0e00a388749f9eeb7457a125b1b8a3d3c3e1a2d_designer-women-red-calf-leather-buckle-detail-flat-mules-mayfu_53.jpg",US$845,women.html
women,PITAKARA,224-1710-0002,https://www.manoloblahnik.com/us/pitakara-77291.html,"https://www.manoloblahnik.com/media/catalog/product/cache/82a653abdb8f0ea3cfd174c78a0cb793/1/8/182936bdc1540670797c3d3f65da73e9eb713fdf_designer-women-red-raffia-loafers-pitakara_50.jpg, https://www.manoloblahnik.com/media/catalog/product/cache/82a653abdb8f0ea3cfd174c78a0cb793/6/f/6f1a777b6ce28290b20f95bed8d3e5eff38a4479_designer-women-red-raffia-loafers-pitakara_51.jpg, https://www.manoloblahnik.com/media/catalog/product/cache/82a653abdb8f0ea3cfd174c78a0cb793/4/f/4fa168084fb7e86f0cfb639ead6c5731fde684ab_designer-women-red-raffia-loafers-pitakara_52.jpg, https://www.manoloblahnik.com/media/catalog/product/cache/82a653abdb8f0ea3cfd174c78a0cb793/3/e/3e11416151aac8678379f2a99da851bcb00404b3_designer-women-red-raffia-loafers-pitakara_53.jpg",US$825,women.html
women,SAWRA,224-1686-0001,https://www.manoloblahnik.com/us/sawra-76942.html,"https://www.manoloblahnik.com/media/catalog/product/cache/82a653abdb8f0ea3cfd174c78a0cb793/f/9/f9e132a6f800658be1f6d294cf80cd3413062c59_designer-women-white-and-red-satin-slingback-flat-pumps-sawra_50.jpg, https://www.manoloblahnik.com/media/catalog/product/cache/82a653abdb8f0ea3cfd174c78a0cb793/c/8/c8002a7ed84f3e5854651683ac68745dc64dfbea_designer-women-white-and-red-satin-slingback-flat-pumps-sawra_51.jpg, https://www.manoloblahnik.com/media/catalog/product/cache/82a653abdb8f0ea3cfd174c78a0cb793/6/c/6c510de684bc265bd4618ad6ccc5341b4f6eb7c1_designer-women-white-and-red-satin-slingback-flat-pumps-sawra_52.jpg, https://www.manoloblahnik.com/media/catalog/product/cache/82a653abdb8f0ea3cfd174c78a0cb793/2/8/28080f1a839785486df485a5c0f16fac4c3433c7_designer-women-white-and-red-satin-slingback-flat-pumps-sawra_53.jpg",US$775,women.html
women,HANGISI 70,224-1723-0001,https://www.manoloblahnik.com/us/hangisi-clc-77090.html,"https://www.manoloblahnik.com/media/catalog/product/cache/82a653abdb8f0ea3cfd174c78a0cb793/1/8/18285cf748c6c975614e1a8aa398f2c53826aeb7_designer-women-white-and-red-satin-jewel-buckle-pumps-hangisi-70_50.jpg, https://www.manoloblahnik.com/media/catalog/product/cache/82a653abdb8f0ea3cfd174c78a0cb793/8/9/892a1476b5d00688b99f8e0a43899b07f509f1cb_designer-women-white-and-red-satin-jewel-buckle-pumps-hangisi-70_51.jpg, https://www.manoloblahnik.com/media/catalog/product/cache/82a653abdb8f0ea3cfd174c78a0cb793/3/4/348c751885b353035cc1348f66632ea94e37d4e8_designer-women-white-and-red-satin-jewel-buckle-pumps-hangisi-70_52.jpg, https://www.manoloblahnik.com/media/catalog/product/cache/82a653abdb8f0ea3cfd174c78a0cb793/4/f/4f67655e2d99e2af1438d1c2a3c78d9772362b4a_designer-women-white-and-red-satin-jewel-buckle-pumps-hangisi-70_53.jpg","US$1,225",women.html
women,CAPRI,224-1643-0001,https://www.manoloblahnik.com/us/capri-clc-76628.html,"https://www.manoloblahnik.com/media/catalog/product/cache/82a653abdb8f0ea3cfd174c78a0cb793/7/1/710689e9e753754b6548aef72fe29ef9bc8c667d_designer-women-white-and-red-satin-jewel-buckle-clutch-capri_50.jpg, https://www.manoloblahnik.com/media/catalog/product/cache/82a653abdb8f0ea3cfd174c78a0cb793/b/2/b24dcd849b8b1b96def0b45172e2c05f78afe644_designer-women-white-and-red-satin-jewel-buckle-clutch-capri_51.jpg, https://www.manoloblahnik.com/media/catalog/product/cache/82a653abdb8f0ea3cfd174c78a0cb793/f/0/f05434e764c57d62677b5342bc758e7c08c94e82_designer-women-white-and-red-satin-jewel-buckle-clutch-capri_52.jpg, https://www.manoloblahnik.com/media/catalog/product/cache/82a653abdb8f0ea3cfd174c78a0cb793/f/0/f05434e764c57d62677b5342bc758e7c08c94e82_designer-women-white-and-red-satin-jewel-buckle-clutch-capri_52.jpg","US$1,895",women.html
women,MAYGOT,224-1645-0005,https://www.manoloblahnik.com/us/maygot-76630.html,"https://www.manoloblahnik.com/media/catalog/product/cache/82a653abdb8f0ea3cfd174c78a0cb793/f/f/ffd83755eeaf6d877cadaa2f47cf809f03504586_designer-women-orange-calf-leather-buckle-clutch-maygot_50.jpg, https://www.manoloblahnik.com/media/catalog/product/cache/82a653abdb8f0ea3cfd174c78a0cb793/d/a/da8b1c5745ab7c1d9ea1cc123f93979054d9aec4_designer-women-orange-calf-leather-buckle-clutch-maygot_51.jpg, https://www.manoloblahnik.com/media/catalog/product/cache/82a653abdb8f0ea3cfd174c78a0cb793/3/f/3fe947d5affe6a70b0e9ccf767791e407c3643cc_designer-women-orange-calf-leather-buckle-clutch-maygot_52.jpg, https://www.manoloblahnik.com/media/catalog/product/cache/82a653abdb8f0ea3cfd174c78a0cb793/3/f/3fe947d5affe6a70b0e9ccf767791e407c3643cc_designer-women-orange-calf-leather-buckle-clutch-maygot_52.jpg","US$1,675",women.html
women,MAYSALEBI,224-1673-0001,https://www.manoloblahnik.com/us/maysalebi-76766.html,"https://www.manoloblahnik.com/media/catalog/product/cache/82a653abdb8f0ea3cfd174c78a0cb793/f/7/f7415305f14e464fc70d7daafbff5f090777bd00_designer-women-orange-calf-leather-buckle-detail-mules-maysalebi_50.jpg, https://www.manoloblahnik.com/media/catalog/product/cache/82a653abdb8f0ea3cfd174c78a0cb793/6/8/683fc280eff9851040e1352044916104dd7e703f_designer-women-orange-calf-leather-buckle-detail-mules-maysalebi_51.jpg, https://www.manoloblahnik.com/media/catalog/product/cache/82a653abdb8f0ea3cfd174c78a0cb793/7/f/7ff5dbcbdc7da61ea6cdea1cdcf3e99f4d386352_designer-women-orange-calf-leather-buckle-detail-mules-maysalebi_52.jpg, https://www.manoloblahnik.com/media/catalog/product/cache/82a653abdb8f0ea3cfd174c78a0cb793/7/9/79afdfd89c0eb2280fe81211605f8767d151e307_designer-women-orange-calf-leather-buckle-detail-mules-maysalebi_53.jpg",US$875,women.html
