product_id,product_name,price,category,image_urls,product_url,colors,filename
X6MA1486080VCJB221,Zipped Shirt Jacket,$995 Reduced price $597,men_ready_to_wear,"//www.tods.com/fashion/tods/X6MA1486080VCJB221/X6MA1486080VCJB221-34.jpg?imwidth=950, //www.tods.com/fashion/tods/X6MA1486080VCJB221/X6MA1486080VCJB221-34.jpg?imwidth=820, //www.tods.com/fashion/tods/X6MA1486080VCJB221/X6MA1486080VCJB221-34.jpg?imwidth=624, //www.tods.com/fashion/tods/X6MA1486080VCJB221/X6MA1486080VCJB221-34.jpg?imwidth=496, //www.tods.com/fashion/tods/X6MA1486080VCJB221/X6MA1486080VCJB221-34.jpg?imwidth=750, //www.tods.com/fashion/tods/X6MA1486080VCJB221/X6MA1486080VCJB221-34.jpg?imwidth=475",https://www.tods.com/us-en/Zipped-Shirt-Jacket/p/X6MA1486080VCJB221/,GREY,men_ready_to_wear.html
X2M74483000WDJU805,Blazer in Cotton,525 Reduced price $915,men_ready_to_wear,"//www.tods.com/fashion/tods/X2M74483000WDJU805/X2M74483000WDJU805-34.jpg?imwidth=950, //www.tods.com/fashion/tods/X2M74483000WDJU805/X2M74483000WDJU805-34.jpg?imwidth=820, //www.tods.com/fashion/tods/X2M74483000WDJU805/X2M74483000WDJU805-34.jpg?imwidth=624, //www.tods.com/fashion/tods/X2M74483000WDJU805/X2M74483000WDJU805-34.jpg?imwidth=496, //www.tods.com/fashion/tods/X2M74483000WDJU805/X2M74483000WDJU805-34.jpg?imwidth=750, //www.tods.com/fashion/tods/X2M74483000WDJU805/X2M74483000WDJU805-34.jpg?imwidth=475",https://www.tods.com/us-en/Blazer-in-Cotton/p/X2M74483000WDJU805/,BLUE,men_ready_to_wear.html
X8MC1488200WCQS609,Polo Shirt in Knit,645 Reduced price $987,men_ready_to_wear,"//www.tods.com/fashion/tods/X8MC1488200WCQS609/X8MC1488200WCQS609-34.jpg?imwidth=950, //www.tods.com/fashion/tods/X8MC1488200WCQS609/X8MC1488200WCQS609-34.jpg?imwidth=820, //www.tods.com/fashion/tods/X8MC1488200WCQS609/X8MC1488200WCQS609-34.jpg?imwidth=624, //www.tods.com/fashion/tods/X8MC1488200WCQS609/X8MC1488200WCQS609-34.jpg?imwidth=496, //www.tods.com/fashion/tods/X8MC1488200WCQS609/X8MC1488200WCQS609-34.jpg?imwidth=750, //www.tods.com/fashion/tods/X8MC1488200WCQS609/X8MC1488200WCQS609-34.jpg?imwidth=475",https://www.tods.com/us-en/Polo-Shirt-in-Knit/p/X8MC1488200WCQS609/,BROWN,men_ready_to_wear.html
X3M80484010WBNC600,Classic Pants,125 Reduced price $675,men_ready_to_wear,"//www.tods.com/fashion/tods/X3M80484010WBNC600/X3M80484010WBNC600-30.jpg?imwidth=950, //www.tods.com/fashion/tods/X3M80484010WBNC600/X3M80484010WBNC600-30.jpg?imwidth=820, //www.tods.com/fashion/tods/X3M80484010WBNC600/X3M80484010WBNC600-30.jpg?imwidth=624, //www.tods.com/fashion/tods/X3M80484010WBNC600/X3M80484010WBNC600-30.jpg?imwidth=496, //www.tods.com/fashion/tods/X3M80484010WBNC600/X3M80484010WBNC600-30.jpg?imwidth=750, //www.tods.com/fashion/tods/X3M80484010WBNC600/X3M80484010WBNC600-30.jpg?imwidth=475",https://www.tods.com/us-en/Classic-Pants/p/X3M80484010WBNC600/,BEIGE,men_ready_to_wear.html
X2M74483000WBNC600,Blazer in Wool,065,men_ready_to_wear,"//www.tods.com/fashion/tods/X2M74483000WBNC600/X2M74483000WBNC600-34.jpg?imwidth=950, //www.tods.com/fashion/tods/X2M74483000WBNC600/X2M74483000WBNC600-34.jpg?imwidth=820, //www.tods.com/fashion/tods/X2M74483000WBNC600/X2M74483000WBNC600-34.jpg?imwidth=624, //www.tods.com/fashion/tods/X2M74483000WBNC600/X2M74483000WBNC600-34.jpg?imwidth=496, //www.tods.com/fashion/tods/X2M74483000WBNC600/X2M74483000WBNC600-34.jpg?imwidth=750, //www.tods.com/fashion/tods/X2M74483000WBNC600/X2M74483000WBNC600-34.jpg?imwidth=475",https://www.tods.com/us-en/Blazer-in-Wool/p/X2M74483000WBNC600/,BEIGE,men_ready_to_wear.html
X6MA2486030VQDC605,Shirt in Leather,655,men_ready_to_wear,"//www.tods.com/fashion/tods/X6MA2486030VQDC605/X6MA2486030VQDC605-34.jpg?imwidth=950, //www.tods.com/fashion/tods/X6MA2486030VQDC605/X6MA2486030VQDC605-34.jpg?imwidth=820, //www.tods.com/fashion/tods/X6MA2486030VQDC605/X6MA2486030VQDC605-34.jpg?imwidth=624, //www.tods.com/fashion/tods/X6MA2486030VQDC605/X6MA2486030VQDC605-34.jpg?imwidth=496, //www.tods.com/fashion/tods/X6MA2486030VQDC605/X6MA2486030VQDC605-34.jpg?imwidth=750, //www.tods.com/fashion/tods/X6MA2486030VQDC605/X6MA2486030VQDC605-34.jpg?imwidth=475",https://www.tods.com/us-en/Shirt-in-Leather/p/X6MA2486030VQDC605/,BROWN,men_ready_to_wear.html
X3M80484010WBNB409,Classic Pants,125 Reduced price $675,men_ready_to_wear,"//www.tods.com/fashion/tods/X3M80484010WBNB409/X3M80484010WBNB409-30.jpg?imwidth=950, //www.tods.com/fashion/tods/X3M80484010WBNB409/X3M80484010WBNB409-30.jpg?imwidth=820, //www.tods.com/fashion/tods/X3M80484010WBNB409/X3M80484010WBNB409-30.jpg?imwidth=624, //www.tods.com/fashion/tods/X3M80484010WBNB409/X3M80484010WBNB409-30.jpg?imwidth=496, //www.tods.com/fashion/tods/X3M80484010WBNB409/X3M80484010WBNB409-30.jpg?imwidth=750, //www.tods.com/fashion/tods/X3M80484010WBNB409/X3M80484010WBNB409-30.jpg?imwidth=475",https://www.tods.com/us-en/Classic-Pants/p/X3M80484010WBNB409/,GREY,men_ready_to_wear.html
X6MA1486080VCJC007,Zipped Shirt Jacket,$995 Reduced price $597,men_ready_to_wear,"//www.tods.com/fashion/tods/X6MA1486080VCJC007/X6MA1486080VCJC007-34.jpg?imwidth=950, //www.tods.com/fashion/tods/X6MA1486080VCJC007/X6MA1486080VCJC007-34.jpg?imwidth=820, //www.tods.com/fashion/tods/X6MA1486080VCJC007/X6MA1486080VCJC007-34.jpg?imwidth=624, //www.tods.com/fashion/tods/X6MA1486080VCJC007/X6MA1486080VCJC007-34.jpg?imwidth=496, //www.tods.com/fashion/tods/X6MA1486080VCJC007/X6MA1486080VCJC007-34.jpg?imwidth=750, //www.tods.com/fashion/tods/X6MA1486080VCJC007/X6MA1486080VCJC007-34.jpg?imwidth=475",https://www.tods.com/us-en/Zipped-Shirt-Jacket/p/X6MA1486080VCJC007/,BEIGE,men_ready_to_wear.html
X1M11480110VYOB016,Bomber Jacket in Leather,205,men_ready_to_wear,"//www.tods.com/fashion/tods/X1M11480110VYOB016/X1M11480110VYOB016-34.jpg?imwidth=950, //www.tods.com/fashion/tods/X1M11480110VYOB016/X1M11480110VYOB016-34.jpg?imwidth=820, //www.tods.com/fashion/tods/X1M11480110VYOB016/X1M11480110VYOB016-34.jpg?imwidth=624, //www.tods.com/fashion/tods/X1M11480110VYOB016/X1M11480110VYOB016-34.jpg?imwidth=496, //www.tods.com/fashion/tods/X1M11480110VYOB016/X1M11480110VYOB016-34.jpg?imwidth=750, //www.tods.com/fashion/tods/X1M11480110VYOB016/X1M11480110VYOB016-34.jpg?imwidth=475",https://www.tods.com/us-en/Bomber-Jacket-in-Leather/p/X1M11480110VYOB016/,Brown,men_ready_to_wear.html
X3M81474040UGDS800,Pants with Darts,$745 Reduced price $447,men_ready_to_wear,"//www.tods.com/fashion/tods/X3M81474040UGDS800/X3M81474040UGDS800-30.jpg?imwidth=950, //www.tods.com/fashion/tods/X3M81474040UGDS800/X3M81474040UGDS800-30.jpg?imwidth=820, //www.tods.com/fashion/tods/X3M81474040UGDS800/X3M81474040UGDS800-30.jpg?imwidth=624, //www.tods.com/fashion/tods/X3M81474040UGDS800/X3M81474040UGDS800-30.jpg?imwidth=496, //www.tods.com/fashion/tods/X3M81474040UGDS800/X3M81474040UGDS800-30.jpg?imwidth=750, //www.tods.com/fashion/tods/X3M81474040UGDS800/X3M81474040UGDS800-30.jpg?imwidth=475",https://www.tods.com/us-en/Pants-with-Darts/p/X3M81474040UGDS800/,BROWN,men_ready_to_wear.html
