user_category,product_id,product_url,product_name,price,image_urls,availability,currency,label,filename
men-all,BK50D2K1UE-001,https://www.givenchy.com/us/en-US/mini-pandora-bag-in-grained-leather-with-chain/BK50D2K1UE-001.html,Mini Pandora bag in grained leather with chain,$1700,"https://assets.givenchy.com/m/411112b8f72778a2/High_Resolution_JPG-BK50D2K1UE001-03-01.jpg?imwidth=300, https://assets.givenchy.com/m/3b512f2c049404ba/High_Resolution_JPG-BK50D2K1UE001-02-01.jpg?imwidth=300",IN_STOCK,USD,Notify me,men-all.html
men-all,BM016N15EH-100,https://www.givenchy.com/us/en-US/givenchy-1952-shiny-pull-over-bomber-jacket/BM016N15EH-100.html,GIVENCHY 1952 shiny pull-over bomber jacket,$1800,"https://assets.givenchy.com/m/27b17b00820b3978/High_Resolution_JPG-BM016N15EH100-03-01.jpg?imwidth=300, https://assets.givenchy.com/m/61d11515cb0c412a/High_Resolution_JPG-BM016N15EH100-02-01.jpg?imwidth=300",IN_STOCK,USD,Notify me,men-all.html
men-all,BN00CXF047-462,https://www.givenchy.com/us/en-US/small-lock-necklace-in-metal-and-leather/BN00CXF047-462.html,Small Lock necklace in metal and leather,$750,"https://assets.givenchy.com/m/348c133768ac24e9/High_Resolution_JPG-BN00CXF047462-03-01.jpg?imwidth=300, https://assets.givenchy.com/m/7245c1bb8865807f/High_Resolution_JPG-BN00CXF047462-02-05.jpg?imwidth=300",IN_STOCK,USD,Notify me,men-all.html
men-all,BPZ022P0CK-313,https://www.givenchy.com/us/en-US/givenchy-embroidered-cap-in-rip-and-repair-cotton/BPZ022P0CK-313.html,GIVENCHY embroidered cap in rip and repair cotton,$480,"https://assets.givenchy.com/m/70b1bb2f6015a79b/High_Resolution_JPG-BPZ022P0CK313-03-01.jpg?imwidth=300, https://assets.givenchy.com/m/5d7250d2a2bc298b/High_Resolution_JPG-BPZ022P0CK313-02-05.jpg?imwidth=300",IN_STOCK,USD,Notify me,men-all.html
men-all,BN00CBF003-040,https://www.givenchy.com/us/en-US/g-chain-necklace-in-metal/BN00CBF003-040.html,G Chain necklace in metal,$790,"https://assets.givenchy.com/m/3d6926ba7093f74/High_Resolution_JPG-BN00CBF003040-03-01.jpg?imwidth=300, https://assets.givenchy.com/m/3533767231dd2da4/High_Resolution_JPG-BN00CBF003040-02-05.jpg?imwidth=300",IN_STOCK,USD,Notify me,men-all.html
men-all,BN00AFF005-040,https://www.givenchy.com/us/en-US/short-4g-crystal-necklace-in-metal-with-crystals/BN00AFF005-040.html,Short 4G Crystal necklace in metal with crystals,$1350,"https://assets.givenchy.com/m/35feb66ea2f4b686/High_Resolution_JPG-BN00AFF005040-03-01.jpg?imwidth=300, https://assets.givenchy.com/m/57b769388739a98b/High_Resolution_JPG-BN00AFF005040-02-05.jpg?imwidth=300",IN_STOCK,USD,Notify me,men-all.html
men-all,BK60E8K16S-710,https://www.givenchy.com/us/en-US/givenchy-padlock-keyring-in-metal/BK60E8K16S-710.html,GIVENCHY padlock keyring in metal,$290,"https://assets.givenchy.com/m/542fe109d5d38e4e/High_Resolution_JPG-BK60E8K16S710-03-01.jpg?imwidth=300, https://assets.givenchy.com/m/1fb4da405df3a395/High_Resolution_JPG-BK60E8K16S710-03-06.jpg?imwidth=300",IN_STOCK,USD,Notify me,men-all.html
men-all,BKU044K14L-001,https://www.givenchy.com/us/en-US/antigona-bag-in-box-leather/BKU044K14L-001.html,Antigona bag in Box leather,$1520,"https://assets.givenchy.com/m/12a7aee7d809876e/High_Resolution_JPG-BKU044K14L001-03-01.jpg?imwidth=300, https://assets.givenchy.com/m/1861090ff38e1ad9/High_Resolution_JPG-BKU044K14L001-02-01.jpg?imwidth=300",IN_STOCK,USD,Notify me,men-all.html
men-all,BM51EM3YJT-001,https://www.givenchy.com/us/en-US/wide-jogger-pants/BM51EM3YJT-001.html,Wide jogger pants,$1350,"https://assets.givenchy.com/m/540e39de501a45e5/High_Resolution_JPG-BM51EM3YJT001-03-01.jpg?imwidth=300, https://assets.givenchy.com/m/1b34b1350424465b/High_Resolution_JPG-BM51EM3YJT001-02-01.jpg?imwidth=300",IN_STOCK,USD,Notify me,men-all.html
men-all,BP006VP0UE-004,https://www.givenchy.com/us/en-US/4g-scarf-in-wool/BP006VP0UE-004.html,4G scarf in wool,$420,"https://assets.givenchy.com/m/2ec39ad427e5d1ad/High_Resolution_JPG-BP006VP0UE004-03-01.jpg?imwidth=300, https://assets.givenchy.com/m/1dd859a66a68b30e/High_Resolution_JPG-BP006VP0UE004-03-08.jpg?imwidth=300",IN_STOCK,USD,Notify me,men-all.html
men-all,BP1042P0UR-001,https://www.givenchy.com/us/en-US/4g-tie-in-silk-with-rhinestones/BP1042P0UR-001.html,4G tie in silk with rhinestones,$240,"https://assets.givenchy.com/m/5c6ef75ee52216d9/High_Resolution_JPG-BP1042P0UR001-03-01.jpg?imwidth=300, https://assets.givenchy.com/m/3934f5d2279b4dee/High_Resolution_JPG-BP1042P0UR001-03-08.jpg?imwidth=300",IN_STOCK,USD,Notify me,men-all.html
men-all,BN009TF045-008,https://www.givenchy.com/us/en-US/4g-short-necklace-in-metal/BN009TF045-008.html,4G short necklace in metal,$850,"https://assets.givenchy.com/m/5c97bd6c8ce72eaf/High_Resolution_JPG-BN009TF045008-03-01.jpg?imwidth=300, https://assets.givenchy.com/m/724ae7911586c30a/High_Resolution_JPG-BN009TF045008-02-05.jpg?imwidth=300",IN_STOCK,USD,Notify me,men-all.html
men-all,BP100W107G-410,https://www.givenchy.com/us/en-US/givenchy-4g-tie-in-silk/BP100W107G-410.html,GIVENCHY 4G tie in silk,$185,"https://assets.givenchy.com/m/788a4a9b41873673/High_Resolution_JPG-BP100W107G410-03-01.jpg?imwidth=300, https://assets.givenchy.com/m/59269a79525d62db/High_Resolution_JPG-BP100W107G410-03-08.jpg?imwidth=300",IN_STOCK,USD,Notify me,men-all.html
