product_id,product_name,product_price,product_color,category,image_urls,product_url,filename
,,,,women_ready_to_wear,"https://media.loropiana.com/HYBRIS/FAN/FAN6892/577A4CE8-A775-4D4E-8913-FA84CC4A6351/FAN6892_E0B5_SMALL.jpg, https://media.loropiana.com/HYBRIS/FAN/FAN6892/04B64972-38C9-4C08-8E50-770434AEE67B/FAN6892_E0B5_SMALL.jpg",https://us.loropiana.com/en/p/woman/marylen-pants-FAN6892?colorCode=E0B5,women_ready_to_wear.html
,,,,women_ready_to_wear,https://media.loropiana.com/HYBRIS/FAN/FAN6636/B8448DF3-3893-470E-BD76-C99F598F2EFE/FAN6636_E0B5_SMALL.jpg,https://us.loropiana.com/en/p/woman/elvis-jacket-FAN6636?colorCode=E0B5,women_ready_to_wear.html
,,,,women_ready_to_wear,"https://media.loropiana.com/HYBRIS/FAO/FAO0223/F5C3167F-9CE2-465F-B64D-6D84AB527D01/FAO0223_T1G4_SMALL.jpg, https://media.loropiana.com/HYBRIS/FAO/FAO0223/CC66B495-FB23-41D5-BB61-A92A1D0E187B/FAO0223_T1G4_SMALL.jpg",https://us.loropiana.com/en/p/woman/poncho-FAO0223?colorCode=T1G4,women_ready_to_wear.html
,,,,women_ready_to_wear,"https://media.loropiana.com/HYBRIS/FAO/FAO0415/0F8C1CC8-BA18-487B-BFAB-8674F4FAD501/FAO0415_T1G4_SMALL.jpg, https://media.loropiana.com/HYBRIS/FAO/FAO0415/F92A2A9F-486E-4CF7-AA25-B069DBA357E4/FAO0415_T1G4_SMALL.jpg",https://us.loropiana.com/en/p/woman/kiko-dress-FAO0415?colorCode=T1G4,women_ready_to_wear.html
,,,,women_ready_to_wear,"https://media.loropiana.com/HYBRIS/FAN/FAN8266/423AD592-5E2E-44FD-AAC9-6870C43EBFB7/FAN8266_50XP_SMALL.jpg, https://media.loropiana.com/HYBRIS/FAN/FAN8266/748BD08B-3A8C-4F1E-B95F-E8B77B2A6EAC/FAN8266_50XP_SMALL.jpg",https://us.loropiana.com/en/p/woman/sheryl-shirt-FAN8266?colorCode=50XP,women_ready_to_wear.html
,,,,women_ready_to_wear,"https://media.loropiana.com/HYBRIS/FAO/FAO0479/CE8CDB4C-227C-4D76-BC34-F8549D214502/FAO0479_50XP_SMALL.jpg, https://media.loropiana.com/HYBRIS/FAO/FAO0479/EE7BF404-3173-47C0-BDA5-EEA9043817B4/FAO0479_50XP_SMALL.jpg",https://us.loropiana.com/en/p/woman/gralan-pants-FAO0479?colorCode=50XP,women_ready_to_wear.html
,,,,women_ready_to_wear,"https://media.loropiana.com/HYBRIS/FAO/FAO0486/97D56FF9-012C-4C3D-8339-3A2727A3C37B/FAO0486_50XP_SMALL.jpg, https://media.loropiana.com/HYBRIS/FAO/FAO0486/9EBE5F88-1341-4FA8-829A-0E944C2F0FBB/FAO0486_50XP_SMALL.jpg",https://us.loropiana.com/en/p/woman/morey-top-FAO0486?colorCode=50XP,women_ready_to_wear.html
,,,,women_ready_to_wear,"https://media.loropiana.com/HYBRIS/FAO/FAO0487/1229DF39-A9CF-4906-B5FA-38561B0AE6FD/FAO0487_50XP_SMALL.jpg, https://media.loropiana.com/HYBRIS/FAO/FAO0487/BA2CC5ED-DD83-4C89-86E9-43A26ADE0F88/FAO0487_50XP_SMALL.jpg",https://us.loropiana.com/en/p/woman/sabina-skirt-FAO0487?colorCode=50XP,women_ready_to_wear.html
,,,,women_ready_to_wear,"https://media.loropiana.com/HYBRIS/FAN/FAN8169/D4E54120-E389-4D49-A4B4-72D4811CF158/FAN8169_T1G4_SMALL.jpg, https://media.loropiana.com/HYBRIS/FAN/FAN8169/1958BB0E-6485-433B-AE50-CD2CB7E603FA/FAN8169_T1G4_SMALL.jpg",https://us.loropiana.com/en/p/woman/landry-coat-FAN8169?colorCode=T1G4,women_ready_to_wear.html
,,,,women_ready_to_wear,"https://media.loropiana.com/HYBRIS/FAN/FAN8125/E7121981-8934-4D0C-BE97-23BF6123D61C/FAN8125_T1G4_SMALL.jpg, https://media.loropiana.com/HYBRIS/FAN/FAN8125/C651E0AA-5099-4EB8-B4D0-051D436EFF26/FAN8125_T1G4_SMALL.jpg",https://us.loropiana.com/en/p/woman/hede-jumpsuit-FAN8125?colorCode=T1G4,women_ready_to_wear.html
,,,,women_ready_to_wear,"https://media.loropiana.com/HYBRIS/FAN/FAN7456/3B8274AC-C41C-4641-9EF7-4FBDE5C92FA6/FAN7456_50XP_SMALL.jpg, https://media.loropiana.com/HYBRIS/FAN/FAN7456/150C1CB8-6966-4363-AA21-F744B08DD603/FAN7456_50XP_SMALL.jpg",https://us.loropiana.com/en/p/woman/kiko-dress-FAN7456?colorCode=50XP,women_ready_to_wear.html
,,,,women_ready_to_wear,https://media.loropiana.com/HYBRIS/FAO/FAO0221/1793C115-AE3D-43DE-BC62-7C4EA2267BC3/FAO0221_T1G4_SMALL.jpg,https://us.loropiana.com/en/p/woman/large-sarong-FAO0221?colorCode=T1G4,women_ready_to_wear.html
,,,,women_ready_to_wear,"https://media.loropiana.com/HYBRIS/FAN/FAN8191/57A65CF8-09F4-4290-84D6-7C67BAB0AB73/FAN8191_1005_SMALL.jpg, https://media.loropiana.com/HYBRIS/FAN/FAN8191/916936C7-0ABC-460D-8D81-E74D731B3EB2/FAN8191_1005_SMALL.jpg",https://us.loropiana.com/en/p/woman/gritt-shirt-FAN8191?colorCode=1005,women_ready_to_wear.html
,,,,women_ready_to_wear,"https://media.loropiana.com/HYBRIS/FAN/FAN6362/0867EB28-349A-4DB2-AF03-13D27D042183/FAN6362_1000_SMALL.jpg, https://media.loropiana.com/HYBRIS/FAN/FAN6362/99A9987C-140B-41C2-8AB9-28113826669A/FAN6362_1000_SMALL.jpg",https://us.loropiana.com/en/p/woman/lanai-pants-FAN6362?colorCode=1000,women_ready_to_wear.html
,,,,women_ready_to_wear,"https://media.loropiana.com/HYBRIS/FAO/FAO0406/A6EC5730-DDD6-411E-B2A9-5E1F26C158F4/FAO0406_30EA_SMALL.jpg, https://media.loropiana.com/HYBRIS/FAO/FAO0406/E34DEB7C-73C5-4619-9B00-D0D072BC9E35/FAO0406_30EA_SMALL.jpg",https://us.loropiana.com//en/p/woman/kristen-dress-FAO0406?colorCode=30EA,women_ready_to_wear.html
,,,,women_ready_to_wear,"https://media.loropiana.com/HYBRIS/FAN/FAN6766/D8E92CEE-0E6F-436D-88DC-1599D90727F8/FAN6766_H0OG_SMALL.jpg, https://media.loropiana.com/HYBRIS/FAN/FAN6766/BBA74421-9316-4BA8-BF8A-D23361EBCB44/FAN6766_H0OG_SMALL.jpg",https://us.loropiana.com//en/p/woman/faye-dress-FAN6766?colorCode=H0OG,women_ready_to_wear.html
,,,,women_ready_to_wear,"https://media.loropiana.com/HYBRIS/FAN/FAN6356/646C66B3-4FAE-42EF-BE6F-04F3F273019E/FAN6356_R0C2_SMALL.jpg, https://media.loropiana.com/HYBRIS/FAN/FAN6356/69F663F3-2093-49EA-B236-B46AA8E55736/FAN6356_R0C2_SMALL.jpg",https://us.loropiana.com//en/p/woman/molokai-v-neck-sweater-FAN6356?colorCode=R0C2,women_ready_to_wear.html
,,,,women_ready_to_wear,"https://media.loropiana.com/HYBRIS/FAN/FAN6358/5558BA31-32CF-44F7-80C4-13E2D6D92391/FAN6358_R0C2_SMALL.jpg, https://media.loropiana.com/HYBRIS/FAN/FAN6358/F84B1632-22DA-4AB0-88DA-D30037CA5C34/FAN6358_R0C2_SMALL.jpg",https://us.loropiana.com//en/p/woman/molokai-shorts-FAN6358?colorCode=R0C2,women_ready_to_wear.html
,,,,women_ready_to_wear,"https://media.loropiana.com/HYBRIS/FAO/FAO0396/A1A375CB-E66F-48B4-B529-DD74159F769B/FAO0396_H0OG_SMALL.jpg, https://media.loropiana.com/HYBRIS/FAO/FAO0396/F689F35F-4E83-466E-9B4A-79A983AC6521/FAO0396_H0OG_SMALL.jpg",https://us.loropiana.com//en/p/woman/dabney-vest-FAO0396?colorCode=H0OG,women_ready_to_wear.html
,,,,women_ready_to_wear,"https://media.loropiana.com/HYBRIS/FAN/FAN7233/A23DD0B3-D15F-4C4D-8408-7E1018A6F5FF/FAN7233_H0OG_SMALL.jpg, https://media.loropiana.com/HYBRIS/FAN/FAN7233/1D61BD18-0C81-44CD-869B-24649F44A036/FAN7233_H0OG_SMALL.jpg",https://us.loropiana.com//en/p/woman/ernst-shorts-FAN7233?colorCode=H0OG,women_ready_to_wear.html
,,,,women_ready_to_wear,"https://media.loropiana.com/HYBRIS/FAO/FAO0419/DB12BF55-7F40-430B-B6DD-814446DE8954/FAO0419_E0B5_SMALL.jpg, https://media.loropiana.com/HYBRIS/FAO/FAO0419/964B9BFD-1FF3-412E-929B-39EDBBB3F886/FAO0419_E0B5_SMALL.jpg",https://us.loropiana.com//en/p/woman/olga-shirt-FAO0419?colorCode=E0B5,women_ready_to_wear.html
,,,,women_ready_to_wear,"https://media.loropiana.com/HYBRIS/FAO/FAO0483/37DEB1BB-BDBE-4F06-9AF3-10B7B3365200/FAO0483_E0B5_SMALL.jpg, https://media.loropiana.com/HYBRIS/FAO/FAO0483/EA4194E7-25F6-4AB1-A385-FA15169E3295/FAO0483_E0B5_SMALL.jpg",https://us.loropiana.com//en/p/woman/augustin-pants-FAO0483?colorCode=E0B5,women_ready_to_wear.html
,,,,women_ready_to_wear,"https://media.loropiana.com/HYBRIS/FAO/FAO0486/537E6FD9-A936-409B-9B9C-C4B40A43CA4D/FAO0486_H0OG_SMALL.jpg, https://media.loropiana.com/HYBRIS/FAO/FAO0486/12097D02-7000-416C-A153-0158300A2F2A/FAO0486_H0OG_SMALL.jpg",https://us.loropiana.com//en/p/woman/morey-top-FAO0486?colorCode=H0OG,women_ready_to_wear.html
,,,,women_ready_to_wear,"https://media.loropiana.com/HYBRIS/FAN/FAN6892/EA59475C-6945-4E91-8CF1-A342529153BA/FAN6892_H0OG_SMALL.jpg, https://media.loropiana.com/HYBRIS/FAN/FAN6892/00B89EDD-134E-43AF-A666-188767D8642B/FAN6892_H0OG_SMALL.jpg",https://us.loropiana.com//en/p/woman/marylen-pants-FAN6892?colorCode=H0OG,women_ready_to_wear.html
,,,,women_ready_to_wear,"https://media.loropiana.com/HYBRIS/FAN/FAN6359/460E586E-A0C2-490F-BAAF-6642E7EBC6B7/FAN6359_R0C2_SMALL.jpg, https://media.loropiana.com/HYBRIS/FAN/FAN6359/4456C3F7-DF66-41E8-9F6D-4A72556E53D9/FAN6359_R0C2_SMALL.jpg",https://us.loropiana.com//en/p/woman/lanai-blouse-FAN6359?colorCode=R0C2,women_ready_to_wear.html
,,,,women_ready_to_wear,"https://media.loropiana.com/HYBRIS/FAN/FAN6361/870CF784-B94F-430F-8FC7-94429E8B3DCC/FAN6361_R0C2_SMALL.jpg, https://media.loropiana.com/HYBRIS/FAN/FAN6361/0AD78543-47DC-48FB-8275-2DE6CF6E8983/FAN6361_R0C2_SMALL.jpg",https://us.loropiana.com//en/p/woman/lanai-shorts-FAN6361?colorCode=R0C2,women_ready_to_wear.html
,,,,women_ready_to_wear,https://media.loropiana.com/HYBRIS/FAN/FAN6359/5F8A5F27-7A5E-4B6B-B0CE-97337A73A142/FAN6359_1000_SMALL.jpg,https://us.loropiana.com//en/p/woman/lanai-blouse-FAN6359?colorCode=1000,women_ready_to_wear.html
,,,,women_ready_to_wear,https://media.loropiana.com/HYBRIS/FAO/FAO3309/6425C91E-723C-47E8-8A90-6727C147BB52/FAO3309_R354_SMALL.jpg,https://us.loropiana.com//en/p/woman/gargano-polo-shirt-FAO3309?colorCode=R354,women_ready_to_wear.html
