product_id,category,product_name,description,price,main_image_url,additional_image_url,product_details_url,filename
FS1248AR6BF1O0X,mens-clothing,Shirt,Blue striped viscose shirt,"$1,190.00",https://static.fendi.com/dam/is/image/fendi/FS1248AR6BF1O0X_01?wid=1000&hei=1000&hash=9a1d9b43875d706b131b437d9460dfef-18d41649fe8,https://static.fendi.com/dam/is/image/fendi/FS1248AR6BF1O0X_99?wid=1000&hei=1000&hash=0f261a7d1644429dd8097cac69f5c90c-18dd56a5c70,https://www.fendi.com/us-en/man/ready-to-wear/shirt-blue-striped-viscose-shirt-fs1248ar6bf1o0x,mens-clothing.html
FJ0768AR91F03LQ,mens-clothing,Jacket,Blue jacquard wool blazer,"$3,490.00",https://static.fendi.com/dam/is/image/fendi/FJ0768AR91F03LQ_01?wid=1000&hei=1000&hash=cc8b16eb4a38999363733d14554fdcf2-18d3e2fa022,https://static.fendi.com/dam/is/image/fendi/FJ0768AR91F03LQ_99?wid=1000&hei=1000&hash=1d9dc22d4f796bf7bc1a5621e8816d4e-18d87b4641f,https://www.fendi.com/us-en/man/ready-to-wear/jacket-blue-jacquard-wool-blazer-fj0768ar91f03lq,mens-clothing.html
FJ0794AR91F03LQ,mens-clothing,Jacket,Blue jacquard wool gilet,"$2,850.00",https://static.fendi.com/dam/is/image/fendi/FJ0794AR91F03LQ_01?wid=1000&hei=1000&hash=c7f7328584004f750bf42572e2fc33f7-18d40331603,https://static.fendi.com/dam/is/image/fendi/FJ0794AR91F03LQ_99?wid=1000&hei=1000&hash=5d3f1d4954b2f77c24c78952f92a103a-18e1ecbbb20,https://www.fendi.com/us-en/man/ready-to-wear/jacket-blue-jacquard-wool-gilet-fj0794ar91f03lq,mens-clothing.html
FF0773AR91F03LQ,mens-clothing,Coat,Blue jacquard wool coat,"$4,600.00",https://static.fendi.com/dam/is/image/fendi/FF0773AR91F03LQ_01?wid=1000&hei=1000&hash=f622e09b1aacea0501a4feb482977856-18d3e414f22,https://static.fendi.com/dam/is/image/fendi/FF0773AR91F03LQ_99?wid=1000&hei=1000&hash=ed8aa7e6bd6cfeef48afd91bfad54e19-18d87b4e739,https://www.fendi.com/us-en/man/ready-to-wear/coat-blue-jacquard-wool-coat-ff0773ar91f03lq,mens-clothing.html
FS0751A4S6F0D8A,mens-clothing,Shirt,White cotton shirt,$670.00,https://static.fendi.com/dam/is/image/fendi/FS0751A4S6F0D8A_01?wid=1000&hei=1000&hash=2ea427042c9684b8b53a998bb2eb43d7-182afdb2adf,https://static.fendi.com/dam/is/image/fendi/FS0751A4S6F0D8A_03?wid=1000&hei=1000&hash=1d7c08acbeb9dbcb10b4a08b49938f0f-182afdb227a,https://www.fendi.com/us-en/man/ready-to-wear/shirt-white-cotton-shirt-fs0751a4s6f0d8a,mens-clothing.html
FS1265AR63F1MTG,mens-clothing,Shirt,Beige linen shirt,"$1,350.00",https://static.fendi.com/dam/is/image/fendi/FS1265AR63F1MTG_01?wid=1000&hei=1000&hash=49244f5d0ecc162cda526c7385ce73be-18d3e36fa73,https://static.fendi.com/dam/is/image/fendi/FS1265AR63F1MTG_99?wid=1000&hei=1000&hash=f41803cc9b8d57edf01981bcfd89e3b3-18d87b4af31,https://www.fendi.com/us-en/man/ready-to-wear/shirt-beige-linen-shirt-fs1265ar63f1mtg,mens-clothing.html
FJ0797AR8SF1MTR,mens-clothing,Jacket,Tan wool jacket,"$2,850.00",https://static.fendi.com/dam/is/image/fendi/FJ0797AR8SF1MTR_01?wid=1000&hei=1000&hash=3e2a7b8641f32362982a776bb58d844a-18d3e416698,https://static.fendi.com/dam/is/image/fendi/FJ0797AR8SF1MTR_99?wid=1000&hei=1000&hash=b9cbb0b681e72bf8e2b010d7eb72ffa9-18e1ecbaf68,https://www.fendi.com/us-en/man/ready-to-wear/jacket-tan-wool-jacket-fj0797ar8sf1mtr,mens-clothing.html
FAA615A79NF13IZ,mens-clothing,Blouson,Brown nylon windbreaker,"$2,250.00",https://static.fendi.com/dam/is/image/fendi/FAA615A79NF13IZ_01?wid=1000&hei=1000&hash=4e265950390bb514451b79f0fd1e4255-17e1bca3ac4,https://static.fendi.com/dam/is/image/fendi/FAA615A79NF13IZ_99?wid=1000&hei=1000&hash=c6c38151aca75bd8b934dcabc7748f6f-1888f798413,https://www.fendi.com/us-en/man/ready-to-wear/outerwear/blouson-brown-nylon-windbreaker-faa615a79nf13iz,mens-clothing.html
FS0966AR65F1MTG,mens-clothing,Shirt,White silk shirt,"$1,690.00",https://static.fendi.com/dam/is/image/fendi/FS0966AR65F1MTG_01?wid=1000&hei=1000&hash=e935cb76fa473a1ef86816eb106cc959-18d3e36fc4a,https://static.fendi.com/dam/is/image/fendi/FS0966AR65F1MTG_03?wid=1000&hei=1000&hash=5f3802cc8b9a15995cb73acfc48d763c-18d3e36f95d,https://www.fendi.com/us-en/man/ready-to-wear/shirt-white-silk-shirt-fs0966ar65f1mtg,mens-clothing.html
FZX091AR8CF03LQ,mens-clothing,Sweater,Blue cotton and cashmere jumper,$950.00,https://static.fendi.com/dam/is/image/fendi/FZX091AR8CF03LQ_01?wid=1000&hei=1000&hash=a651115739b662f2e7bd76deb6b81127-18d3e37ff66,https://static.fendi.com/dam/is/image/fendi/FZX091AR8CF03LQ_99?wid=1000&hei=1000&hash=a31358bfb440fec35df987a8e6a7c149-18d87b40d14,https://www.fendi.com/us-en/man/ready-to-wear/sweater-blue-cotton-and-cashmere-jumper-fzx091ar8cf03lq,mens-clothing.html
