product_id,product_url,product_name,price,image_urls,color_options,filename
No ID,https://www.canadagoose.com/us/en/rosseau-%C2%BC-zip-sweater-7090M.html,Rosseau ¼ Zip Sweater,$475,"https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1711028632/product-image/7090M_432.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1711028632/product-image/7090M_432_a.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1711028632/product-image/7090M_432_b.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1711028633/product-image/7090M_432_o.png, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1711028634/product-image/7090M_432_p.png, https://images.canadagoose.com/cg-global/images/pdp-images/TEI-1.svg","[{""color"": ""Limestone"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557415370/product-swatch/432.svg""}, {""color"": ""Ozone Blue Heather"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1643047134/product-swatch/1026.svg""}]",all_men.html
No ID,https://www.canadagoose.com/us/en/science-research-hoody-6700M.html,Science Research Hoody,$575,"https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1633030574/product-image/6700M_433.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1632335345/product-image/6700M_433_a.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1633030578/product-image/6700M_433_b.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1633030581/product-image/6700M_433_c.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1633030586/product-image/6700M_433_f.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1633030592/product-image/6700M_433_g.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1633030593/product-image/6700M_433_h.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1633030596/product-image/6700M_433_i.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1633030598/product-image/6700M_433_j.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1703175230/product-image/6700M_433_o.png, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1703175230/product-image/6700M_433_p.png, https://images.canadagoose.com/cg-global/images/pdp-images/TEI-1.svg","[{""color"": ""North Star White"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1687454294/product-swatch/433.svg""}, {""color"": ""Red"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557415141/product-swatch/11.svg""}]",all_men.html
No ID,https://www.canadagoose.com/us/en/killarney-pant-7500M.html,Killarney Pant,$425,"https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1711028731/product-image/7500M_61.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1711028731/product-image/7500M_61_a.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1711028731/product-image/7500M_61_b.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1711028731/product-image/7500M_61_o.png, https://images.canadagoose.com/cg-global/images/pdp-images/TEI-1.svg","[{""color"": ""Black"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557415280/product-swatch/61.svg""}]",all_men.html
No ID,https://www.canadagoose.com/us/en/lawrence-puffer-vest-2804M.html,Lawrence Puffer Vest,$795,"https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1687286411/product-image/2804M_61.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1687286411/product-image/2804M_61_a.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1687286411/product-image/2804M_61_b.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1687286415/product-image/2804M_61_o.png, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1687286414/product-image/2804M_61_p.png","[{""color"": ""Black"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557415280/product-swatch/61.svg""}, {""color"": ""Atlantic Navy"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1590003302/product-swatch/63.svg""}]",all_men.html
No ID,https://www.canadagoose.com/us/en/burnaby-chore-coat-2447M.html,Burnaby Chore Coat,$750,"https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1709032277/product-image/2447M_49.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1709032272/product-image/2447M_49_a.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1709032267/product-image/2447M_49_b.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1709032399/product-image/2447M_49_c.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1709032393/product-image/2447M_49_d.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1709032381/product-image/2447M_49_e.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1709032387/product-image/2447M_49_f.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1709032421/product-image/2447M_49_o.png, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1709032432/product-image/2447M_49_p.png","[{""color"": ""Black"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557415280/product-swatch/61.svg""}, {""color"": ""Military Green"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557414882/product-swatch/49.svg""}]",all_men.html
No ID,https://www.canadagoose.com/us/en/wyndham-parka-black-label-2048MB.html,Wyndham Parka Black Label,"$1,395","https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1700415217/product-image/2048MB_61.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1700415214/product-image/2048MB_61_a.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1700415212/product-image/2048MB_61_b.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1700415209/product-image/2048MB_61_c.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1700415206/product-image/2048MB_61_d.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1700415204/product-image/2048MB_61_e.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1664909790/product-image/2048MB_61_o.png, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1664909788/product-image/2048MB_61_p.png","[{""color"": ""Black"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557415280/product-swatch/61.svg""}, {""color"": ""Coastal Grey"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1560265012/product-swatch/811.svg""}, {""color"": ""North Star White"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1687454294/product-swatch/433.svg""}]",all_men.html
No ID,https://www.canadagoose.com/us/en/garson-vest-wool-4151M1.html,Garson Vest Wool,$850,"https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1683313513/product-image/4151M1_1551.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1683313513/product-image/4151M1_1551_a.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1683313514/product-image/4151M1_1551_b.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1683313514/product-image/4151M1_1551_c.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1683313513/product-image/4151M1_1551_d.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1683313513/product-image/4151M1_1551_o.png, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1683313512/product-image/4151M1_1551_p.png","[{""color"": ""Atlantic Navy Melange"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1654520850/product-swatch/1161.svg""}, {""color"": ""Carbon Melange"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1654520847/product-swatch/1160.svg""}, {""color"": ""Military Green Melange"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1654520853/product-swatch/1162.svg""}, {""color"": ""Quicksand Melange"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1659115571/product-swatch/1163.svg""}, {""color"": ""Slate Grey Melange"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1676562558/product-swatch/1551.svg""}]",all_men.html
No ID,https://www.canadagoose.com/us/en/lodge-jacket-black-label-5079MB.html,Lodge Jacket Black Label,$795,No images,"[{""color"": ""Black"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557415280/product-swatch/61.svg""}]",all_men.html
No ID,https://www.canadagoose.com/us/en/mini-waist-pack-8837U.html,Mini Waist Pack,$225,"https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1714142554/product-image/8837U_61.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1714142568/product-image/8837U_61_a.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1714142573/product-image/8837U_61_b.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1714142579/product-image/8837U_61_c.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1714142561/product-image/8837U_61_d.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1701702242/product-image/8837U_61_o.png, https://images.canadagoose.com/cg-global/images/pdp-images/TEI-1.svg","[{""color"": ""Black"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557415280/product-swatch/61.svg""}, {""color"": ""White"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1687454294/product-swatch/25.svg""}]",all_men.html
No ID,https://www.canadagoose.com/us/en/faber-hoody-2440M.html,Faber Hoody,$575,"https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1705694694/product-image/2440M_1481.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1705694616/product-image/2440M_1481_a.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1705694588/product-image/2440M_1481_b.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1705694563/product-image/2440M_1481_c.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1705694755/product-image/2440M_1481_d.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1705694727/product-image/2440M_1481_e.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1682359573/product-image/2440M_1481_o.png, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1682359573/product-image/2440M_1481_p.png","[{""color"": ""Black"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557415280/product-swatch/61.svg""}, {""color"": ""Atlantic Navy"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1590003302/product-swatch/63.svg""}, {""color"": ""Ozone Blue"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1625587112/product-swatch/222.svg""}, {""color"": ""Sagebrush"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1573595283/product-swatch/852.svg""}, {""color"": ""Cedar Green"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1676562530/product-swatch/1481.svg""}]",all_men.html
