"user_defined_categories","category","title","price","currency","originalPrice","productLink","primaryImage","alternateGalleryImages","categoryDescription","subclass"
"men","men.json?","Shirt In Light Blue Cotton","590.0","USD","590.0","https://www.bally.com/en/products/shirt-in-light-blue-cotton-6308057","https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MSH01W_CO327_U585_01.jpg?v=1713933938","https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MSH01W_CO327_U585_01.jpg?v=1713933938 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MSH01W_CO327_U585_02.jpg?v=1713933250 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MSH01W_CO327_U585_03.jpg?v=1713933586 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MSH01W_CO327_U585_04.jpg?v=1715781821 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MSH01W_CO327_U585_05.jpg?v=1713933699 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MSH01W_CO327_U585_06.jpg?v=1713933915 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MSH01W_CO327_U585_07.jpg?v=1713934144 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MSH01W_CO327_U585_08.jpg?v=1713933931","RTW CLOTHING","SHIRT"
"men","men.json?","Summer Capsule T-Shirt In Navy Blue Cotton","290.0","USD","290.0","https://www.bally.com/en/products/summer-capsule-t-shirt-in-navy-blue-cotton-6308380","https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MJE079_CO018_U546_01.jpg?v=1713500951","https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MJE079_CO018_U546_01.jpg?v=1713500951 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MJE079_CO018_U546_05.jpg?v=1713501044 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MJE079_CO018_U546_10.jpg?v=1713501135","RTW CLOTHING","T-SHIRT"
"men","men.json?","Summer Capsule T-Shirt In White Cotton","290.0","USD","290.0","https://www.bally.com/en/products/summer-capsule-t-shirt-in-white-cotton-6308379","https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MJE079_CO018_U001_01.jpg?v=1713501014","https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MJE079_CO018_U001_01.jpg?v=1713501014 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MJE079_CO018_U001_05.jpg?v=1713501095 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MJE079_CO018_U001_10.jpg?v=1713501156","RTW CLOTHING","T-SHIRT"
"men","men.json?","B Bold 35mm Reversible And Adjustable Belt In Navy Blue And Black Leather","570.0","USD","570.0","https://www.bally.com/en/products/b-bold-35mm-reversible-and-adjustable-belt-in-navy-blue-and-black-leather-6308377","https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MBB02O_VT446_I5U0P_01.jpg?v=1713501012","https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MBB02O_VT446_I5U0P_01.jpg?v=1713501012 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MBB02O_VT446_I5U0P_02.jpg?v=1713501041 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MBB02O_VT446_I5U0P_03.jpg?v=1713501115 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MBB02O_VT446_I5U0P_04.jpg?v=1713501162","ACC BELTS","ADJUSTABLE-REVERSIBLE"
"men","men.json?","Crossing Bi-Fold Wallet In Midnight Leather","350.0","USD","350.0","https://www.bally.com/en/products/crossing-bi-fold-wallet-in-midnight-leather-6305290","https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MLW03M_VT399_U507P_01.jpg?v=1706938121","https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MLW03M_VT399_U507P_01.jpg?v=1706938121 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MLW03M_VT399_U507P_02.jpg?v=1706938160 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MLW03M_VT399_U507P_03.jpg?v=1706938179 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MLW03M_VT399_U507P_04.jpg?v=1706938216","ACC SLG","WALLET"
"men","men.json?","Arkle Extra Large Shopper In Bone Leather","2950.0","USD","2950.0","https://www.bally.com/en/products/arkle-extra-large-shopper-in-bone-leather-6306205","https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MAE030_VT492_U102O_01.jpg?v=1698160800","https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MAE030_VT492_U102O_01.jpg?v=1698160800 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MAE030_VT492_U102O_02.jpg?v=1698164313 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MAE030_VT492_U102O_03.jpg?v=1698171384 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MAE030_VT492_U102O_04.jpg?v=1698177100 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MAE030_VT492_U102O_05.jpg?v=1698183874 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MAE030_VT492_U102O_06.jpg?v=1698184800","ACC LLG","TOTE"
"men","men.json?","Webb Men's Calf Leather Penny Loafer In Black","800.0","USD","800.0","https://www.bally.com/en/products/webb-mens-calf-leather-penny-loafer-in-black-6225667","https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_589249_21646_F020_01.jpg?v=1698161531","https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_589249_21646_F020_01.jpg?v=1698161531 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_589249_21646_F020_02.jpg?v=1698166083 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_589249_21646_F020_03.jpg?v=1698172515 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_589249_21646_F020_04.jpg?v=1698175142 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_589249_21646_F020_05.jpg?v=1698181995","SHOES","LOAFER"
"men","men.json?","Webb Leather Loafers In Brown","820.0","USD","820.0","https://www.bally.com/en/products/webb-leather-loafers-in-brown-6231400","https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_591240_23321_F502_01.jpg?v=1709876155","https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_591240_23321_F502_01.jpg?v=1709876155 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_591240_23321_F502_02.jpg?v=1698165814 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_591240_23321_F502_03.jpg?v=1709876237 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_591240_23321_F502_04.jpg?v=1709876262 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_591240_23321_F502_05.jpg?v=1709876281 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_591240_23321_F502_06.jpg?v=1709876143","SHOES","LOAFER"
"men","men.json?","Webb Leather Loafers In Coffee","800.0","USD","800.0","https://www.bally.com/en/products/webb-leather-loafers-in-coffee-6225668","https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_589249_21646_F021_01.jpg?v=1698160319","https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_589249_21646_F021_01.jpg?v=1698160319 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_589249_21646_F021_02.jpg?v=1698164687 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_589249_21646_F021_03.jpg?v=1698170453 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_589249_21646_F021_04.jpg?v=1698175946 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_589249_21646_F021_05.jpg?v=1698180055 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_589249_21646_F021_06.jpg?v=1698185920","SHOES","LOAFER"
"men","men.json?","Webb Leather Loafers In Black","800.0","USD","800.0","https://www.bally.com/en/products/webb-leather-loafers-in-black-6300442","https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MSF041_VT012_U901_01.jpg?v=1698158179","https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MSF041_VT012_U901_01.jpg?v=1698158179 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MSF041_VT012_U901_02.jpg?v=1698162932 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MSF041_VT012_U901_03.jpg?v=1698174234 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MSF041_VT012_U901_04.jpg?v=1698175341 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MSF041_VT012_U901_05.jpg?v=1698181802 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MSF041_VT012_U901_06.jpg?v=1698184917 , https://cdn.shopify.com/s/files/1/0651/9206/7329/files/BALLY_MSF041_VT012_U901_07.jpg?v=1698186838","SHOES","LOAFER"
