category,product_name,product_id,price,discount_price,product_url,image_urls,color_name,currency,filename,relative_path
men-accessories-scarves,RESORT SCARF IN INFINITY WOOL RIB,SCP0002UR702199200,195,,https://us.herno.com/en/men/accessories/scarves/resort-scarf-in-infinity-wool-rib-navy-blue-SCP0002UR702199200.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dw84699a9b/images/zoom/SCP0002UR70219_9200_0.jpg?sw=710&sh=900&sm=fit,Navy Blue,USD,men.html,men.html
men-clothing-coats-and-trench-coats,RESORT PEA COAT IN NEW MODERN DOUBLE,PE00014UR334159200,1.510,,https://us.herno.com/en/men/outerwear/coats-and-trench-coats/resort-pea-coat-in-new-modern-double-navy-blue-PE00014UR334159200.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dw0de13e68/images/zoom/PE00014UR33415_9200_0.jpg?sw=710&sh=900&sm=fit,Navy Blue,USD,men.html,men.html
men-clothing-parka,RESORT JACKET IN NEW LINO,GC00008UR17105Z1985,845,,https://us.herno.com/en/men/outerwear/parka-and-jackets/resort-jacket-in-new-lino-chantilly-GC00008UR17105Z1985.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dw43dfc1c7/images/zoom/GC00008UR17105Z_1985_0.jpg?sw=710&sh=900&sm=fit,Chantilly,USD,men.html,men.html
men-apparel-trousers,RESORT TROUSERS IN NEW LINO,PT00012UR17105Z1985,465,,https://us.herno.com/en/men/clothing/trousers/resort-trousers-in-new-lino-chantilly-PT00012UR17105Z1985.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dw4c4b1eb5/images/zoom/PT00012UR17105Z_1985_0.jpg?sw=710&sh=900&sm=fit,Chantilly,USD,men.html,men.html
men-clothing-knitwear-hoodies,RESORT SWEATER IN HERRINGBONE PLAIN CASHMERE,MG00023UR710219400,825,,https://us.herno.com/en/men/knitwear/sweaters-and-cardigan/resort-sweater-in-herringbone-plain-cashmere-grey-MG00023UR710219400.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dwf6b64de3/images/zoom/MG00023UR71021_9400_0.jpg?sw=710&sh=900&sm=fit,Grey,USD,men.html,men.html
men-clothing-bomber,RESORT BOMBER JACKET IN CASHMERE,GI00057UR38112M019433,2.745,,https://us.herno.com/en/men/outerwear/bomber/resort-bomber-jacket-in-cashmere-light-grey-GI00057UR38112M019433.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dw82dbfc48/images/zoom/GI00057UR38112M01_9433_0.jpg?sw=710&sh=900&sm=fit,Light Grey,USD,men.html,men.html
men-clothing-knitwear-hoodies,RESORT BOMBER JACKET IN INFINITY MIX KNIT & REV PONENTE,MC00020UR701451010,1.155,,https://us.herno.com/en/men/knitwear/sweaters-and-cardigan/resort-bomber-jacket-in-infinity-mix-knit-and-rev-ponente-cream-MC00020UR701451010.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dw97ab68e8/images/zoom/MC00020UR70145_1010_0.jpg?sw=710&sh=900&sm=fit,Cream,USD,men.html,men.html
men-apparel-trousers,RESORT TROUSERS IN CASHMERE SILK,PT00007UR380871200,1.245,,https://us.herno.com/en/men/clothing/trousers/resort-trousers-in-cashmere-silk-ivory-PT00007UR380871200.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dw03ef3339/images/zoom/PT00007UR38087_1200_0.jpg?sw=710&sh=900&sm=fit,Ivory,USD,men.html,men.html
men-clothing-knitwear-tshirt-polo,RESORT T-SHIRT IN WARM JERSEY KNIT EFFECT,JG00034UR540071000,270,,https://us.herno.com/en/men/knitwear/t-shirts-and-polo-shirts/resort-t-shirt-in-warm-jersey-knit-effect-white-JG00034UR540071000.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dwaea235f9/images/zoom/JG00034UR54007_1000_0.jpg?sw=710&sh=900&sm=fit,White,USD,men.html,men.html
men-apparel-trousers,RESORT TROUSERS IN COTTON FEEL,PT00020UR125311100,435,,https://us.herno.com/en/men/clothing/trousers/resort-trousers-in-cotton-feel-natural-PT00020UR125311100.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dwc700a2ad/images/zoom/PT00020UR12531_1100_0.jpg?sw=710&sh=900&sm=fit,Natural,USD,men.html,men.html
