"category","product_id","price","currency","imageUrls","name","material","colors","url"
"L1_WOM","FAN6659_D0L2","2700.0","USD","['https://media.loropiana.com/HYBRIS/FAN/FAN6659/768747F6-25E2-48E4-B143-BC3E25B6290E/FAN6659_D0L2_ICON.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN6659/E6158A75-4181-4AA7-B3D2-E916989EAB59/FAN6659_D0L2_LARGE.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN6659/918D3F1E-5930-4C98-873D-BA42C8D7C0D7/FAN6659_D0L2_SMALL.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN6659/36527259-3678-4731-B48B-A9F7C0ECFD99/FAN6659_D0L2_THUMBNAIL.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN6659/4DA76D21-359A-42C7-B6B8-D77C76411EC4/FAN6659_D0L2_MEDIUM.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN6659/AD9CABC8-557F-426F-B48B-65A4632067A7/FAN6659_D0L2_LARGE.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN6659/B36EC19D-47F6-434D-970E-0A9FC4E0AAAE/FAN6659_D0L2_MEDIUM.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN6659/C5CD981B-FFC7-4FD4-88CB-2AE5D418DBD6/FAN6659_D0L2_SMALL.jpg']","Ashley Jacket","Cotton, Silk","['D0L2|Maitake|https://media.loropiana.com/HYBRIS/FAN/FAN6659/9D3DAF57-3236-4D7B-9625-7A4C7F426CEA/FAN6659_D0L2_BISCOTTO.jpg']","https:/p/woman/outerwear-jackets/ashley-jacket-FAN6659?colorCode=D0L2"
"L1_WOM","FAN7989_D0L2","1650.0","USD","['https://media.loropiana.com/HYBRIS/FAN/FAN7989/289B2B2A-4825-434E-8E4D-26D34D9E7743/FAN7989_D0L2_ICON.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN7989/A2474068-BFBB-45F1-92FE-9C4FAA643901/FAN7989_D0L2_LARGE.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN7989/97ABE01A-34FF-4017-AAFF-FE59A85CB6ED/FAN7989_D0L2_SMALL.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN7989/182E3EFD-8F36-4CA6-9A49-D9E5536630EF/FAN7989_D0L2_THUMBNAIL.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN7989/F633168A-A269-4C16-BDB5-C503831068F0/FAN7989_D0L2_MEDIUM.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN7989/D781E9CE-A4B1-4B3A-A740-AB9A4BA6B9FF/FAN7989_D0L2_LARGE.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN7989/48E02DC0-12F0-4792-9151-FF18FDCC29E9/FAN7989_D0L2_MEDIUM.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN7989/6AF11222-EE46-49DA-BEF8-46D453E52A8E/FAN7989_D0L2_SMALL.jpg']","Thayer Pants","Cotton, Silk","['D0L2|Maitake|https://media.loropiana.com/HYBRIS/FAN/FAN7989/9D3DAF57-3236-4D7B-9625-7A4C7F426CEA/FAN7989_D0L2_BISCOTTO.jpg']","https:/p/woman/trousers-and-shorts/thayer-pants-FAN7989?colorCode=D0L2"
"L1_WOM","FAN9323_M0PH","3200.0","USD","['https://media.loropiana.com/HYBRIS/FAN/FAN9323/06D98AB5-C731-40A8-8DC3-4DEEEA5B4A56/FAN9323_M0PH_ICON.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN9323/712165BF-F037-450A-956E-65DD65F7F3ED/FAN9323_M0PH_LARGE.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN9323/0AF02365-E66A-4C14-A53F-3D6D77AD595F/FAN9323_M0PH_SMALL.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN9323/58189409-9F48-4460-8CF6-F88D68461B8C/FAN9323_M0PH_THUMBNAIL.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN9323/E58F2F05-32C9-4A5E-83D0-C2A03DF8D173/FAN9323_M0PH_MEDIUM.jpg']","Izumi Cape","Viscose, Silk, Cashmere","['30FS|Cinder Rose|https://media.loropiana.com/HYBRIS/FAN/FAN9323/3BB9C544-84FC-48B5-AD30-C71108E54C43/FAN9323_30FS_BISCOTTO.jpg', 'M0PH|Grey Silver|https://media.loropiana.com/HYBRIS/FAN/FAN9323/444D4970-3CFF-4028-86FE-F340E1A11566/FAN9323_M0PH_BISCOTTO.jpg']","https:/p/woman/coats-and-capes/izumi-cape-FAN9323?colorCode=M0PH"
"L1_WOM","FAM8304_A0E3","3125.0","USD","['https://media.loropiana.com/HYBRIS/FAM/FAM8304/A2091AFD-32A8-48B4-A95F-34DADA2AC839/FAM8304_A0E3_ICON.jpg', 'https://media.loropiana.com/HYBRIS/FAM/FAM8304/319918C9-1989-4C28-A5E3-FC358864886E/FAM8304_A0E3_LARGE.jpg', 'https://media.loropiana.com/HYBRIS/FAM/FAM8304/FF1D76E6-92E4-4977-902B-B17F87705B22/FAM8304_A0E3_SMALL.jpg', 'https://media.loropiana.com/HYBRIS/FAM/FAM8304/3D1AECA9-64A4-4CCC-813D-BD341A19A465/FAM8304_A0E3_THUMBNAIL.jpg', 'https://media.loropiana.com/HYBRIS/FAM/FAM8304/824FC139-6F56-46FA-9058-90269E736B83/FAM8304_A0E3_MEDIUM.jpg', 'https://media.loropiana.com/HYBRIS/FAM/FAM8304/85FD2615-B819-46CF-854E-1D69F77A86AC/FAM8304_A0E3_LARGE.jpg', 'https://media.loropiana.com/HYBRIS/FAM/FAM8304/EB505E90-47BD-4F8D-97C5-E8BC3D27E46B/FAM8304_A0E3_MEDIUM.jpg', 'https://media.loropiana.com/HYBRIS/FAM/FAM8304/E9E6537B-6060-47B6-84DE-4E906FE75A5B/FAM8304_A0E3_SMALL.jpg']","The Gift of Kings® Polo Shirt","The Gift of Kings®","['30AX|ALMOND BLOSSOM|https://media.loropiana.com/HYBRIS/FAM/FAM8304/60C62385-AA42-4881-8B02-02D8E3BCB6E8/FAM8304_30AX_BISCOTTO.jpg', '601M|Candy Sky|https://media.loropiana.com/HYBRIS/FAM/FAM8304/B1FF4180-63D8-4831-B678-6041A93EEE94/FAM8304_601M_BISCOTTO.jpg', '8000|Black|https://media.loropiana.com/HYBRIS/FAM/FAM8304/FCFE3706-F291-45F7-8BD6-7F3EF9F89250/FAM8304_8000_BISCOTTO.jpg', 'A07C|LIGHT DUNE|https://media.loropiana.com/HYBRIS/FAM/FAM8304/8C4FD930-54C1-461D-8169-A0C1397726FF/FAM8304_A07C_BISCOTTO.jpg', 'A0E3|Star Sand|https://media.loropiana.com/HYBRIS/FAM/FAM8304/211DD482-F764-4665-B7BA-232AC68C4632/FAM8304_A0E3_BISCOTTO.jpg', 'E028|Acorn Melange|https://media.loropiana.com/HYBRIS/FAM/FAM8304/D616815E-EEAF-46B5-A975-90256C3D73E4/FAM8304_E028_BISCOTTO.jpg', 'W11L|Mashu Lake Mel|https://media.loropiana.com/HYBRIS/FAM/FAM8304/6A4B1D5E-84E0-4676-A205-06B56906241C/FAM8304_W11L_BISCOTTO.jpg']","https:/p/woman/the-gift-of-kings/the-gift-of-kings-polo-shirt-FAM8304?colorCode=A0E3"
"L1_WOM","FAN6249_A123","1325.0","USD","['https://media.loropiana.com/HYBRIS/FAN/FAN6249/889375F4-52CE-4284-809F-BE111B6A60AC/FAN6249_A123_ICON.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN6249/88ACF276-9FCD-47CC-8D0F-1F039690D657/FAN6249_A123_LARGE.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN6249/9E3E266A-3275-437E-AFD2-9F634FA9BF7A/FAN6249_A123_SMALL.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN6249/55DB76B6-4FCD-4972-99A4-AFC606E34A0E/FAN6249_A123_THUMBNAIL.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN6249/82DC7A29-11A1-4EA5-B071-5387F6BB406D/FAN6249_A123_MEDIUM.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN6249/589EB123-58F6-45C0-B9B4-9FA15EDF334A/FAN6249_A123_LARGE.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN6249/D0CA6F1A-3238-4DE9-9864-DE12D65E2CBB/FAN6249_A123_MEDIUM.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN6249/FAC1D703-1660-4289-853C-B5CD92F4F7B1/FAN6249_A123_SMALL.jpg']","Takao Sweater","Silk, Cashmere","['A123|Light Dune Melange|https://media.loropiana.com/HYBRIS/FAN/FAN6249/BE0BC68E-1659-4AF6-9A62-45B62E7AFCD4/FAN6249_A123_BISCOTTO.jpg']","https:/p/woman/knitwear/takao-sweater-FAN6249?colorCode=A123"
"L1_WOM","FAN6250_A123","1700.0","USD","['https://media.loropiana.com/HYBRIS/FAN/FAN6250/915E3172-C9E9-449F-B779-E384B44D94C4/FAN6250_A123_ICON.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN6250/73A29295-0B95-4F25-9A38-BCF7B2983682/FAN6250_A123_LARGE.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN6250/DB979230-FE2C-4ED0-893A-063D3157ABA9/FAN6250_A123_SMALL.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN6250/38BC854C-5833-402C-945F-C8D1289FAA8C/FAN6250_A123_THUMBNAIL.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN6250/192FAE32-47B9-4917-A330-B878AD7EAE7A/FAN6250_A123_MEDIUM.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN6250/8C105E73-A7CB-4B56-989E-CA454A3C4888/FAN6250_A123_LARGE.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN6250/6F3820A8-E5FE-46C6-84B7-D0BF64D00106/FAN6250_A123_MEDIUM.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN6250/95F65DA4-3903-4FC3-B3BE-7D1113FE55A0/FAN6250_A123_SMALL.jpg']","Takao Cardigan","Silk, Cashmere","['A123|Light Dune Melange|https://media.loropiana.com/HYBRIS/FAN/FAN6250/8F0C9444-0E1E-4BE0-AECB-67D0F47CB78F/FAN6250_A123_BISCOTTO.jpg']","https:/p/woman/knitwear/takao-cardigan-FAN6250?colorCode=A123"
"L1_WOM","FAO0520_A0ES","3425.0","USD","['https://media.loropiana.com/HYBRIS/FAO/FAO0520/63DAA621-A617-44FB-BD4E-2A5BD0645E8A/FAO0520_A0ES_ICON.jpg', 'https://media.loropiana.com/HYBRIS/FAO/FAO0520/4AD67148-EACA-4C27-B12F-1C7867D88E6B/FAO0520_A0ES_LARGE.jpg', 'https://media.loropiana.com/HYBRIS/FAO/FAO0520/E212DF8B-5C7A-464D-B736-0E97C6090D23/FAO0520_A0ES_SMALL.jpg', 'https://media.loropiana.com/HYBRIS/FAO/FAO0520/2F4E94DB-99F8-4B4A-A6F7-D6B23662BA16/FAO0520_A0ES_THUMBNAIL.jpg', 'https://media.loropiana.com/HYBRIS/FAO/FAO0520/9833FDC5-D750-4C7C-996C-9DF1018899B8/FAO0520_A0ES_MEDIUM.jpg', 'https://media.loropiana.com/HYBRIS/FAO/FAO0520/83E619DA-83E0-4629-9F92-9E25E4155368/FAO0520_A0ES_LARGE.jpg', 'https://media.loropiana.com/HYBRIS/FAO/FAO0520/0EC524A7-06BB-404E-9F4E-68EF1484D065/FAO0520_A0ES_MEDIUM.jpg', 'https://media.loropiana.com/HYBRIS/FAO/FAO0520/B53C3303-905C-4D78-896C-888BE540E0D1/FAO0520_A0ES_SMALL.jpg']","Spagna Jacket","Silk, Linen, Virgin Wool","['A0ES|Shoji Paper|https://media.loropiana.com/HYBRIS/FAO/FAO0520/29D598FB-02B9-496D-A4BC-42570D3043BA/FAO0520_A0ES_BISCOTTO.jpg']","https:/p/woman/blazers/spagna-jacket-FAO0520?colorCode=A0ES"
"L1_WOM","FAN6840_A0ES","2725.0","USD","['https://media.loropiana.com/HYBRIS/FAN/FAN6840/01EE31C6-04E1-48B5-8CCA-ADC604DE5CC3/FAN6840_A0ES_ICON.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN6840/255715C4-9107-4723-A641-67C3491B7703/FAN6840_A0ES_LARGE.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN6840/B0530E7A-453A-4082-A874-CE1908CC14C9/FAN6840_A0ES_SMALL.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN6840/473EB68E-27B7-493B-A50E-8589BA6F7CE7/FAN6840_A0ES_THUMBNAIL.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN6840/174F77B1-A518-4672-B767-983300BF5AD7/FAN6840_A0ES_MEDIUM.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN6840/D38E7EEF-00ED-4DD5-9210-1F9584C5DD1E/FAN6840_A0ES_LARGE.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN6840/808A2B5C-116B-40C5-B2E0-B60FBE81EBB1/FAN6840_A0ES_MEDIUM.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN6840/E24B0D83-E75C-4478-BE8C-E8F9B1189577/FAN6840_A0ES_SMALL.jpg']","Fumiko Skirt","Silk, Linen, Virgin Wool","['A0ES|Shoji Paper|https://media.loropiana.com/HYBRIS/FAN/FAN6840/29D598FB-02B9-496D-A4BC-42570D3043BA/FAN6840_A0ES_BISCOTTO.jpg']","https:/p/woman/skirts/fumiko-skirt-FAN6840?colorCode=A0ES"
"L1_WOM","FAN6605_D0KW","5250.0","USD","['https://media.loropiana.com/HYBRIS/FAN/FAN6605/EE154204-9F6A-4BAE-B569-5B315DB78FAF/FAN6605_D0KW_ICON.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN6605/E7E47706-670F-49FF-ADCE-4ED00ED0C46C/FAN6605_D0KW_LARGE.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN6605/9D832232-7033-4129-9E20-01AD243F1C92/FAN6605_D0KW_SMALL.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN6605/827AAEFB-E2EB-4472-A7CB-9C719C37195F/FAN6605_D0KW_THUMBNAIL.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN6605/EADAAD65-E049-45EC-96B5-0460CCE17B5B/FAN6605_D0KW_MEDIUM.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN6605/87EE2CEC-D913-421D-BFD8-3D66C13E4167/FAN6605_D0KW_LARGE.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN6605/83932F42-BCC5-44E9-BF4A-9D6C10EFB92A/FAN6605_D0KW_MEDIUM.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN6605/897B8121-EEAD-4EA9-9079-46B58A47E09D/FAN6605_D0KW_SMALL.jpg']","Sander Coat","Silk, Linen, Virgin Wool","['D0KW|Caraway Seed|https://media.loropiana.com/HYBRIS/FAN/FAN6605/C3DEE198-5DE6-4A1C-A976-A63EBBBCD5BD/FAN6605_D0KW_BISCOTTO.jpg']","https:/p/woman/coats-and-capes/sander-coat-FAN6605?colorCode=D0KW"
"L1_WOM","FAN6349_A0E3","3725.0","USD","['https://media.loropiana.com/HYBRIS/FAN/FAN6349/E8FA5928-BD95-4B6C-AEC7-78A93939A8A5/FAN6349_A0E3_ICON.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN6349/17DE138E-B507-47BC-8726-6660A9E8364A/FAN6349_A0E3_LARGE.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN6349/3AF30E8A-F34C-4EEC-A93D-874EF90ADA37/FAN6349_A0E3_SMALL.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN6349/DB7D7CAC-8B13-44E4-82E1-5C8F9D0F2E2F/FAN6349_A0E3_THUMBNAIL.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN6349/D48C1CC6-0CEF-476E-A77A-06B05C7EEF5D/FAN6349_A0E3_MEDIUM.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN6349/FBEE759C-5F80-44A2-9BB4-167AD7A77E7A/FAN6349_A0E3_LARGE.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN6349/B12E4387-EDE6-4C11-A36E-F7E198073B0F/FAN6349_A0E3_MEDIUM.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN6349/AF51F56D-3927-4ADE-97F5-6EAF62F1E24C/FAN6349_A0E3_SMALL.jpg']","Gok Sweater","The Gift of Kings®","['A0E3|Star Sand|https://media.loropiana.com/HYBRIS/FAN/FAN6349/B10EADC7-E1F8-4C23-9FAC-8A5E3E4C2E9A/FAN6349_A0E3_BISCOTTO.jpg']","https:/p/woman/knitwear/gok-sweater-FAN6349?colorCode=A0E3"
