product_id,product_name,price,category,image_urls,product_url,colors,sale_price,original_price,discount,filename
FA-UX-SWEA000162,Patch print sweater - Relaxed fit,$350,men_clothing,https://www.acnestudios.com/dw/image/v2/AAXV_PRD/on/demandware.static/-/Sites-acne-product-catalog/default/dweb73d5a1/images/CI/CI0157-/2000x/CI0157-AFH_A.jpg?sw=560&sh=840,https://www.acnestudios.com/us/en/patch-print-sweater---relaxed-fit-carbon-grey/CI0157-AFH.html?g=man,"2 Colors,Unisex",,$350,,men_clothing.html
FA-UX-SWEA000166,Hooded sweatshirt - Regular fit,$350,men_clothing,https://www.acnestudios.com/dw/image/v2/AAXV_PRD/on/demandware.static/-/Sites-acne-product-catalog/default/dw713041ae/images/CI/CI0141-/2000x/CI0141-X92_A.jpg?sw=560&sh=840,https://www.acnestudios.com/us/en/hooded-sweatshirt---regular-fit-light-grey-melange/CI0141-X92.html?g=man,"3 Colors,Unisex",,$350,,men_clothing.html
FA-UX-SWEA000166,Hooded sweatshirt - Regular fit,$350,men_clothing,https://www.acnestudios.com/dw/image/v2/AAXV_PRD/on/demandware.static/-/Sites-acne-product-catalog/default/dw7293956d/images/CI/CI0141-/2000x/CI0141-900_A.jpg?sw=560&sh=840,https://www.acnestudios.com/us/en/hooded-sweatshirt---regular-fit-black/CI0141-900.html?g=man,"3 Colors,Unisex",,$350,,men_clothing.html
FN-UX-SWEA000012,Crew neck sweater,$350,men_clothing,"https://www.acnestudios.com/dw/image/v2/AAXV_PRD/on/demandware.static/-/Sites-acne-product-catalog/default/dwa3157928/images/CI/CI0126-/2000x/CI0126-900_A.jpg?sw=560&sh=840,https://www.acnestudios.com/dw/image/v2/AAXV_PRD/on/demandware.static/-/Sites-acne-product-catalog/default/dw3e5eb695/images/CI/CI0126-/2000x/CI0126-900_PLP_HOVER.jpg?sw=560&sh=840",https://www.acnestudios.com/us/en/crew-neck-sweater-black/CI0126-900.html?g=man,2 Colors,,$350,,men_clothing.html
FN-MN-SHIR000777,Stripe button-up shirt,$420,men_clothing,"https://www.acnestudios.com/dw/image/v2/AAXV_PRD/on/demandware.static/-/Sites-acne-product-catalog/default/dwa5d9eb3a/images/BB/BB0585-/2000x/BB0585-J83_A.jpg?sw=560&sh=840,https://www.acnestudios.com/dw/image/v2/AAXV_PRD/on/demandware.static/-/Sites-acne-product-catalog/default/dwee9f7534/images/BB/BB0585-/2000x/BB0585-J83_PLP_HOVER.jpg?sw=560&sh=840",https://www.acnestudios.com/us/en/stripe-button-up-shirt-black-white/BB0585-J83.html?g=man,,,$420,,men_clothing.html
FN-UX-SHIR000028,Denim button-up shirt - Relaxed fit,$440,men_clothing,"https://www.acnestudios.com/dw/image/v2/AAXV_PRD/on/demandware.static/-/Sites-acne-product-catalog/default/dw5fd82d93/images/CB/CB0077-/2000x/CB0077-135_A.jpg?sw=560&sh=840,https://www.acnestudios.com/dw/image/v2/AAXV_PRD/on/demandware.static/-/Sites-acne-product-catalog/default/dw5d706526/images/CB/CB0077-/2000x/CB0077-135_PLP_HOVER.jpg?sw=560&sh=840",https://www.acnestudios.com/us/en/denim-button-up-shirt---relaxed-fit-indigo-blue/CB0077-135.html?g=man,,,$440,,men_clothing.html
FN-UX-SHIR000027,Denim button-up shirt - Relaxed fit,$380,men_clothing,"https://www.acnestudios.com/dw/image/v2/AAXV_PRD/on/demandware.static/-/Sites-acne-product-catalog/default/dw945776a9/images/CB/CB0078-/2000x/CB0078-135_A.jpg?sw=560&sh=840,https://www.acnestudios.com/dw/image/v2/AAXV_PRD/on/demandware.static/-/Sites-acne-product-catalog/default/dw63792f1e/images/CB/CB0078-/2000x/CB0078-135_PLP_HOVER.jpg?sw=560&sh=840",https://www.acnestudios.com/us/en/denim-button-up-shirt---relaxed-fit-indigo-blue/CB0078-135.html?g=man,,,$380,,men_clothing.html
FN-MN-SHIR000772,Print button-up shirt,$560,men_clothing,"https://www.acnestudios.com/dw/image/v2/AAXV_PRD/on/demandware.static/-/Sites-acne-product-catalog/default/dw1ce74114/images/BB/BB0587-/2000x/BB0587-BM9_A.jpg?sw=560&sh=840,https://www.acnestudios.com/dw/image/v2/AAXV_PRD/on/demandware.static/-/Sites-acne-product-catalog/default/dw77b06093/images/BB/BB0587-/2000x/BB0587-BM9_PLP_HOVER.jpg?sw=560&sh=840",https://www.acnestudios.com/us/en/print-button-up-shirt-black-ecru/BB0587-BM9.html?g=man,,,$560,,men_clothing.html
FN-MN-SHIR000645 FW23,Button-up shirt,$350,men_clothing,https://www.acnestudios.com/dw/image/v2/AAXV_PRD/on/demandware.static/-/Sites-acne-product-catalog/default/dwc26d9e48/images/BB/BB0512-/2000x/BB0512-AAT_A.jpg?sw=560&sh=840,https://www.acnestudios.com/us/en/button-up-shirt-dusty-blue/BB0512-AAT.html?g=man,2 Colors,,$350,,men_clothing.html
FN-MN-SHIR000728,Button-up shirt,$380,men_clothing,"https://www.acnestudios.com/dw/image/v2/AAXV_PRD/on/demandware.static/-/Sites-acne-product-catalog/default/dwb8626a7b/images/BB/BB0557-/2000x/BB0557-415_A.jpg?sw=560&sh=840,https://www.acnestudios.com/dw/image/v2/AAXV_PRD/on/demandware.static/-/Sites-acne-product-catalog/default/dw3651f52e/images/BB/BB0557-/2000x/BB0557-415_PLP_HOVER.jpg?sw=560&sh=840",https://www.acnestudios.com/us/en/button-up-shirt-pink/BB0557-415.html?g=man,,,$380,,men_clothing.html
FN-MN-SHIR000768,Monogram denim shirt - Relaxed fit,$800,men_clothing,"https://www.acnestudios.com/dw/image/v2/AAXV_PRD/on/demandware.static/-/Sites-acne-product-catalog/default/dwb5200d81/images/BB/BB0562-/2000x/BB0562-BUF_A.jpg?sw=560&sh=840,https://www.acnestudios.com/dw/image/v2/AAXV_PRD/on/demandware.static/-/Sites-acne-product-catalog/default/dwa5bb6f4f/images/BB/BB0562-/2000x/BB0562-BUF_PLP_HOVER.jpg?sw=560&sh=840",https://www.acnestudios.com/us/en/monogram-denim-shirt---relaxed-fit-blue-beige/BB0562-BUF.html?g=man,,,$800,,men_clothing.html
FN-MN-SHIR000740,Long sleeve shirt,$420,men_clothing,"https://www.acnestudios.com/dw/image/v2/AAXV_PRD/on/demandware.static/-/Sites-acne-product-catalog/default/dw09585126/images/BB/BB0575-/2000x/BB0575-BG3_A.jpg?sw=560&sh=840,https://www.acnestudios.com/dw/image/v2/AAXV_PRD/on/demandware.static/-/Sites-acne-product-catalog/default/dw5a57512c/images/BB/BB0575-/2000x/BB0575-BG3_PLP_HOVER.jpg?sw=560&sh=840",https://www.acnestudios.com/us/en/long-sleeve-shirt-navy/BB0575-BG3.html?g=man,,,$420,,men_clothing.html
