category,name,product_id,product_url,image_url,other_images,full_price,discount_price,stock,color,tag(s),filename
c-men,Large 'Boke Flower' purse,FD65PM902F34.76,https://www.kenzo.com/en-us/large-boke-flower-purse/FD65PM902F34.76.html,https://media.kenzo.com/b2cprd/FD65PM902F34.76_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FD65PM902F34.76_P_02.jpg?twic=v1/cover=4:5/resize=706,$ 265.00,,Back in Stock,"ecru, navy blue",,c-men.html
c-men,'KENZO Utility' large tote bag,FE58SA911F35.03,https://www.kenzo.com/en-us/kenzo-utility-large-tote-bag/FE58SA911F35.03.html,https://media.kenzo.com/b2cprd/FE58SA911F35.03_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE58SA911F35.03_H_01.jpg?twic=v1/cover=4:5/resize=706,$ 470.00,,,"ecru, black",,c-men.html
c-men,'Lucky Tiger' embroidered zip-up hoodie,FE55SW1964MF.93,https://www.kenzo.com/en-us/lucky-tiger-embroidered-zip-up-hoodie/FE55SW1964MF.93.html,https://media.kenzo.com/b2cprd/FE55SW1964MF.93_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE55SW1964MF.93_H_01.jpg?twic=v1/cover=4:5/resize=706,$ 445.00,,,"black, pale grey",New,c-men.html
c-men,'KENZO Utility' embroidered cotton hat,FE68AC414F41.99,https://www.kenzo.com/en-us/kenzo-utility-embroidered-cotton-hat/FE68AC414F41.99.html,https://media.kenzo.com/b2cprd/FE68AC414F41.99_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE68AC414F41.99_P_02.jpg?twic=v1/cover=4:5/resize=706,$ 170.00,,,,,c-men.html
c-men,'Boke Flower 2.0' classic T-shirt,FE65TS4714SG.01,https://www.kenzo.com/en-us/boke-flower-2.0-classic-t-shirt/FE65TS4714SG.01.html,https://media.kenzo.com/b2cprd/FE65TS4714SG.01_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE65TS4714SG.01_H_01.jpg?twic=v1/cover=4:5/resize=706,$ 175.00,,,"white, black",,c-men.html
c-men,'KENZO Jungle' phone pocket with cross-body strap,FC65PM208F30.99,https://www.kenzo.com/en-us/kenzo-jungle-phone-pocket-with-cross-body-strap-/FC65PM208F30.99.html,https://media.kenzo.com/b2cprd/FC65PM208F30.99_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FC65PM208F30.99_P_02.jpg?twic=v1/cover=4:5/resize=706,$ 230.00,,Back in Stock,,,c-men.html
c-men,'KENZO by Verdy' oversized hooded genderless sweatshirt,FE58SW0074MG.02,https://www.kenzo.com/en-us/kenzo-by-verdy-oversized-hooded-genderless-sweatshirt/FE58SW0074MG.02.html,https://media.kenzo.com/b2cprd/FE58SW0074MG.02_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE58SW0074MG.02_F_01.jpg?twic=v1/cover=4:5/resize=706,$ 530.00,$ 371.00,,"off white, black",,c-men.html
c-men,'KENZO Stamp' large square in cotton.,FE52EW550PEL.77,https://www.kenzo.com/en-us/kenzo-stamp-large-square-in-cotton./FE52EW550PEL.77.html,https://media.kenzo.com/b2cprd/FE52EW550PEL.77_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE52EW550PEL.77_P_02.jpg?twic=v1/cover=4:5/resize=706,$ 350.00,$ 210.00,,"faded pink, midnight blue",,c-men.html
c-men,'Bicolor KENZO Paris' straight leg jogging trousers,FE55PA5049OA.99,https://www.kenzo.com/en-us/bicolor-kenzo-paris-straight-leg-jogging-trousers/FE55PA5049OA.99.html,https://media.kenzo.com/b2cprd/FE55PA5049OA.99_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE55PA5049OA.99_H_01.jpg?twic=v1/cover=4:5/resize=706,$ 530.00,,,,,c-men.html
c-men,'KENZO Stamp' cotton bandana,FE58EU230PEC.21,https://www.kenzo.com/en-us/kenzo-stamp-cotton-bandana/FE58EU230PEC.21.html,https://media.kenzo.com/b2cprd/FE58EU230PEC.21_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE58EU230PEC.21_P_02.jpg?twic=v1/cover=4:5/resize=706,$ 155.00,,Back in Stock,,,c-men.html
c-men,'KENZO Jungle' iPhone 15 Pro Max case,FE58CO5PMJGL.99,https://www.kenzo.com/en-us/kenzo-jungle-iphone-15-pro-max-case/FE58CO5PMJGL.99.html,https://media.kenzo.com/b2cprd/FE58CO5PMJGL.99_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE58CO5PMJGL.99_P_02.jpg?twic=v1/cover=4:5/resize=706,$ 145.00,,Back in Stock,,,c-men.html
c-men,'Year of the Dragon' oversize genderless T-shirt,FE58TS0034SG.22,https://www.kenzo.com/en-us/year-of-the-dragon-oversize-genderless-t-shirt/FE58TS0034SG.22.html,https://media.kenzo.com/b2cprd/FE58TS0034SG.22_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE58TS0034SG.22_F_01.jpg?twic=v1/cover=4:5/resize=706,$ 205.00,$ 144.00,,"off white, cherry",,c-men.html
c-men,'KENZO Drawn Varsity' embroidered slim T-shirt,FE55TS2714SG.99J,https://www.kenzo.com/en-us/kenzo-drawn-varsity-embroidered-slim-t-shirt/FE55TS2714SG.99J.html,https://media.kenzo.com/b2cprd/FE55TS2714SG.99J_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE55TS2714SG.99J_H_01.jpg?twic=v1/cover=4:5/resize=706,$ 230.00,$ 161.00,,"off white, black",,c-men.html
c-men,'KENZO Elephant' oversized embroidered T-shirt,FD65TS1344SG.99J,https://www.kenzo.com/en-us/kenzo-elephant-oversized-embroidered-t-shirt/FD65TS1344SG.99J.html,https://media.kenzo.com/b2cprd/FD65TS1344SG.99J_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FD65TS1344SG.99J_H_01.jpg?twic=v1/cover=4:5/resize=706,$ 255.00,$ 179.00,,"cherry, black",,c-men.html
c-men,'KENZO Jungle' iPhone 15 Pro case,FE58COI5PJGL.99,https://www.kenzo.com/en-us/kenzo-jungle-iphone-15-pro-case/FE58COI5PJGL.99.html,https://media.kenzo.com/b2cprd/FE58COI5PJGL.99_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE58COI5PJGL.99_P_02.jpg?twic=v1/cover=4:5/resize=706,$ 145.00,,Back in Stock,,,c-men.html
c-men,'KENZO Emboss' iPhone 15 Pro case,FE58COI5PSKL.99J,https://www.kenzo.com/en-us/kenzo-emboss-iphone-15-pro-case/FE58COI5PSKL.99J.html,https://media.kenzo.com/b2cprd/FE58COI5PSKL.99J_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE58COI5PSKL.99J_P_02.jpg?twic=v1/cover=4:5/resize=706,$ 110.00,,Back in Stock,,,c-men.html
c-men,Straight-cut genderless ARMY jeans,FE58DP3756N1.DM,https://www.kenzo.com/en-us/straight-cut-genderless-army-jeans/FE58DP3756N1.DM.html,https://media.kenzo.com/b2cprd/FE58DP3756N1.DM_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE58DP3756N1.DM_F_02.jpg?twic=v1/cover=4:5/resize=706,$ 610.00,$ 366.00,,,,c-men.html
c-men,'KENZO Drawn Varsity' shorts,FE55PA8064MF.99J,https://www.kenzo.com/en-us/kenzo-drawn-varsity-shorts/FE55PA8064MF.99J.html,https://media.kenzo.com/b2cprd/FE55PA8064MF.99J_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE55PA8064MF.99J_H_05.jpg?twic=v1/cover=4:5/resize=706,$ 300.00,$ 210.00,,"pale grey, black",,c-men.html
c-men,'Boke Flower' sweatshirt,FD55SW4454ME.77,https://www.kenzo.com/en-us/boke-flower-sweatshirt/FD55SW4454ME.77.html,https://media.kenzo.com/b2cprd/FD55SW4454ME.77_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FD55SW4454ME.77_P_02.jpg?twic=v1/cover=4:5/resize=706,$ 395.00,,,"midnight blue, pale grey, black",,c-men.html
c-men,'Boke Flower' embroidered polo shirt,FC65PO0024PU.01,https://www.kenzo.com/en-us/boke-flower-embroidered-polo-shirt/FC65PO0024PU.01.html,https://media.kenzo.com/b2cprd/FC65PO0024PU.01_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FC65PO0024PU.01_H_01.jpg?twic=v1/cover=4:5/resize=706,$ 205.00,,,"black, pale grey, white",,c-men.html
