product_id,product_name,original_price,discounted_price,category,image_urls,product_url,filename,relative_path
M01058M00S30M01,Two-color cargo jeans,$ 220,$ 132,2024-07-10 15-42-50\en-us\kids\kids,"https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw0141d4e1/images/large/M01058_M00S3_0M01_R.jpg?sw=768&q=80, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw1e0635b5/images/large/M01058_M00S3_0M01_F.jpg?sw=768&q=80, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw18128c1a/images/large/M01058_M00S3_0M01_E.jpg?sw=768&q=80, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dwb7adefae/images/large/M01058_M00S3_0M01_A.jpg?sw=768&q=80, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw0141d4e1/images/large/M01058_M00S3_0M01_R.jpg?sw=768&q=80, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw1e0635b5/images/large/M01058_M00S3_0M01_F.jpg?sw=768&q=80",/en-us/pants-M01058M00S30M01.html,kids.html,2024-07-10 15-42-50\en-us\kids\kids.html
AMMB076720UAMMVMR589,Turquoise Feather Marabou Sandal,$ 265,$ 159,2024-07-10 15-42-50\en-us\kids\kids,"https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw19bfbfcd/images/large/AMMB076720_UAMMV_MR589_R.jpg?sw=768&q=80, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dwc856bd01/images/large/AMMB076720_UAMMV_MR589_F.jpg?sw=768&q=80, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw5373d1b2/images/large/AMMB076720_UAMMV_MR589_E.jpg?sw=768&q=80, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dwe6db3caf/images/large/AMMB076720_UAMMV_MR589_A.jpg?sw=768&q=80, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw19bfbfcd/images/large/AMMB076720_UAMMV_MR589_R.jpg?sw=768&q=80, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dwc856bd01/images/large/AMMB076720_UAMMV_MR589_F.jpg?sw=768&q=80",/en-us/kids-AMMB076720UAMMVMR589.html,kids.html,2024-07-10 15-42-50\en-us\kids\kids.html
M01088M00J20M900,Black baseball cap with Rainbow logo,$ 80,$ 48,2024-07-10 15-42-50\en-us\kids\kids,"https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dwa5cd892b/images/large/M01088_M00J2_0M900_A.jpg?sw=768&q=80, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw1bfb65f7/images/large/M01088_M00J2_0M900_F.jpg?sw=768&q=80, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw2a7d2332/images/large/M01088_M00J2_0M900_E.jpg?sw=768&q=80, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dwa5cd892b/images/large/M01088_M00J2_0M900_A.jpg?sw=768&q=80, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw1bfb65f7/images/large/M01088_M00J2_0M900_F.jpg?sw=768&q=80",/en-us/caps-M01088M00J20M900.html,kids.html,2024-07-10 15-42-50\en-us\kids\kids.html
M01031M00LE0M100,Whitw leggings pants with stitching,$ 100,$ 60,2024-07-10 15-42-50\en-us\kids\kids,"https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw59b298f4/images/large/M01031_M00LE_0M100_R.jpg?sw=768&q=80, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dwf7ab0528/images/large/M01031_M00LE_0M100_F.jpg?sw=768&q=80, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw7855abf1/images/large/M01031_M00LE_0M100_E.jpg?sw=768&q=80, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dwdbbfc5da/images/large/M01031_M00LE_0M100_A.jpg?sw=768&q=80, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw59b298f4/images/large/M01031_M00LE_0M100_R.jpg?sw=768&q=80, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dwf7ab0528/images/large/M01031_M00LE_0M100_F.jpg?sw=768&q=80",/en-us/pants-M01031M00LE0M100.html,kids.html,2024-07-10 15-42-50\en-us\kids\kids.html
AMMB076729UAMSVMR263,White Denim Logo Sneaker,$ 260,$ 156,2024-07-10 15-42-50\en-us\kids\kids,"https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw6e0fbeb9/images/large/AMMB076729_UAMSV_MR263_R.jpg?sw=768&q=80, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw692a6866/images/large/AMMB076729_UAMSV_MR263_F.jpg?sw=768&q=80, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw868c15d7/images/large/AMMB076729_UAMSV_MR263_E.jpg?sw=768&q=80, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dwa6a0c33a/images/large/AMMB076729_UAMSV_MR263_A.jpg?sw=768&q=80, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw6e0fbeb9/images/large/AMMB076729_UAMSV_MR263_R.jpg?sw=768&q=80, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw692a6866/images/large/AMMB076729_UAMSV_MR263_F.jpg?sw=768&q=80",/en-us/kids-AMMB076729UAMSVMR263.html,kids.html,2024-07-10 15-42-50\en-us\kids\kids.html
M01154M00SE0M535,Green cotton cardigan,$ 240,$ 144,2024-07-10 15-42-50\en-us\kids\kids,"https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dwffaef4c1/images/large/M01154_M00SE_0M535_R.jpg?sw=768&q=80, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dwefe6da3e/images/large/M01154_M00SE_0M535_F.jpg?sw=768&q=80, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw5186e0e9/images/large/M01154_M00SE_0M535_E.jpg?sw=768&q=80, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dwc3bf3ef7/images/large/M01154_M00SE_0M535_A.jpg?sw=768&q=80, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dwffaef4c1/images/large/M01154_M00SE_0M535_R.jpg?sw=768&q=80, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dwefe6da3e/images/large/M01154_M00SE_0M535_F.jpg?sw=768&q=80",/en-us/knitwear-M01154M00SE0M535.html,kids.html,2024-07-10 15-42-50\en-us\kids\kids.html
M01018M00RV0M01,Denim skirt with Carioca inserts,$ 230,$ 138,2024-07-10 15-42-50\en-us\kids\kids,"https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dwe04b9aeb/images/large/M01018_M00RV_0M01_R.jpg?sw=768&q=80, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw8d8cfbc8/images/large/M01018_M00RV_0M01_F.jpg?sw=768&q=80, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dwb0fe2785/images/large/M01018_M00RV_0M01_E.jpg?sw=768&q=80, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw3bcffa1e/images/large/M01018_M00RV_0M01_A.jpg?sw=768&q=80, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dwe04b9aeb/images/large/M01018_M00RV_0M01_R.jpg?sw=768&q=80, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw8d8cfbc8/images/large/M01018_M00RV_0M01_F.jpg?sw=768&q=80",/en-us/skirts-M01018M00RV0M01.html,kids.html,2024-07-10 15-42-50\en-us\kids\kids.html
AMMB076702AMNGVMR425,Black Padded Sandal,$ 205,$ 123,2024-07-10 15-42-50\en-us\kids\kids,"https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dwb0d31e40/images/large/AMMB076702_AMNGV_MR425_R.jpg?sw=768&q=80, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw4a65a5ea/images/large/AMMB076702_AMNGV_MR425_F.jpg?sw=768&q=80, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw84f6ca72/images/large/AMMB076702_AMNGV_MR425_E.jpg?sw=768&q=80, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw88405bb5/images/large/AMMB076702_AMNGV_MR425_A.jpg?sw=768&q=80, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dwb0d31e40/images/large/AMMB076702_AMNGV_MR425_R.jpg?sw=768&q=80, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw4a65a5ea/images/large/AMMB076702_AMNGV_MR425_F.jpg?sw=768&q=80",/en-us/kids-AMMB076702AMNGVMR425.html,kids.html,2024-07-10 15-42-50\en-us\kids\kids.html
M01102M00RU0M535,Green poplin dress with Carioca print,$ 220,$ 132,2024-07-10 15-42-50\en-us\kids\kids,"https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw112cb4dc/images/large/M01102_M00RU_0M535_A.jpg?sw=768&q=80, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dwc76beec6/images/large/M01102_M00RU_0M535_F.jpg?sw=768&q=80, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dwcf8662cf/images/large/M01102_M00RU_0M535_E.jpg?sw=768&q=80, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw112cb4dc/images/large/M01102_M00RU_0M535_A.jpg?sw=768&q=80, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dwc76beec6/images/large/M01102_M00RU_0M535_F.jpg?sw=768&q=80",/en-us/dresses-M01102M00RU0M535.html,kids.html,2024-07-10 15-42-50\en-us\kids\kids.html
AMMB076722UAMMGHMR027,Light Blue Padded Leather Sneaker,$ 255,,2024-07-10 15-42-50\en-us\kids\kids,"https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw5af5d0a4/images/large/AMMB076722_UAMMGH_MR027_R.jpg?sw=768&q=80, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw883068ce/images/large/AMMB076722_UAMMGH_MR027_F.jpg?sw=768&q=80, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dwe5498dc6/images/large/AMMB076722_UAMMGH_MR027_E.jpg?sw=768&q=80, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dwaeaa6423/images/large/AMMB076722_UAMMGH_MR027_A.jpg?sw=768&q=80, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw5af5d0a4/images/large/AMMB076722_UAMMGH_MR027_R.jpg?sw=768&q=80, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw883068ce/images/large/AMMB076722_UAMMGH_MR027_F.jpg?sw=768&q=80",/en-us/kids-AMMB076722UAMMGHMR027.html,kids.html,2024-07-10 15-42-50\en-us\kids\kids.html
