category,product_id,product_name,price,main_image_url,additional_image_url,product_details_url,filename
some_shoes,vx0703279a,V-10 CWL WHITE MARSALA,$195,https://www.veja-store.com/media/catalog/product/cache/de708007cadfb1d7a7f5924e0c975db1/v/x/vx0703279a__1.jpg,https://www.veja-store.com/media/catalog/product/cache/de708007cadfb1d7a7f5924e0c975db1/v/x/vx0703279a__2.jpg,https://www.veja-store.com/en_us/v-10-cwl-white-marsala-vx0703279a.html,some_shoes.html
some_shoes,vx0703276a,V-10 CWL WHITE BRITTANY,$195,https://www.veja-store.com/media/catalog/product/cache/de708007cadfb1d7a7f5924e0c975db1/v/x/vx0703276a__1.jpg,https://www.veja-store.com/media/catalog/product/cache/de708007cadfb1d7a7f5924e0c975db1/v/x/vx0703276a__2.jpg,https://www.veja-store.com/en_us/v-10-cwl-white-brittany-vx0703276a.html,some_shoes.html
some_shoes,vx1603469a,V-10 J-MESH JUTE WHITE MULTICO,$175,https://www.veja-store.com/media/catalog/product/cache/de708007cadfb1d7a7f5924e0c975db1/V/X/VX1603469A_1.jpg,https://www.veja-store.com/media/catalog/product/cache/de708007cadfb1d7a7f5924e0c975db1/v/x/vx1603469a_2.jpg,https://www.veja-store.com/en_us/v-10-j-mesh-jute-white-multico-vx1603469a.html,some_shoes.html
some_shoes,vt2103355a,VENTURI HEXAMESH GRAVEL GRAFITE,$190,https://www.veja-store.com/media/catalog/product/cache/de708007cadfb1d7a7f5924e0c975db1/V/T/VT2103355A_1.jpg,https://www.veja-store.com/media/catalog/product/cache/de708007cadfb1d7a7f5924e0c975db1/V/T/VT2103355A_2.jpg,https://www.veja-store.com/en_us/venturi-hexamesh-gravel-grafite-vt2103355a.html,some_shoes.html
some_shoes,vc0303546a,VENTURI SUEDE NATURAL WHITE,$190,https://www.veja-store.com/media/catalog/product/cache/de708007cadfb1d7a7f5924e0c975db1/V/C/VC0303546A_1.jpg,https://www.veja-store.com/media/catalog/product/cache/de708007cadfb1d7a7f5924e0c975db1/v/c/vc0303546a_2.jpg,https://www.veja-store.com/en_us/venturi-suede-natural-white-vc0303546a.html,some_shoes.html
some_shoes,vc0703360a,VENTURI CWL FULL BLACK,$215,https://www.veja-store.com/media/catalog/product/cache/de708007cadfb1d7a7f5924e0c975db1/V/C/VC0703360A_1.jpg,https://www.veja-store.com/media/catalog/product/cache/de708007cadfb1d7a7f5924e0c975db1/V/C/VC0703360A_2.jpg,https://www.veja-store.com/en_us/venturi-cwl-full-black-vc0703360a.html,some_shoes.html
some_shoes,eo0203710a,ESPLAR LEATHER WHITE CLAY,$150,https://www.veja-store.com/media/catalog/product/cache/de708007cadfb1d7a7f5924e0c975db1/E/O/EO0203710A_1.jpg,https://www.veja-store.com/media/catalog/product/cache/de708007cadfb1d7a7f5924e0c975db1/E/O/EO0203710A_2.jpg,https://www.veja-store.com/en_us/esplar-leather-white-clay-eo0203710a.html,some_shoes.html
some_shoes,eo0203650a,ESPLAR LEATHER WHITE SWAN,$150,https://www.veja-store.com/media/catalog/product/cache/de708007cadfb1d7a7f5924e0c975db1/E/O/EO0203650A_1.jpg,https://www.veja-store.com/media/catalog/product/cache/de708007cadfb1d7a7f5924e0c975db1/e/o/eo0203650_2.jpg,https://www.veja-store.com/en_us/esplar-leather-white-swan-eo0203650a.html,some_shoes.html
some_shoes,eo0203339a,ESPLAR LEATHER WHITE PETALE,$150,https://www.veja-store.com/media/catalog/product/cache/de708007cadfb1d7a7f5924e0c975db1/e/o/eoo203339a_1.jpg,https://www.veja-store.com/media/catalog/product/cache/de708007cadfb1d7a7f5924e0c975db1/e/o/eoo203339a_2.jpg,https://www.veja-store.com/en_us/esplar-leather-extra-white-petale-eo0203339a.html,some_shoes.html
some_shoes,rr1803139a,SDU ALVEOMESH LIGHT GREY BLACK,$155,https://www.veja-store.com/media/catalog/product/cache/de708007cadfb1d7a7f5924e0c975db1/R/R/RR1803139A_1.jpg,https://www.veja-store.com/media/catalog/product/cache/de708007cadfb1d7a7f5924e0c975db1/R/R/RR1803139A_2.jpg,https://www.veja-store.com/en_us/sdu-alveomesh-light-grey-black-rr1803139a.html,some_shoes.html
some_shoes,rr1803170a,SDU ALVEOMESH NAUTICO PIERRE,$145,https://www.veja-store.com/media/catalog/product/cache/de708007cadfb1d7a7f5924e0c975db1/R/R/RR1803170A_1.jpg,https://www.veja-store.com/media/catalog/product/cache/de708007cadfb1d7a7f5924e0c975db1/R/R/RR1803170A_2.jpg,https://www.veja-store.com/en_us/sdu-alveomesh-nautico-pierre-rr1803170a.html,some_shoes.html
some_shoes,rt0102698a,SDU B-MESH BLACK WHITE,$145,https://www.veja-store.com/media/catalog/product/cache/de708007cadfb1d7a7f5924e0c975db1/R/T/RT0102698A_1.jpg,https://www.veja-store.com/media/catalog/product/cache/de708007cadfb1d7a7f5924e0c975db1/R/T/RT0102698A_2.jpg,https://www.veja-store.com/en_us/sdu tpu b-mesh black white-rt0102698a.html,some_shoes.html
