product_id,product_name,price,category,image_urls,product_url,colors,status,filename
BDH00K7MR_558,CHAMBRAY DENIM JUMPSUIT ,2800.0,women_ready_to_wear,"https://valentino-cdn.thron.com/delivery/public/image/valentino/c17d8513-0c9d-419c-bc26-144c5a65f7bc/ihqstx/std/275x0/CHAMBRAY-DENIM-JUMPSUIT-?quality=80&size=35&format=auto, https://valentino-cdn.thron.com/delivery/public/image/valentino/eb134de4-6ab9-4029-9b56-daf8c3e669d2/ihqstx/std/275x0/CHAMBRAY-DENIM-JUMPSUIT-?quality=80&size=35&format=auto",https://www.valentino.com/en-us/product-chambray-denim-jumpsuit--BDH00K7MR_558,DENIM,online,women_ready_to_wear.html
BDB02F7MR_558,CHAMBRAY DENIM KAFTAN TOP ,2400.0,women_ready_to_wear,"https://valentino-cdn.thron.com/delivery/public/image/valentino/5c3bb4d4-eb79-4b14-9513-83b8da61a104/ihqstx/std/275x0/CHAMBRAY-DENIM-KAFTAN-TOP-?quality=80&size=35&format=auto, https://valentino-cdn.thron.com/delivery/public/image/valentino/3058838f-ea7e-4fbe-bed3-90689755e6b1/ihqstx/std/275x0/CHAMBRAY-DENIM-KAFTAN-TOP-?quality=80&size=35&format=auto",https://www.valentino.com/en-us/product-chambray-denim-kaftan-top--BDB02F7MR_558,DENIM,online,women_ready_to_wear.html
BDD15J7MR_558,CHAMBRAY DENIM MIDI SKIRT ,3000.0,women_ready_to_wear,"https://valentino-cdn.thron.com/delivery/public/image/valentino/63bde533-1397-41c7-aaa0-9a4ae7cdd589/ihqstx/std/275x0/CHAMBRAY-DENIM-MIDI-SKIRT-?quality=80&size=35&format=auto, https://valentino-cdn.thron.com/delivery/public/image/valentino/49b6074b-fc14-4043-bc4d-21914674441e/ihqstx/std/275x0/CHAMBRAY-DENIM-MIDI-SKIRT-?quality=80&size=35&format=auto",https://www.valentino.com/en-us/product-chambray-denim-midi-skirt--BDD15J7MR_558,DENIM,online,women_ready_to_wear.html
BDB01V7MR_558,CHAMBRAY DENIM SHIRT WITH FEATHERS,3500.0,women_ready_to_wear,"https://valentino-cdn.thron.com/delivery/public/image/valentino/775fd14d-7cf9-413e-aa03-87e7a8f8a9af/ihqstx/std/275x0/CHAMBRAY-DENIM-SHIRT-WITH-FEATHERS?quality=80&size=35&format=auto, https://valentino-cdn.thron.com/delivery/public/image/valentino/70add244-fd59-41f7-ae30-d259037fb058/ihqstx/std/275x0/CHAMBRAY-DENIM-SHIRT-WITH-FEATHERS?quality=80&size=35&format=auto",https://www.valentino.com/en-us/product-chambray-denim-shirt-with-feathers-BDB01V7MR_558,BLUE,online,women_ready_to_wear.html
BDD14Z7MR_558,DENIM CHAMBRAY TROUSERS ,1800.0,women_ready_to_wear,"https://valentino-cdn.thron.com/delivery/public/image/valentino/706f0a88-92a0-4842-8a11-b75983d610a5/ihqstx/std/275x0/DENIM-CHAMBRAY-TROUSERS-?quality=80&size=35&format=auto, https://valentino-cdn.thron.com/delivery/public/image/valentino/b4ebb503-ae14-4955-8f09-380c7614180b/ihqstx/std/275x0/DENIM-CHAMBRAY-TROUSERS-?quality=80&size=35&format=auto",https://www.valentino.com/en-us/product-denim-chambray-trousers--BDD14Z7MR_558,BLUE,online,women_ready_to_wear.html
BDB01Z7MR_558,DENIM CHAMBRAY KAFTAN DRESS ,2400.0,women_ready_to_wear,"https://valentino-cdn.thron.com/delivery/public/image/valentino/dc491914-80d8-4797-b1b1-f3eda1c9de2e/ihqstx/std/275x0/DENIM-CHAMBRAY-KAFTAN-DRESS-?quality=80&size=35&format=auto, https://valentino-cdn.thron.com/delivery/public/image/valentino/daa14eb0-f531-491a-bb87-dadd2cbded97/ihqstx/std/275x0/DENIM-CHAMBRAY-KAFTAN-DRESS-?quality=80&size=35&format=auto",https://www.valentino.com/en-us/product-denim-chambray-kaftan-dress--BDB01Z7MR_558,BLUE,online,women_ready_to_wear.html
BDD15A7MR_558,DENIM CHAMBRAY SHORTS ,1600.0,women_ready_to_wear,"https://valentino-cdn.thron.com/delivery/public/image/valentino/95f2f5f6-15a6-4699-bb61-2ac60eb87cc3/ihqstx/std/275x0/DENIM-CHAMBRAY-SHORTS-?quality=80&size=35&format=auto, https://valentino-cdn.thron.com/delivery/public/image/valentino/ffa66c6e-245b-4c08-93a7-ef2bbad9a03c/ihqstx/std/275x0/DENIM-CHAMBRAY-SHORTS-?quality=80&size=35&format=auto",https://www.valentino.com/en-us/product-denim-chambray-shorts--BDD15A7MR_558,DENIM,online,women_ready_to_wear.html
BDB02E7MR_558,CHAMBRAY DENIM KAFTAN ,3000.0,women_ready_to_wear,"https://valentino-cdn.thron.com/delivery/public/image/valentino/ae1e4f1e-bbd7-4ca2-a30e-bbde75b155cd/ihqstx/std/275x0/CHAMBRAY-DENIM-KAFTAN-?quality=80&size=35&format=auto, https://valentino-cdn.thron.com/delivery/public/image/valentino/15b7055f-1d95-40fa-9608-3c496ef5408b/ihqstx/std/275x0/CHAMBRAY-DENIM-KAFTAN-?quality=80&size=35&format=auto",https://www.valentino.com/en-us/product-chambray-denim-kaftan--BDB02E7MR_558,DENIM,online,women_ready_to_wear.html
BVA7E67TK_W02,MIDI DRESS IN TOILE ICONOGRAPHE JACQUARD SILK ,5500.0,women_ready_to_wear,"https://valentino-cdn.thron.com/delivery/public/image/valentino/e1b34529-19f8-4197-90e4-6e411c207201/ihqstx/std/275x0/TOILE-ICONOGRAPHE-MIDI-DRESS-IN-SILK-JACQUARD-?quality=80&size=35&format=auto, https://valentino-cdn.thron.com/delivery/public/image/valentino/328b6491-63fb-48f6-a369-6853e2c3057c/ihqstx/std/275x0/TOILE-ICONOGRAPHE-MIDI-DRESS-IN-SILK-JACQUARD-?quality=80&size=35&format=auto",https://www.valentino.com/en-us/product-midi-dress-in-toile-iconographe-jacquard-silk--BVA7E67TK_W02,IRIS LILIAC,online,women_ready_to_wear.html
BVA7U01CF_A03,CREPE COUTURE SHORT DRESS ,2600.0,women_ready_to_wear,"https://valentino-cdn.thron.com/delivery/public/image/valentino/87223a70-2e1d-4fd4-aa9c-26d311889033/ihqstx/std/275x0/CREPE-COUTURE-SHORT-DRESS-?quality=80&size=35&format=auto, https://valentino-cdn.thron.com/delivery/public/image/valentino/7013361d-9f91-464f-b83f-e46cfcb47d07/ihqstx/std/275x0/CREPE-COUTURE-SHORT-DRESS-?quality=80&size=35&format=auto",https://www.valentino.com/en-us/product-crepe-couture-short-dress--BVA7U01CF_A03,IVORY,online,women_ready_to_wear.html
