user_category,product_url,product_name,price,discounted_price,image_urls,sizes,availability,label,filename
shoes,/products/bk0013fab2e02s08si-beth-sneakers-silver,Beth Sneakers,590,,"//us.isabelmarant.com/cdn/shop/files/24EBK0013FA-B2E02S-08SI-R_b382dd0e-14ea-4b8e-9fb6-fddc1a7db176.jpg?v=1716890269&width=1200, //us.isabelmarant.com/cdn/shop/files/24EBK0013FA-B2E02S-08SI-D_ab507259-3dfd-487d-96b4-b1ade87f4fd0.jpg?v=1716890269&width=1200","35, 36, 37, 38, 39, 40, 41","not available, available, available, available, available, available, not available",,shoes.html
shoes,/products/bk0013faa4e11swhbk-beth-sneakers-white-black,Beth Sneakers,590,,"//us.isabelmarant.com/cdn/shop/files/24PBK0013FA-A4E11S-WHBK-D.jpg?v=1713601475&width=480, //us.isabelmarant.com/cdn/shop/files/24PBK0013FA-A4E11S-WHBK-A.jpg?v=1713601475&width=480","35, 36, 37, 38, 39, 40, 41","available, available, available, available, available, available, available",,shoes.html
shoes,/products/bk0067hab1e03n50tf-bethy-sneakers-toffee,Bethy Sneakers,495,,"//us.isabelmarant.com/cdn/shop/files/24PBK0067HA-B1E03N-50TF-R.jpg?v=1712752857&width=1200, //us.isabelmarant.com/cdn/shop/files/24PBK0067HA-B1E03N-50TF-D.jpg?v=1712752857&width=1200","39, 40, 41, 42, 43, 44, 45","available, available, available, available, available, available, available",,shoes.html
shoes,/products/bk0011faa1e20s50ta-bobby-sneakers-taupe,Bobby sneakers,745,,"//us.isabelmarant.com/cdn/shop/files/23PBK0011FA-A1E20S-50TA-A.jpg?v=1713762149&width=1200, //us.isabelmarant.com/cdn/shop/files/23PBK0011FA-A1E20S-50TA-D.jpg?v=1713762152&width=1200","35, 36, 37, 38, 39, 40, 41, 42","available, available, available, available, available, available, available, available",,shoes.html
shoes,/products/bk0011faa1e20s20ck-bobby-sneakers-chalk,Bobby Sneakers,745,,"//us.isabelmarant.com/cdn/shop/files/23PBK0011FA-A1E20S-20CK-A.jpg?v=1713762149&width=1200, //us.isabelmarant.com/cdn/shop/files/23PBK0011FA-A1E20S-20CK-D.jpg?v=1713762151&width=1200","35, 36, 37, 38, 39, 40, 41, 42","not available, available, not available, not available, not available, not available, not available, not available",,shoes.html
shoes,/products/bk000300m102s01bk-bobby-sneakers-black,Bobby Sneakers,745,,"//us.isabelmarant.com/cdn/shop/files/00MBK0003-00M102S-01BK-R_af96a32f-f6a2-46d5-a204-69815e61fbd4.jpg?v=1716893899&width=1200, //us.isabelmarant.com/cdn/shop/files/00MBK0003-00M102S-01BK-A_2d2914c6-6ce4-4105-8219-7b6df2eff4fa.jpg?v=1716893899&width=1200","35, 36, 37, 38, 39, 40, 41","not available, available, available, available, available, available, available",,shoes.html
shoes,/products/sd0128fab1b19s01bk-breena-sandals-black,Breena Sandals,860,,"//us.isabelmarant.com/cdn/shop/files/24PSD0128FA-B1B19S-01BK-F.jpg?v=1713602573&width=480, //us.isabelmarant.com/cdn/shop/files/24PSD0128FA-B1B19S-01BK-A.jpg?v=1713762373&width=1200","35, 36, 37, 38, 39, 40, 41","not available, not available, not available, available, available, available, available",,shoes.html
shoes,/products/bk0014faa1e21s20wh-bryce-sneakers-white,Bryce sneakers,495,,"//us.isabelmarant.com/cdn/shop/files/23PBK0014FA-A1E21S-20WH-R.jpg?v=1713602406&width=1200, //us.isabelmarant.com/cdn/shop/files/23PBK0014FA-A1E21S-20WH-E.jpg?v=1713602406&width=1200","35, 36, 37, 38, 39, 40, 41","not available, available, available, available, available, not available, available",,shoes.html
shoes,/products/bk0014faa1e21s01bk-bryce-sneakers-black,Bryce Sneakers,495,,"//us.isabelmarant.com/cdn/shop/files/24PBK0014FA-A1E21S-01BK-R.jpg?v=1712824851&width=480, //us.isabelmarant.com/cdn/shop/files/24PBK0014FA-A1E21S-01BK-D.jpg?v=1712824851&width=480","35, 36, 37, 38, 39, 40, 41","not available, not available, not available, available, not available, not available, not available",,shoes.html
shoes,/products/bk0008hab1e03nfkec-brycy-sneakers-faded-black-ecru,Brycy Sneakers,495,,"//us.isabelmarant.com/cdn/shop/files/24PBK0008HA-B1E03N-FKEC-R.jpg?v=1713793592&width=1200, //us.isabelmarant.com/cdn/shop/files/24PBK0008HA-B1E03N-FKEC-A.jpg?v=1713793592&width=1200","39, 40, 41, 42, 43, 44, 45","not available, not available, not available, not available, not available, available, available",,shoes.html
