category,name,product_id,product_url,image_url,full_price,discount_price,tag(s),filename
women_clothing,Cropped Quilted Nylon Jacket,80709691,https://us.burberry.com/cropped-quilted-nylon-jacket-p80709691,https://assets.burberry.com/is/image/Burberryltd/FB360CB5-E2E7-4FB8-86C9-8EF426C85167?$BBY_V3_SL_1.36$&wid=581&hei=788,"$1,550.00",,,women_clothing.html
women_clothing,Quilted Thermoregulated Coat,80487111,https://us.burberry.com/quilted-thermoregulated-coat-p80487111,https://assets.burberry.com/is/image/Burberryltd/CA18F067-5821-439F-9DE1-A3E1D3516F68?$BBY_V3_SL_1.36$&wid=581&hei=788,"$1,550.00",,,women_clothing.html
women_clothing,Nylon Jacket,80429011,https://us.burberry.com/nylon-jacket-p80429011,https://assets.burberry.com/is/image/Burberryltd/DF39FBD4-52C8-452A-972D-E1C4AB9155CA?$BBY_V3_SL_1.36$&wid=581&hei=788,"$1,350.00",,,women_clothing.html
women_clothing,Quilted Thermoregulated Barn Jacket,80214681,https://us.burberry.com/quilted-thermoregulated-barn-jacket-p80214681,https://assets.burberry.com/is/image/Burberryltd/94520336-A39F-45EA-9B8F-C1207CE732F4?$BBY_V3_SL_1.36$&wid=581&hei=788,"$1,350.00",,,women_clothing.html
women_clothing,Quilted Thermoregulated Barn Jacket,80217511,https://us.burberry.com/quilted-thermoregulated-barn-jacket-p80217511,https://assets.burberry.com/is/image/Burberryltd/872400A4-B956-4D1A-AC19-D17A21E0394F?$BBY_V3_SL_1.36$&wid=581&hei=788,"$1,350.00",,,women_clothing.html
women_clothing,Check Lightweight Jacket,80322101,https://us.burberry.com/check-lightweight-jacket-p80322101,https://assets.burberry.com/is/image/Burberryltd/3826769B-4FB6-48B0-AF19-147212462FF4?$BBY_V3_SL_1.36$&wid=581&hei=788,"$1,350.00",,,women_clothing.html
women_clothing,Check Lightweight Jacket,80498041,https://us.burberry.com/check-lightweight-jacket-p80498041,https://assets.burberry.com/is/image/Burberryltd/B2AAE42E-A432-480F-B945-F2A539888D9C?$BBY_V3_SL_1.36$&wid=581&hei=788,"$1,350.00",,,women_clothing.html
women_clothing,Check Wool Cashmere Bomber Jacket,80484451,https://us.burberry.com/check-wool-cashmere-bomber-jacket-p80484451,https://assets.burberry.com/is/image/Burberryltd/DE6DDCA0-8487-4A9C-AD0C-858FF0B5B43F?$BBY_V3_SL_1.36$&wid=581&hei=788,"$1,450.00",,,women_clothing.html
women_clothing,Check Wool Cashmere Cardigan,80433721,https://us.burberry.com/check-wool-cashmere-cardigan-p80433721,https://assets.burberry.com/is/image/Burberryltd/8DB3347F-0BAB-4C78-B86C-E8255604490D?$BBY_V3_SL_1.36$&wid=581&hei=788,"$1,350.00",,,women_clothing.html
women_clothing,Check Wool Cashmere Sweater,80484441,https://us.burberry.com/check-wool-cashmere-sweater-p80484441,https://assets.burberry.com/is/image/Burberryltd/562CCE39-3F49-49B0-A6CD-1956B74108D8?$BBY_V3_SL_1.36$&wid=581&hei=788,"$1,290.00",,,women_clothing.html
