"category","id","isSku","isSmc","name","microColor","microColorHexa","color","size","styleMaterialColor","brightcoveId","images","bornSeasonDesc","macroCategory","superMicroCategory_en_US","url","smcUrl","alternativeAsset","price_hasSalePrice","price_currencyCode","price_percentageOff","price_listPrice","price_salePrice","price_finalPrice"
"W-All-Bags","653134D78OO9000","False","True","Mini Jewelled Satchel","White","FFFFFF","9000","","653134D78OO9000","","https://amq-mcq.dam.kering.com/m/6cf6daba9a3d588/Large-653134D78OO9000_F.jpg?v=2 | https://amq-mcq.dam.kering.com/m/64fc5b7a39acf15d/Large-653134D78OO9000_R.jpg?v=1 | https://amq-mcq.dam.kering.com/m/4a7a04e2e0458043/Large-653134D78OO9000_D.jpg?v=1 | https://amq-mcq.dam.kering.com/m/400a130375614458/Large-653134D78OO9000_E.jpg?v=1 | https://amq-mcq.dam.kering.com/m/72c4d8861efb79db/Large-653134D78OO9000_A.jpg?v=1","S_S_2022","amq_macro_women_bags","Crossbody Bags","https://www.alexandermcqueen.com/en-us/pr/mini-jewelled-satchel-653134D78OO9000.html","https://www.alexandermcqueen.com/en-us/pr/mini-jewelled-satchel-653134D78OO9000.html","https://amq-mcq.dam.kering.com/m/72c4d8861efb79db/Large-653134D78OO9000_A.jpg?v=1","True","USD","0","","$ 2,890","$ 2,890"
"W-All-Bags","653134D78ED1000","False","True","Crystal-embellished Mini Jewelled Satchel","Black","000000","1000","","653134D78ED1000","","https://amq-mcq.dam.kering.com/m/7f14e978d26f1cb4/Large-653134D78ED1000_F.jpg?v=3 | https://amq-mcq.dam.kering.com/m/664bd04870bdb2c6/Large-653134D78ED1000_R.jpg?v=2 | https://amq-mcq.dam.kering.com/m/467beab5e88afd46/Large-653134D78ED1000_D.jpg?v=2 | https://amq-mcq.dam.kering.com/m/1d89b37554e5d3e3/Large-653134D78ED1000_E.jpg?v=2 | https://amq-mcq.dam.kering.com/m/2d047e05c6b99a76/Large-653134D78ED1000_A.jpg?v=2 | https://amq-mcq.dam.kering.com/m/35be7b71ea705dc4/Large-653134D78ED1000_M.jpg?v=3","F_W_2021","amq_macro_women_bags","Crossbody Bags","https://www.alexandermcqueen.com/en-us/pr/crystal-embellished-mini-jewelled-satchel-653134D78ED1000.html","https://www.alexandermcqueen.com/en-us/pr/crystal-embellished-mini-jewelled-satchel-653134D78ED1000.html","https://amq-mcq.dam.kering.com/m/35be7b71ea705dc4/Large-653134D78ED1000_M.jpg?v=3","True","USD","0","","$ 2,890","$ 2,890"
"W-All-Bags","6531341HB0T1001","False","True","Mini Jewelled Satchel","Black","000000","1001","","6531341HB0T1001","","https://amq-mcq.dam.kering.com/m/3ad73c93ef8fc8f1/Large-6531341HB0T1001_F.jpg?v=2 | https://amq-mcq.dam.kering.com/m/2858912a30fe021e/Large-6531341HB0T1001_R.jpg?v=2 | https://amq-mcq.dam.kering.com/m/51fc6467eedb8a0e/Large-6531341HB0T1001_D.jpg?v=2 | https://amq-mcq.dam.kering.com/m/3e6d795f0166dc47/Large-6531341HB0T1001_E.jpg?v=4 | https://amq-mcq.dam.kering.com/m/34913755b782ea76/Large-6531341HB0T1001_A.jpg?v=2 | https://amq-mcq.dam.kering.com/m/7a7b9c4658e70034/Large-6531341HB0T1001_M.jpg?v=2","S_S_2021","amq_macro_women_bags","Crossbody Bags","https://www.alexandermcqueen.com/en-us/pr/mini-jewelled-satchel-6531341HB0T1001.html","https://www.alexandermcqueen.com/en-us/pr/mini-jewelled-satchel-6531341HB0T1001.html","https://amq-mcq.dam.kering.com/m/7a7b9c4658e70034/Large-6531341HB0T1001_M.jpg?v=2","True","USD","0","","$ 2,390","$ 2,390"
"W-All-Bags","5541281HB0T1001","False","True","Jewelled Satchel","Black","000000","1001","","5541281HB0T1001","","https://amq-mcq.dam.kering.com/m/263b9aaf6a3813da/Large-5541281HB0T1001_F.jpg?v=2 | https://amq-mcq.dam.kering.com/m/7e744d19657c16f3/Large-5541281HB0T1001_R.jpg?v=2 | https://amq-mcq.dam.kering.com/m/3049442c762a3941/Large-5541281HB0T1001_D.jpg?v=2 | https://amq-mcq.dam.kering.com/m/74f4ed620962e4af/Large-5541281HB0T1001_E.jpg?v=4 | https://amq-mcq.dam.kering.com/m/339b7a2903cc914f/Large-5541281HB0T1001_A.jpg?v=2 | https://amq-mcq.dam.kering.com/m/15c99f64d3061fd/Large-5541281HB0T1001_M.jpg?v=2","S_S_2021","amq_macro_women_bags","Shoulder Bags","https://www.alexandermcqueen.com/en-us/pr/jewelled-satchel-5541281HB0T1001.html","https://www.alexandermcqueen.com/en-us/pr/jewelled-satchel-5541281HB0T1001.html","https://amq-mcq.dam.kering.com/m/15c99f64d3061fd/Large-5541281HB0T1001_M.jpg?v=2","True","USD","0","","$ 2,690","$ 2,690"
"W-All-Bags","6531341HB0T9006","False","True","Mini Jewelled Satchel","Deep Ivory","EEEEE0","9006","","6531341HB0T9006","","https://amq-mcq.dam.kering.com/m/59c14e3ce1f780ec/Large-6531341HB0T9006_F.jpg?v=1 | https://amq-mcq.dam.kering.com/m/17c7693d42be7a26/Large-6531341HB0T9006_R.jpg?v=1 | https://amq-mcq.dam.kering.com/m/764f7cc98d846a83/Large-6531341HB0T9006_D.jpg?v=1 | https://amq-mcq.dam.kering.com/m/66b33192028dac81/Large-6531341HB0T9006_E.jpg?v=2 | https://amq-mcq.dam.kering.com/m/7c0903cb245b7c20/Large-6531341HB0T9006_A.jpg?v=1","S_S_2021","amq_macro_women_bags","Shoulder Bags","https://www.alexandermcqueen.com/en-us/pr/mini-jewelled-satchel-6531341HB0T9006.html","https://www.alexandermcqueen.com/en-us/pr/mini-jewelled-satchel-6531341HB0T9006.html","https://amq-mcq.dam.kering.com/m/7c0903cb245b7c20/Large-6531341HB0T9006_A.jpg?v=1","True","USD","0","","$ 2,390","$ 2,390"
"W-All-Bags","5541281HB0T9006","False","True","Jewelled Satchel","Deep Ivory","EEEEE0","9006","","5541281HB0T9006","","https://amq-mcq.dam.kering.com/m/520ef561417f1868/Large-5541281HB0T9006_F.jpg?v=3 | https://amq-mcq.dam.kering.com/m/53d0837a1efe8eac/Large-5541281HB0T9006_R.jpg?v=3 | https://amq-mcq.dam.kering.com/m/7d9ed3d3b9b8855e/Large-5541281HB0T9006_D.jpg?v=3 | https://amq-mcq.dam.kering.com/m/1eeb117d8cc5bea1/Large-5541281HB0T9006_E.jpg?v=3 | https://amq-mcq.dam.kering.com/m/11c42a7c7a06cbb9/Large-5541281HB0T9006_A.jpg?v=3 | https://amq-mcq.dam.kering.com/m/5a9bf37bcce9c844/Large-5541281HB0T9006_M.jpg?v=2","F_W_2020","amq_macro_women_bags","Shoulder Bags","https://www.alexandermcqueen.com/en-us/pr/jewelled-satchel-5541281HB0T9006.html","https://www.alexandermcqueen.com/en-us/pr/jewelled-satchel-5541281HB0T9006.html","https://amq-mcq.dam.kering.com/m/5a9bf37bcce9c844/Large-5541281HB0T9006_M.jpg?v=2","True","USD","0","","$ 2,690","$ 2,690"
"W-All-Bags","5541281HB0Y1001","False","True","Jewelled Satchel","Black","000000","1001","","5541281HB0Y1001","","https://amq-mcq.dam.kering.com/m/69c1d0e50a6cd8dc/Large-5541281HB0Y1001_F.jpg?v=1 | https://amq-mcq.dam.kering.com/m/3de0f0931532c0db/Large-5541281HB0Y1001_R.jpg?v=1 | https://amq-mcq.dam.kering.com/m/79cc6840450b3930/Large-5541281HB0Y1001_D.jpg?v=1 | https://amq-mcq.dam.kering.com/m/7a00bd0c77e926ff/Large-5541281HB0Y1001_E.jpg?v=3 | https://amq-mcq.dam.kering.com/m/47ae78012e83cbbd/Large-5541281HB0Y1001_A.jpg?v=1 | https://amq-mcq.dam.kering.com/m/6ef454892dfe6350/Large-5541281HB0Y1001_M.jpg?v=2 | https://amq-mcq.dam.kering.com/m/45f9c2396ce42022/Large-5541281HB0Y1001_G.jpg?v=1","S_S_2021","amq_macro_women_bags","Shoulder Bags","https://www.alexandermcqueen.com/en-us/pr/jewelled-satchel-5541281HB0Y1001.html","https://www.alexandermcqueen.com/en-us/pr/jewelled-satchel-5541281HB0Y1001.html","https://amq-mcq.dam.kering.com/m/45f9c2396ce42022/Large-5541281HB0Y1001_G.jpg?v=1","True","USD","0","","$ 2,690","$ 2,690"
"W-All-Bags","6531341HB0Y1001","False","True","Mini Jewelled Satchel","Black","0","1001","","6531341HB0Y1001","","https://amq-mcq.dam.kering.com/m/135d4922570025de/Large-6531341HB0Y1001_F.jpg?v=1 | https://amq-mcq.dam.kering.com/m/5576098627429ed9/Large-6531341HB0Y1001_R.jpg?v=1 | https://amq-mcq.dam.kering.com/m/3e9750a8a31b7e54/Large-6531341HB0Y1001_D.jpg?v=1 | https://amq-mcq.dam.kering.com/m/31c73a3aa3f7a396/Large-6531341HB0Y1001_E.jpg?v=3 | https://amq-mcq.dam.kering.com/m/43809b1ecc471449/Large-6531341HB0Y1001_A.jpg?v=1 | https://amq-mcq.dam.kering.com/m/5a71bf8c7c81423a/Large-6531341HB0Y1001_L.jpg?v=1 | https://amq-mcq.dam.kering.com/m/14529203eed7702b/Large-6531341HB0Y1001_M.jpg?v=2","S_S_2021","amq_macro_women_bags","Crossbody Bags","https://www.alexandermcqueen.com/en-us/pr/mini-jewelled-satchel-6531341HB0Y1001.html","https://www.alexandermcqueen.com/en-us/pr/mini-jewelled-satchel-6531341HB0Y1001.html","https://amq-mcq.dam.kering.com/m/14529203eed7702b/Large-6531341HB0Y1001_M.jpg?v=2","True","USD","0","","$ 2,390","$ 2,390"
"W-All-Bags","7327931HB029210","False","True","Mini Jewelled Satchel with Chain","Ivory","F7F1EA","9210","","7327931HB029210","","https://amq-mcq.dam.kering.com/m/70dbfe90a281cb87/Large-7327931HB029210_F.jpg?v=2 | https://amq-mcq.dam.kering.com/m/ad166048b0f9564/Large-7327931HB029210_R.jpg?v=2 | https://amq-mcq.dam.kering.com/m/29d26c22e113b9db/Large-7327931HB029210_D.jpg?v=2 | https://amq-mcq.dam.kering.com/m/72a90e8bfd605f93/Large-7327931HB029210_E.jpg?v=4 | https://amq-mcq.dam.kering.com/m/48e6985632311059/Large-7327931HB029210_A.jpg?v=2","S_S_2023","amq_macro_women_bags","Crossbody Bags","https://www.alexandermcqueen.com/en-us/pr/mini-jewelled-satchel-with-chain-7327931HB029210.html","https://www.alexandermcqueen.com/en-us/pr/mini-jewelled-satchel-with-chain-7327931HB029210.html","https://amq-mcq.dam.kering.com/m/48e6985632311059/Large-7327931HB029210_A.jpg?v=2","True","USD","0","","$ 2,590","$ 2,590"
"W-All-Bags","7327961HB0I9210","False","True","Small Skull Bag with Chain","Ivory","F7F1EA","9210","","7327961HB0I9210","","https://amq-mcq.dam.kering.com/m/2f8ae7da1f9ffb95/Large-7327961HB0I9210_F.jpg?v=2 | https://amq-mcq.dam.kering.com/m/493abd476f489b53/Large-7327961HB0I9210_R.jpg?v=2 | https://amq-mcq.dam.kering.com/m/47352d4ac5827c29/Large-7327961HB0I9210_D.jpg?v=3 | https://amq-mcq.dam.kering.com/m/2fec74fea397364/Large-7327961HB0I9210_E.jpg?v=2 | https://amq-mcq.dam.kering.com/m/7f80ffd8116d4d58/Large-7327961HB0I9210_A.jpg?v=2","S_S_2023","amq_macro_women_bags","Mini Bags","https://www.alexandermcqueen.com/en-us/pr/small-skull-bag-with-chain-7327961HB0I9210.html","https://www.alexandermcqueen.com/en-us/pr/small-skull-bag-with-chain-7327961HB0I9210.html","https://amq-mcq.dam.kering.com/m/7f80ffd8116d4d58/Large-7327961HB0I9210_A.jpg?v=2","True","USD","0","","$ 1,290","$ 1,290"
