product_id,category,item_name,quantity,inventory_ats,price,full_price,discount_name,pre_order,item_ean,item_master,item_category,item_category2,item_category3,image_url,product_url,filename
ABPS139139A,womens-accessories,Titan Sunglasses,1,0,980,None,Free express shipping,no,,ABPS139,women,women-accessories,women-accessories-eyewear,"https://media.balmain.com/image/upload/f_auto,q_auto,dpr_auto/c_fill,w_375,h_530/sfcc/balmain/hi-res/ABPS139139AF?_i=AG",us.balmain.com/en/p/titan-sunglasses-ABPS139139A.html,womens-accessories.txt
ABPS146146C,womens-accessories,Le Masque Sunglasses,1,0,1260,None,Free express shipping,no,,ABPS146,women,women-accessories,women-accessories-eyewear,"https://media.balmain.com/image/upload/f_auto,q_auto,dpr_auto/c_fill,w_375,h_530/sfcc/balmain/hi-res/ABPS146146CF?_i=AG",us.balmain.com/en/p/le-masque-sunglasses-ABPS146146C.html,womens-accessories.txt
ABPS146146B,womens-accessories,Le Masque Sunglasses,1,0,1260,None,Free express shipping,no,,ABPS146,women,women-accessories,women-accessories-eyewear,"https://media.balmain.com/image/upload/f_auto,q_auto,dpr_auto/c_fill,w_375,h_530/sfcc/balmain/hi-res/ABPS146146BF?_i=AG",us.balmain.com/en/p/le-masque-sunglasses-ABPS146146B.html,womens-accessories.txt
ABPS146L146D,womens-accessories,Le Masque Sunglasses,1,0,1400,None,Free express shipping,no,,ABPS146L,women,women-accessories,women-accessories-eyewear,"https://media.balmain.com/image/upload/f_auto,q_auto,dpr_auto/c_fill,w_375,h_530/sfcc/balmain/hi-res/ABPS146L146DF?_i=AG",us.balmain.com/en/p/le-masque-sunglasses-ABPS146L146D.html,womens-accessories.txt
ABPS146146A,womens-accessories,Le Masque Sunglasses,1,0,1260,None,Free express shipping,no,,ABPS146,women,women-accessories,women-accessories-eyewear,"https://media.balmain.com/image/upload/f_auto,q_auto,dpr_auto/c_fill,w_375,h_530/sfcc/balmain/hi-res/ABPS146146AF?_i=AG",us.balmain.com/en/p/le-masque-sunglasses-ABPS146146A.html,womens-accessories.txt
ABPS145145A,womens-accessories,Impérial Sunglasses,1,0,720,None,Free express shipping,no,,ABPS145,women,women-accessories,women-accessories-eyewear,"https://media.balmain.com/image/upload/f_auto,q_auto,dpr_auto/c_fill,w_375,h_530/sfcc/balmain/hi-res/ABPS145145AF?_i=AG",us.balmain.com/en/p/imp%C3%A9rial-sunglasses-ABPS145145A.html,womens-accessories.txt
YBPS128128A,womens-accessories,B-VI sunglasses,1,0,760,None,Free express shipping,no,,YBPS128,eyewear,eyewear-women,,"https://media.balmain.com/image/upload/f_auto,q_auto,dpr_auto/c_fill,w_375,h_530/sfcc/balmain/hi-res/YBPS128128AF?_i=AG",us.balmain.com/en/p/b-vi-sunglasses-YBPS128128A.html,womens-accessories.txt
YBPS128L128D,womens-accessories,B-VI sunglasses,1,0,760,None,Free express shipping,no,,YBPS128L,women,women-accessories,women-accessories-eyewear,"https://media.balmain.com/image/upload/f_auto,q_auto,dpr_auto/c_fill,w_375,h_530/sfcc/balmain/hi-res/YBPS128L128DF?_i=AG",us.balmain.com/en/p/b-vi-sunglasses-YBPS128L128D.html,womens-accessories.txt
YBPS128128B,womens-accessories,B-VI sunglasses,1,0,760,None,Free express shipping,no,,YBPS128,eyewear,eyewear-women,,"https://media.balmain.com/image/upload/f_auto,q_auto,dpr_auto/c_fill,w_375,h_530/sfcc/balmain/hi-res/YBPS128128BF?_i=AG",us.balmain.com/en/p/b-vi-sunglasses-YBPS128128B.html,womens-accessories.txt
ABPS145145E,womens-accessories,Impérial Sunglasses,1,0,720,None,Free express shipping,no,,ABPS145,women,women-accessories,women-accessories-eyewear,"https://media.balmain.com/image/upload/f_auto,q_auto,dpr_auto/c_fill,w_375,h_530/sfcc/balmain/hi-res/ABPS145145EF?_i=AG",us.balmain.com/en/p/imp%C3%A9rial-sunglasses-ABPS145145E.html,womens-accessories.txt
