product_id,product_name,price,category,image_urls,product_url,sale_price,original_price,discount,filename
7944W3010IVRZ,Xhefri Hat in Wool,$620,men_accessories,", , //www.therow.com/cdn/shop/files/7944W3010IVRZ_600x.jpg?v=1708533490, //www.therow.com/cdn/shop/files/7944W3010IVRR_a2d02c44-633c-4634-9ee6-047248c28129_600x.jpg?v=1708533490",/products/xhefri-hat-ivory,,$620,,Yes,men_accessories.html
7944W3010BLKZ,Xhefri Hat in Wool,$620,men_accessories,"//www.therow.com/cdn/shop/files/7944W3010BLKZ_600x.jpg?v=1708533704, //www.therow.com/cdn/shop/files/7944W3010BLKR_14d7693a-94c2-4fab-ac6a-64934946c85f_600x.jpg?v=1708533704",/products/xhefri-hat-black,,$620,,Yes,men_accessories.html
W1577W257DNBLKZ,Clovis Toiletry Pouch in Nylon,"$1,050",men_accessories,", , //www.therow.com/cdn/shop/files/W1577W257DNBLKZ_600x.jpg?v=1688764056, //www.therow.com/cdn/shop/files/W1577W257DNBLKF_600x.jpg?v=1688764060",/products/clovis-toiletry-pouch-blue,,"$1,050",,Yes,men_accessories.html
W1630L129BASZ,George Duffle in Leather,"$6,250",men_accessories,", , //www.therow.com/cdn/shop/files/W1630L129BASZ_600x.jpg?v=1707136566, //www.therow.com/cdn/shop/files/W1630L129BASF_600x.jpg?v=1705172332",/products/george-black-ans,,"$6,250",,No,men_accessories.html
339W2842DRNZ,Caspian Hat in Cashmere,$690,men_accessories,", , //www.therow.com/cdn/shop/files/339W2842DRNZ_600x.jpg?v=1688763685, //www.therow.com/cdn/shop/files/339W2842DRNF_600x.jpg?v=1688763685",/products/caspian-hat-dark-navy-1,,$690,,No,men_accessories.html
339W2842DKGZ,Caspian Hat in Cashmere,$690,men_accessories,", , //www.therow.com/cdn/shop/files/339W2842DKGZ_600x.jpg?v=1688763693, //www.therow.com/cdn/shop/files/339W2842DKGF_600x.jpg?v=1688763694",/products/caspian-hat-grey,,$690,,No,men_accessories.html
W1318W255L72BLPLZ,Margaux 17 Inside-Out Bag in Nylon,"$5,670",men_accessories,", , //www.therow.com/cdn/shop/files/W1318W255L72BLPLZ_600x.jpg?v=1714589260, //www.therow.com/cdn/shop/files/W1318W255L72BLPLF_600x.jpg?v=1714589264",/products/margaux-17-inside-out-black-pld,,"$5,670",,No,men_accessories.html
310W2157NVYZ,Nantuck Jacket in Nylon,"$1,950",men_essentials,", , //www.therow.com/cdn/shop/files/310W2157NVYZ_600x.jpg?v=1688670426, //www.therow.com/cdn/shop/files/310W2157NVYF_600x.jpg?v=1682605415",/products/nantuck-jacket-navy,,"$1,950",,No,men_essentials.html
315W2157NVYZ,Antico Pant in Nylon,"$1,490",men_essentials,", , //www.therow.com/cdn/shop/files/315W2157NVYZ_600x.jpg?v=1688670452, //www.therow.com/cdn/shop/files/315W2157NVYF_600x.jpg?v=1682604071",/products/antico-pant-navy,,"$1,490",,No,men_essentials.html
297W2157NVYZ,Django Coat in Nylon,"$2,850",men_essentials,", , //www.therow.com/cdn/shop/files/297W2157NVYZ_600x.jpg?v=1688670352, //www.therow.com/cdn/shop/files/297W2157NVYF_600x.jpg?v=1682604459",/products/django-coat-navy,,"$2,850",,No,men_essentials.html
280W2157NVYZ,Gerhardt Short in Nylon,$950,men_essentials,", , //www.therow.com/cdn/shop/files/280W2157NVYZ_600x.jpg?v=1688670572, //www.therow.com/cdn/shop/files/280W2157NVYF_600x.jpg?v=1682604795",/products/gerhardt-short-navy,,$950,,No,men_essentials.html
280W2157BLKZ,Gerhardt Short in Nylon,$950,men_essentials,", , //www.therow.com/cdn/shop/files/280W2157BLKZ_600x.jpg?v=1688673323, //www.therow.com/cdn/shop/files/280W2157BLKF_600x.jpg?v=1682604806",/products/gerhardt-short-black-1,,$950,,No,men_essentials.html
297W2157BLKZ,Django Coat in Nylon,"$2,850",men_essentials,", , //www.therow.com/cdn/shop/files/297W2157BLKZ_600x.jpg?v=1688671334, //www.therow.com/cdn/shop/files/297W2157BLKF_600x.jpg?v=1682604448",/products/django-coat-black,,"$2,850",,No,men_essentials.html
315W2157BLKZ,Antico Pant in Nylon,"$1,490",men_essentials,", , //www.therow.com/cdn/shop/files/315W2157BLKZ_600x.jpg?v=1688671371, //www.therow.com/cdn/shop/files/315W2157BLKF_600x.jpg?v=1682603992",/products/antico-pant-black,,"$1,490",,Yes,men_essentials.html
310W2157BLKZ,Nantuck Jacket in Nylon,"$1,950",men_essentials,", , //www.therow.com/cdn/shop/files/310W2157BLKZ_600x.jpg?v=1688671268, //www.therow.com/cdn/shop/files/310W2157BLKF_600x.jpg?v=1682605424",/products/nantuck-jacket-black,,"$1,950",,No,men_essentials.html
310W2157OATZ,Nantuck Jacket in Nylon,"$1,950",men_essentials,", , //www.therow.com/cdn/shop/files/310W2157OATZ_600x.jpg?v=1688673678, //www.therow.com/cdn/shop/files/310W2157OATF_600x.jpg?v=1682605400",/products/nantuck-jacket-oatmeal,,"$1,950",,No,men_essentials.html
315W2157OATZ,Antico Pant in Nylon,"$1,490",men_essentials,", , //www.therow.com/cdn/shop/files/315W2157OATZ_600x.jpg?v=1689624111, //www.therow.com/cdn/shop/files/315W2157OATF_e8aad221-80d0-49fe-abd2-0817c34e7f52_600x.jpg?v=1689624111",/products/antico-pant-oatmeal,,"$1,490",,Yes,men_essentials.html
297W2157OATZ,Django Coat in Nylon,"$2,850",men_essentials,", , //www.therow.com/cdn/shop/files/297W2157OATZ_600x.jpg?v=1688673624, //www.therow.com/cdn/shop/files/297W2157OATF_600x.jpg?v=1682604467",/products/django-coat-oatmeal,,"$2,850",,No,men_essentials.html
280W2157OATZ,Gerhardt Short in Nylon,$950,men_essentials,", , //www.therow.com/cdn/shop/files/280W2157OATZ_600x.jpg?v=1688673699, //www.therow.com/cdn/shop/files/280W2157OATF_600x.jpg?v=1682604785",/products/gerhardt-short-oatmeal,,$950,,No,men_essentials.html
283W1842DRNZ,Beto Shirt in Wool,"$1,350",men_essentials,", , //www.therow.com/cdn/shop/files/283W1842DRNZ_600x.jpg?v=1688670814, //www.therow.com/cdn/shop/files/283W1842DRNF_600x.jpg?v=1682604128",/products/beto-shirt-dark-navy,,"$1,350",,No,men_essentials.html
283W1842BLKZ,Beto Shirt in Wool,"$1,350",men_essentials,", , //www.therow.com/cdn/shop/files/283W1842BLKZ_600x.jpg?v=1688670052, //www.therow.com/cdn/shop/files/283W1842BLKF_600x.jpg?v=1682604142",/products/beto-shirt-black-1,,"$1,350",,No,men_essentials.html
284W1699WHTZ,Lukre Shirt in Cotton and Cashmere,"$1,390",men_essentials,", , //www.therow.com/cdn/shop/files/284W1699WHTZ_600x.jpg?v=1688671190, //www.therow.com/cdn/shop/files/284W1699WHTF_600x.jpg?v=1682605328",/products/lukre-shirt-white-3,,"$1,390",,No,men_essentials.html
284W1699BLKZ,Lukre Shirt in Cotton and Cashmere,"$1,390",men_essentials,"//www.therow.com/cdn/shop/files/284W1699BLKZ_600x.jpg?v=1682605316, //www.therow.com/cdn/shop/files/284W1699BLKF_600x.jpg?v=1682605316",/products/lukre-shirt-black-1,,"$1,390",,No,men_essentials.html
279W1842DRNZ,Elijah Pants in Wool,"$1,300",men_essentials,", , //www.therow.com/cdn/shop/files/279W1842DRNZ_600x.jpg?v=1688671152, //www.therow.com/cdn/shop/files/279W1842DRNF_600x.jpg?v=1682604723",/products/elijah-pants-dark-navy,,"$1,300",,No,men_essentials.html
279W1842BLKZ,Elijah Pants in Wool,"$1,300",men_essentials,"//www.therow.com/cdn/shop/files/279W1842BLKZ_600x.jpg?v=1682604734, //www.therow.com/cdn/shop/files/279W1842BLKF_600x.jpg?v=1682604735",/products/elijah-pants-black,,"$1,300",,No,men_essentials.html
282W1842DRNZ,Marcello Pant in Wool,"$1,350",men_essentials,", , //www.therow.com/cdn/shop/files/282W1842DRNZ_600x.jpg?v=1688670927, //www.therow.com/cdn/shop/files/282W1842DRNF_600x.jpg?v=1682605343",/products/marcello-pants-dark-navy,,"$1,350",,No,men_essentials.html
282W1842BLKZ,Marcello Pant in Wool,"$1,350",men_essentials,", , //www.therow.com/cdn/shop/files/282W1842BLKZ_600x.jpg?v=1688670101, //www.therow.com/cdn/shop/files/282W1842BLKF_600x.jpg?v=1682605372",/products/marcello-pants-black,,"$1,350",,No,men_essentials.html
288K291WHTZ,Drago Top in Cotton,$490,men_essentials,", , //www.therow.com/cdn/shop/products/288K291WHTZ_600x.jpg?v=1677592881, //www.therow.com/cdn/shop/products/288K291WHTF_600x.jpg?v=1675019713",/products/drago-top-white,,$490,,No,men_essentials.html
289K291WHTZ,Dustin Top in Cotton,$470,men_essentials,", , //www.therow.com/cdn/shop/products/289K291WHTZ_600x.jpg?v=1688670241, //www.therow.com/cdn/shop/files/289K291WHTF_b651d0de-13e5-4a5d-8295-1af66ee79057_600x.jpg?v=1682898491",/products/dustin-top-white,,$470,,No,men_essentials.html
189K291WHTZ,Leon T-Shirt in Cotton,$390,men_essentials,", , //www.therow.com/cdn/shop/products/189K291WHTZ_efab27a9-65e7-4f5b-bd2b-d788349f2b1a_600x.jpg?v=1677593993, //www.therow.com/cdn/shop/products/189K291WHTF_571547de-4574-4b77-847d-a7b37b913f1c_600x.jpg?v=1675021325",/products/leon-l-s-t-shirt-white-cotton,,$390,,No,men_essentials.html
120K91WHTZ,Luke T-Shirt in Cotton,$350,men_essentials,", , //www.therow.com/cdn/shop/products/120K91WHTZ_600x.jpg?v=1689624036, //www.therow.com/cdn/shop/files/120K291WHTF_01804173-0245-47b4-b95f-26864ebd8926_600x.jpg?v=1689624036",/products/luke-t-shirt-white,,$350,,No,men_essentials.html
189K291DVTZ,Leon T-Shirt in Cotton,$390,men_essentials,", , //www.therow.com/cdn/shop/files/189K291DVTZ_600x.jpg?v=1688671001, //www.therow.com/cdn/shop/files/189K291DVTF_600x.jpg?v=1682604896",/products/leon-l-s-t-shirt-dovetail,,$390,,No,men_essentials.html
120K291DVTZ,Luke T-Shirt in Cotton,$350,men_essentials,", , //www.therow.com/cdn/shop/files/120K291DVTZ_600x.jpg?v=1688671035, //www.therow.com/cdn/shop/files/120K291DVTF_600x.jpg?v=1682605165",/products/luke-t-shirt-dovetail,,$350,,No,men_essentials.html
288K291DVTZ,Drago Top in Cotton,$490,men_essentials,", , //www.therow.com/cdn/shop/files/288K291DVTZ_600x.jpg?v=1688673726, //www.therow.com/cdn/shop/files/288K291DVTF_600x.jpg?v=1682604644",/products/drago-top-dovetail,,$490,,No,men_essentials.html
289K291DVTZ,Dustin Top in Cotton,$470,men_essentials,", , //www.therow.com/cdn/shop/files/289K291DVTZ_600x.jpg?v=1688674376, //www.therow.com/cdn/shop/files/289K291DVTF_600x.jpg?v=1682604658",/products/dustin-top-dovetail,,$470,,No,men_essentials.html
51F377LIMZ,Benji Sweater in Cashmere,"$1,290",men_essentials,", , //www.therow.com/cdn/shop/files/51F377LIMZ_9237ce1a-8248-411d-8bed-9349a2cb3c0e_600x.jpg?v=1705314778, //www.therow.com/cdn/shop/files/51F377LIMF_334648a1-3b68-49d5-8b1d-f00ab2812d50_600x.jpg?v=1705314778",/products/benji-crew-neck-limestone,,"$1,290",,No,men_essentials.html
52F377LIMZ,Daniel Sweater in Cashmere,"$1,495",men_essentials,", , //www.therow.com/cdn/shop/files/52F377LIMZ_600x.jpg?v=1705163816, //www.therow.com/cdn/shop/files/52F377LIMF_d5eeb1fe-a320-4939-9ea6-9e562b81238d_600x.jpg?v=1705163818",/products/daniel-mock-neck-limestone,,"$1,495",,No,men_essentials.html
267Y590TAUZ,Delsie Mock Neck in Wool,"$1,220",men_essentials,", , //www.therow.com/cdn/shop/products/267Y590TAUZ_600x.jpg?v=1688670007, //www.therow.com/cdn/shop/products/267Y590TAUF_600x.jpg?v=1675019324",/products/delsie-mock-neck-taupe,,"$1,220",,No,men_essentials.html
268Y590TAUZ,Djon Polo in Wool,"$1,350",men_essentials,", , //www.therow.com/cdn/shop/products/268Y590TAUZ_600x.jpg?v=1677592669, //www.therow.com/cdn/shop/products/268Y590TAUF_600x.jpg?v=1675019607",/products/djon-polo-taupe,,"$1,350",,No,men_essentials.html
269Y590TAUZ,Dlomu T-Shirt in Wool,"$1,150",men_essentials,", , //www.therow.com/cdn/shop/products/269Y590TAUZ_600x.jpg?v=1677592713, //www.therow.com/cdn/shop/products/269Y590TAUF_600x.jpg?v=1675019650",/products/dlomu-t-shirt-taupe,,"$1,150",,No,men_essentials.html
51F377DRNZ,Benji Sweater in Cashmere,"$1,290",men_essentials,", , //www.therow.com/cdn/shop/products/51F377DRNZ_600x.jpg?v=1682605639, //www.therow.com/cdn/shop/files/51F377DRNF_600x.jpg?v=1682605639",/products/benji-crew-neck-blue,,"$1,290",,No,men_essentials.html
52F377DRNZ,Daniel Sweater in Cashmere,"$1,495",men_essentials,", , //www.therow.com/cdn/shop/files/52F377DRNZ_600x.jpg?v=1688673493, //www.therow.com/cdn/shop/files/52F377DRNF_600x.jpg?v=1682604408",/products/daniel-mock-neck-dark-navy,,"$1,495",,No,men_essentials.html
267Y590NVYZ,Delsie Mock Neck in Wool,"$1,220",men_essentials,", , //www.therow.com/cdn/shop/files/267Y590NVYZ_600x.jpg?v=1688673557, //www.therow.com/cdn/shop/files/267Y590NVYF_600x.jpg?v=1682604427",/products/delsie-mock-neck-navy,,"$1,220",,No,men_essentials.html
268Y590NVYZ,Djon Polo in Wool,"$1,350",men_essentials,", , //www.therow.com/cdn/shop/products/268Y590NVYZ_600x.jpg?v=1677592694, //www.therow.com/cdn/shop/products/268Y590NVYF_600x.jpg?v=1675019595",/products/djon-polo-navy,,"$1,350",,No,men_essentials.html
269Y590NVYZ,Dlomu T-Shirt in Wool,"$1,150",men_essentials,", , //www.therow.com/cdn/shop/files/269Y590NVYZ_600x.jpg?v=1688673889, //www.therow.com/cdn/shop/files/269Y590NVYF_600x.jpg?v=1682897517",/products/dlomu-t-shirt-navy,,"$1,150",,No,men_essentials.html
12350044QC,Benji Sweater in Cashmere,"$1,290",men_essentials,"//www.therow.com/cdn/shop/products/12350044QC_99_Z_ReadytoWear_Sweaters_600x.jpg?v=1682605603, //www.therow.com/cdn/shop/files/51F377BLKF_600x.jpg?v=1682605603",/products/benji-crew-neck-black,,"$1,290",,No,men_essentials.html
