"product_id","product_name","brand","price","currency","category","sub_category","color","product_url","image_url"
"45863482VC","Woody tube shoulder bag in linen & soft leather","CHLOE","1290","USD","llbgs","Shoulder bag","BLUSHY BEIGE","https://www.chloe.comhttps://www.chloe.com/us/shoulder-bag_cod45863482vc.html","https://www.chloe.com/product_image/45863482VC/f/w282.jpg"
"45863480IF","Woody tube shoulder bag in linen & soft leather","CHLOE","1250","USD","llbgs","Shoulder bag","WHITE - BROWN 1","https://www.chloe.comhttps://www.chloe.com/us/shoulder-bag_cod45863480if.html","https://www.chloe.com/product_image/45863480IF/f/w282.jpg"
"45863483OE","Woody tube shoulder bag in grained leather","CHLOE","1450","USD","llbgs","Shoulder bag","SWEET BEIGE","https://www.chloe.comhttps://www.chloe.com/us/shoulder-bag_cod45863483oe.html",""
"45851841KU","Woody tote bag in linen","CHLOE","1450","USD","llbgs","Tote bag","","https://www.chloe.comhttps://www.chloe.com/us/tote-bag_cod45851841ku.html",""
"45780847BX","Woody tote bag in soft leather","CHLOE","1990","USD","llbgs","Tote bag","Cement Pink","https://www.chloe.comhttps://www.chloe.com/us/tote-bag_cod45780847bx.html",""
"45741549PL","Woody tote bag in soft leather","CHLOE","1990","USD","llbgs","Tote bag","Black","https://www.chloe.comhttps://www.chloe.com/us/tote-bag_cod45741549pl.html",""
"45682328XP","Small Woody tote bag in soft leather","CHLOE","1850","USD","llbgs","Tote bag","Caramel","https://www.chloe.comhttps://www.chloe.com/us/tote-bag_cod45682328xp.html","https://www.chloe.com/product_image/45682328XP/f/w282.jpg"
"45711595PR","Small Woody tote bag in soft leather","CHLOE","1850","USD","llbgs","Tote bag","White","https://www.chloe.comhttps://www.chloe.com/us/tote-bag_cod45711595pr.html","https://www.chloe.com/product_image/45711595PR/f/w282.jpg"
"45741243CW","Small Woody tote bag in soft leather","CHLOE","1850","USD","llbgs","Tote bag","Cement Pink","https://www.chloe.comhttps://www.chloe.com/us/tote-bag_cod45741243cw.html","https://www.chloe.com/product_image/45741243CW/f/w282.jpg"
"45822920IF","Small Woody tote bag in linen","CHLOE","1250","USD","llbgs","Tote bag","MUSK GREY","https://www.chloe.comhttps://www.chloe.com/us/tote-bag_cod45822920if.html","https://www.chloe.com/product_image/45822920IF/f/w282.jpg"
"45686269JI","Small Woody tote bag in linen","CHLOE","1250","USD","llbgs","Tote bag","WHITE - BROWN 1","https://www.chloe.comhttps://www.chloe.com/us/tote-bag_cod45686269ji.html","https://www.chloe.com/product_image/45686269JI/f/w282.jpg"
"45863442HB","Mini Woody North South tote bag in linen","CHLOE","880","USD","llbgs","Mini bag","WHITE - BROWN 1","https://www.chloe.comhttps://www.chloe.com/us/mini-bag_cod45863442hb.html","https://www.chloe.com/product_image/45863442HB/f/w282.jpg"
"45863443OL","Mini Woody North South tote bag in linen","CHLOE","990","USD","llbgs","Mini bag","BLUSHY BEIGE","https://www.chloe.comhttps://www.chloe.com/us/mini-bag_cod45863443ol.html","https://www.chloe.com/product_image/45863443OL/f/w282.jpg"
"45660136VH","Mini Woody tote bag in linen","CHLOE","880","USD","llbgs","Mini bag","WHITE - BROWN 1","https://www.chloe.comhttps://www.chloe.com/us/mini-bag_cod45660136vh.html","https://www.chloe.com/product_image/45660136VH/f/w282.jpg"
"45778959AB","Mini Woody tote bag in linen","CHLOE","880","USD","llbgs","Mini bag","Cement Pink","https://www.chloe.comhttps://www.chloe.com/us/mini-bag_cod45778959ab.html","https://www.chloe.com/product_image/45778959AB/f/w282.jpg"
"45851849DA","Mini Woody tote bag in linen","CHLOE","880","USD","llbgs","Mini bag","BLUSHY BEIGE","https://www.chloe.comhttps://www.chloe.com/us/mini-bag_cod45851849da.html","https://www.chloe.com/product_image/45851849DA/f/w282.jpg"
"45863501NK","Mini Woody tote bag in linen & leather","CHLOE","880","USD","llbgs","Mini bag","WILD GREY","https://www.chloe.comhttps://www.chloe.com/us/mini-bag_cod45863501nk.html","https://www.chloe.com/product_image/45863501NK/f/w282.jpg"
"45711599WV","Mini Woody tote bag in soft leather","CHLOE","1550","USD","llbgs","Mini bag","Black","https://www.chloe.comhttps://www.chloe.com/us/mini-bag_cod45711599wv.html","https://www.chloe.com/product_image/45711599WV/f/w282.jpg"
"45711600ES","Mini Woody tote bag in soft leather","CHLOE","1550","USD","llbgs","Mini bag","White","https://www.chloe.comhttps://www.chloe.com/us/mini-bag_cod45711600es.html","https://www.chloe.com/product_image/45711600ES/f/w282.jpg"
"45711601NH","Mini Woody tote bag in soft leather","CHLOE","1550","USD","llbgs","Mini bag","Caramel","https://www.chloe.comhttps://www.chloe.com/us/mini-bag_cod45711601nh.html","https://www.chloe.com/product_image/45711601NH/f/w282.jpg"
"45660134CI","Nano Woody tote bag in linen","CHLOE","670","USD","llbgs","Mini bag","WHITE - BROWN 1","https://www.chloe.comhttps://www.chloe.com/us/mini-bag_cod45660134ci.html","https://www.chloe.com/product_image/45660134CI/f/w282.jpg"
"45851848MR","Marcie hobo bag in grained leather","CHLOE","2390","USD","llbgs","Hand bag","MISTY IVORY","https://www.chloe.comhttps://www.chloe.com/us/hand-bag_cod45851848mr.html","https://www.chloe.com/product_image/45851848MR/f/w282.jpg"
"45855493ET","Marcie hobo bag in grained leather","CHLOE","2390","USD","llbgs","Hand bag","Motty Grey","https://www.chloe.comhttps://www.chloe.com/us/hand-bag_cod45855493et.html","https://www.chloe.com/product_image/45855493ET/f/w282.jpg"
