data_pid,id,name,collection,productSMC,material,customization,packshotType,brand,color,colorId,size,price,discountPrice,coupon,subCategory,category,topCategory,productCategory,macroCategory,microCategory,superMicroCategory,list,stock,productGlobalSMC,images,product_url,filename
7414522AA4O4057,7414522AA4O4057,chips bag,F_W_2024/S_S_2023/S_S_2024,7414522AA4O4057,,not customizable,image,balenciaga,blue,4057,,None,1850,None,women_bags_mini-bags,men_slg,women,women_bags_mini-bags,bal_macro_men_slg|bal_macro_women_slg,bal_micro_men_chips_handbags|bal_micro_women_chips_handbags,bal_super_micro_men_clutches_and_pouches|bal_super_micro_women_clutches_and_pouches,productList,preorder,7414522AA4O4057,"https://balenciaga.dam.kering.com/m/11f29fc9d12d0902/Small-7414522AA4O4057_Y.jpg?v=1, https://balenciaga.dam.kering.com/m/100facdbfc4f6af/Small_thumbnail-7414522AA4O4057_X.jpg?v=1 240w,
                https://balenciaga.dam.kering.com/m/100facdbfc4f6af/Thumbnail-7414522AA4O4057_X.jpg?v=1 400w,
                https://balenciaga.dam.kering.com/m/100facdbfc4f6af/Small-7414522AA4O4057_X.jpg?v=1 560w,
                https://balenciaga.dam.kering.com/m/100facdbfc4f6af/Medium-7414522AA4O4057_X.jpg?v=1 880w,
                https://balenciaga.dam.kering.com/m/100facdbfc4f6af/Large-7414522AA4O4057_X.jpg?v=1 1760w, https://balenciaga.dam.kering.com/m/11f29fc9d12d0902/Small_thumbnail-7414522AA4O4057_Y.jpg?v=1 240w,
                https://balenciaga.dam.kering.com/m/11f29fc9d12d0902/Thumbnail-7414522AA4O4057_Y.jpg?v=1 400w,
                https://balenciaga.dam.kering.com/m/11f29fc9d12d0902/Small-7414522AA4O4057_Y.jpg?v=1 560w,
                https://balenciaga.dam.kering.com/m/11f29fc9d12d0902/Medium-7414522AA4O4057_Y.jpg?v=1 880w,
                https://balenciaga.dam.kering.com/m/11f29fc9d12d0902/Large-7414522AA4O4057_Y.jpg?v=1 1760w, https://balenciaga.dam.kering.com/m/100facdbfc4f6af/Small-7414522AA4O4057_X.jpg?v=1",/en-us/chips-bag-blue-7414522AA4O4057.html,men_slg.txt
7414522AA4O7209,7414522AA4O7209,chips bag,F_W_2024/S_S_2023/S_S_2024,7414522AA4O7209,,not customizable,image,balenciaga,yellow,7209,,None,1850,None,SUM24,men_slg,all-test_private,sum24,bal_macro_men_slg|bal_macro_women_slg,bal_micro_men_chips_handbags|bal_micro_women_chips_handbags,bal_super_micro_men_clutches_and_pouches|bal_super_micro_women_clutches_and_pouches,productList,preorder,7414522AA4O7209,"https://balenciaga.dam.kering.com/m/4087f8ed65e34806/Small_thumbnail-7414522AA4O7209_X.jpg?v=1 240w,
                https://balenciaga.dam.kering.com/m/4087f8ed65e34806/Thumbnail-7414522AA4O7209_X.jpg?v=1 400w,
                https://balenciaga.dam.kering.com/m/4087f8ed65e34806/Small-7414522AA4O7209_X.jpg?v=1 560w,
                https://balenciaga.dam.kering.com/m/4087f8ed65e34806/Medium-7414522AA4O7209_X.jpg?v=1 880w,
                https://balenciaga.dam.kering.com/m/4087f8ed65e34806/Large-7414522AA4O7209_X.jpg?v=1 1760w, https://balenciaga.dam.kering.com/m/710c48f83719c801/Small_thumbnail-7414522AA4O7209_Y.jpg?v=1 240w,
                https://balenciaga.dam.kering.com/m/710c48f83719c801/Thumbnail-7414522AA4O7209_Y.jpg?v=1 400w,
                https://balenciaga.dam.kering.com/m/710c48f83719c801/Small-7414522AA4O7209_Y.jpg?v=1 560w,
                https://balenciaga.dam.kering.com/m/710c48f83719c801/Medium-7414522AA4O7209_Y.jpg?v=1 880w,
                https://balenciaga.dam.kering.com/m/710c48f83719c801/Large-7414522AA4O7209_Y.jpg?v=1 1760w, https://balenciaga.dam.kering.com/m/710c48f83719c801/Small-7414522AA4O7209_Y.jpg?v=1, https://balenciaga.dam.kering.com/m/4087f8ed65e34806/Small-7414522AA4O7209_X.jpg?v=1",/en-us/chips-bag-yellow-7414522AA4O7209.html,men_slg.txt
7414522AA4O6526,7414522AA4O6526,chips bag,F_W_2024/S_S_2023/S_S_2024,7414522AA4O6526,,not customizable,image,balenciaga,red,6526,,None,1850,None,SUM24,men_slg,all-test_private,sum24,bal_macro_men_slg|bal_macro_women_slg,bal_micro_men_chips_handbags|bal_micro_women_chips_handbags,bal_super_micro_men_clutches_and_pouches|bal_super_micro_women_clutches_and_pouches,productList,outofstock,7414522AA4O6526,"https://balenciaga.dam.kering.com/m/1473f9d68404814e/Small-7414522AA4O6526_Y.jpg?v=1, https://balenciaga.dam.kering.com/m/1473f9d68404814e/Small_thumbnail-7414522AA4O6526_Y.jpg?v=1 240w,
                https://balenciaga.dam.kering.com/m/1473f9d68404814e/Thumbnail-7414522AA4O6526_Y.jpg?v=1 400w,
                https://balenciaga.dam.kering.com/m/1473f9d68404814e/Small-7414522AA4O6526_Y.jpg?v=1 560w,
                https://balenciaga.dam.kering.com/m/1473f9d68404814e/Medium-7414522AA4O6526_Y.jpg?v=1 880w,
                https://balenciaga.dam.kering.com/m/1473f9d68404814e/Large-7414522AA4O6526_Y.jpg?v=1 1760w, https://balenciaga.dam.kering.com/m/1655dac21e1bed34/Small_thumbnail-7414522AA4O6526_X.jpg?v=1 240w,
                https://balenciaga.dam.kering.com/m/1655dac21e1bed34/Thumbnail-7414522AA4O6526_X.jpg?v=1 400w,
                https://balenciaga.dam.kering.com/m/1655dac21e1bed34/Small-7414522AA4O6526_X.jpg?v=1 560w,
                https://balenciaga.dam.kering.com/m/1655dac21e1bed34/Medium-7414522AA4O6526_X.jpg?v=1 880w,
                https://balenciaga.dam.kering.com/m/1655dac21e1bed34/Large-7414522AA4O6526_X.jpg?v=1 1760w, https://balenciaga.dam.kering.com/m/1655dac21e1bed34/Small-7414522AA4O6526_X.jpg?v=1",/en-us/chips-bag-red-7414522AA4O6526.html,men_slg.txt
7878472AA3U1080,7878472AA3U1080,hotel & resort vanity ,S_S_2024,7878472AA3U1080,,not customizable,image,balenciaga,black,1080,,None,750,None,men_slg_clutch-pouch,men_slg,men,men_slg_clutch-pouch,bal_macro_men_slg,bal_micro_men_hotel_resort_handbags,bal_super_micro_men_cardholders,productList,instock,7878472AA3U1080,"https://balenciaga.dam.kering.com/m/2fd385d15cb81ca3/Small_thumbnail-7878472AA3U1080_X.jpg?v=2 240w,
                https://balenciaga.dam.kering.com/m/2fd385d15cb81ca3/Thumbnail-7878472AA3U1080_X.jpg?v=2 400w,
                https://balenciaga.dam.kering.com/m/2fd385d15cb81ca3/Small-7878472AA3U1080_X.jpg?v=2 560w,
                https://balenciaga.dam.kering.com/m/2fd385d15cb81ca3/Medium-7878472AA3U1080_X.jpg?v=2 880w,
                https://balenciaga.dam.kering.com/m/2fd385d15cb81ca3/Large-7878472AA3U1080_X.jpg?v=2 1760w, https://balenciaga.dam.kering.com/m/3d912bfc39c91677/Small_thumbnail-7878472AA3U1080_Y.jpg?v=2 240w,
                https://balenciaga.dam.kering.com/m/3d912bfc39c91677/Thumbnail-7878472AA3U1080_Y.jpg?v=2 400w,
                https://balenciaga.dam.kering.com/m/3d912bfc39c91677/Small-7878472AA3U1080_Y.jpg?v=2 560w,
                https://balenciaga.dam.kering.com/m/3d912bfc39c91677/Medium-7878472AA3U1080_Y.jpg?v=2 880w,
                https://balenciaga.dam.kering.com/m/3d912bfc39c91677/Large-7878472AA3U1080_Y.jpg?v=2 1760w, https://balenciaga.dam.kering.com/m/2fd385d15cb81ca3/Small-7878472AA3U1080_X.jpg?v=2, https://balenciaga.dam.kering.com/m/3d912bfc39c91677/Small-7878472AA3U1080_Y.jpg?v=2",/en-us/hotel-and-resort-vanity--black-7878472AA3U1080.html,men_slg.txt
7877772AA3R6027,7877772AA3R6027,passport long wallet 2 tickets ,S_S_2024,7877772AA3R6027,,not customizable,image,balenciaga,dark red,6027,,None,795,None,MEDIA PUSH,men_slg,all-test_private,media push,bal_macro_men_slg,bal_micro_men_passport_accessories,bal_super_micro_men_wallets,productList,notifyMe,7877772AA3R6027,"https://balenciaga.dam.kering.com/m/1942ff9f53638e85/Small_thumbnail-7877772AA3R6027_Y.jpg?v=2 240w,
                https://balenciaga.dam.kering.com/m/1942ff9f53638e85/Thumbnail-7877772AA3R6027_Y.jpg?v=2 400w,
                https://balenciaga.dam.kering.com/m/1942ff9f53638e85/Small-7877772AA3R6027_Y.jpg?v=2 560w,
                https://balenciaga.dam.kering.com/m/1942ff9f53638e85/Medium-7877772AA3R6027_Y.jpg?v=2 880w,
                https://balenciaga.dam.kering.com/m/1942ff9f53638e85/Large-7877772AA3R6027_Y.jpg?v=2 1760w, https://balenciaga.dam.kering.com/m/b000b13348cac6e/Small_thumbnail-7877772AA3R6027_X.jpg?v=3 240w,
                https://balenciaga.dam.kering.com/m/b000b13348cac6e/Thumbnail-7877772AA3R6027_X.jpg?v=3 400w,
                https://balenciaga.dam.kering.com/m/b000b13348cac6e/Small-7877772AA3R6027_X.jpg?v=3 560w,
                https://balenciaga.dam.kering.com/m/b000b13348cac6e/Medium-7877772AA3R6027_X.jpg?v=3 880w,
                https://balenciaga.dam.kering.com/m/b000b13348cac6e/Large-7877772AA3R6027_X.jpg?v=3 1760w, https://balenciaga.dam.kering.com/m/1942ff9f53638e85/Small-7877772AA3R6027_Y.jpg?v=2, https://balenciaga.dam.kering.com/m/b000b13348cac6e/Small-7877772AA3R6027_X.jpg?v=3",/en-us/passport-long-wallet-2-tickets--dark-red-7877772AA3R6027.html,men_slg.txt
7877742AA3R1000,7877742AA3R1000,passport long wallet 1 ticket,F_W_2024/S_S_2024,7877742AA3R1000,,not customizable,image,balenciaga,black,1000,,None,750,None,MEDIA PUSH,men_slg,all-test_private,media push,bal_macro_men_slg,bal_micro_men_passport_accessories,bal_super_micro_men_wallets,productList,notifyMe,7877742AA3R1000,"https://balenciaga.dam.kering.com/m/3d08d03c70a5d276/Small-7877742AA3R1000_Y.jpg?v=9, https://balenciaga.dam.kering.com/m/20ac0a2d915922df/Small-7877742AA3R1000_X.jpg?v=1, https://balenciaga.dam.kering.com/m/3d08d03c70a5d276/Small_thumbnail-7877742AA3R1000_Y.jpg?v=9 240w,
                https://balenciaga.dam.kering.com/m/3d08d03c70a5d276/Thumbnail-7877742AA3R1000_Y.jpg?v=9 400w,
                https://balenciaga.dam.kering.com/m/3d08d03c70a5d276/Small-7877742AA3R1000_Y.jpg?v=9 560w,
                https://balenciaga.dam.kering.com/m/3d08d03c70a5d276/Medium-7877742AA3R1000_Y.jpg?v=9 880w,
                https://balenciaga.dam.kering.com/m/3d08d03c70a5d276/Large-7877742AA3R1000_Y.jpg?v=9 1760w, https://balenciaga.dam.kering.com/m/20ac0a2d915922df/Small_thumbnail-7877742AA3R1000_X.jpg?v=1 240w,
                https://balenciaga.dam.kering.com/m/20ac0a2d915922df/Thumbnail-7877742AA3R1000_X.jpg?v=1 400w,
                https://balenciaga.dam.kering.com/m/20ac0a2d915922df/Small-7877742AA3R1000_X.jpg?v=1 560w,
                https://balenciaga.dam.kering.com/m/20ac0a2d915922df/Medium-7877742AA3R1000_X.jpg?v=1 880w,
                https://balenciaga.dam.kering.com/m/20ac0a2d915922df/Large-7877742AA3R1000_X.jpg?v=1 1760w",/en-us/passport-long-wallet-1-ticket-black-7877742AA3R1000.html,men_slg.txt
7877422AA3R1000,7877422AA3R1000,passport holder,F_W_2024/S_S_2024,7877422AA3R1000,,not customizable,image,balenciaga,black,1000,,None,475,None,MEDIA PUSH,men_slg,all-test_private,media push,bal_macro_men_slg,bal_micro_men_cardholders,bal_super_micro_men_cardholders,productList,preorder,7877422AA3R1000,"https://balenciaga.dam.kering.com/m/2a38d23069867848/Small_thumbnail-7877422AA3R1000_X.jpg?v=2 240w,
                https://balenciaga.dam.kering.com/m/2a38d23069867848/Thumbnail-7877422AA3R1000_X.jpg?v=2 400w,
                https://balenciaga.dam.kering.com/m/2a38d23069867848/Small-7877422AA3R1000_X.jpg?v=2 560w,
                https://balenciaga.dam.kering.com/m/2a38d23069867848/Medium-7877422AA3R1000_X.jpg?v=2 880w,
                https://balenciaga.dam.kering.com/m/2a38d23069867848/Large-7877422AA3R1000_X.jpg?v=2 1760w, https://balenciaga.dam.kering.com/m/2a38d23069867848/Small-7877422AA3R1000_X.jpg?v=2, https://balenciaga.dam.kering.com/m/39953b3f4579634c/Small-7877422AA3R1000_Y.jpg?v=2",/en-us/passport-holder-black-7877422AA3R1000.html,men_slg.txt
7877332AA3R1000,7877332AA3R1000,passport phone holder,F_W_2024/S_S_2024,7877332AA3R1000,,not customizable,image,balenciaga,black,1000,,None,1090,None,MEDIA PUSH,men_slg,all-test_private,media push,bal_macro_men_accessories,bal_micro_men_phone_holders,bal_super_micro_men_technology,productList,notifyMe,7877332AA3R1000,"https://balenciaga.dam.kering.com/m/4c174fefef1650a/Small-7877332AA3R1000_X.jpg?v=2, https://balenciaga.dam.kering.com/m/4944de2710e217/Small-7877332AA3R1000_Y.jpg?v=2, https://balenciaga.dam.kering.com/m/3979330cf46d238f/Small-7877332AA3R1000_Z.jpg?v=1",/en-us/passport-phone-holder-black-7877332AA3R1000.html,men_slg.txt
7928332AA7Y5113,7928332AA7Y5113,antwerp long coin and card holder ,S_S_2024,7928332AA7Y5113,,not customizable,image,balenciaga,multicolored,5113,,None,395,None,men_slg_all,men_slg,men,men_slg_all,bal_macro_men_slg,bal_micro_men_antwerp_accessories,bal_super_micro_men_cardholders,productList,instock,7928332AA7Y5113,"https://balenciaga.dam.kering.com/m/2d2f6a1ba88063ce/Small-7928332AA7Y5113_Y.jpg?v=1, https://balenciaga.dam.kering.com/m/3e4451aea6e00fba/Small-7928332AA7Y5113_X.jpg?v=1",/en-us/antwerp-long-coin-and-card-holder--multicolored-7928332AA7Y5113.html,men_slg.txt
7928362AA7Y6450,7928362AA7Y6450,antwerp mini wallet ,S_S_2024,7928362AA7Y6450,,not customizable,image,balenciaga,multicolored,6450,,None,550,None,men_slg_wallets,men_slg,men,men_slg_wallets,bal_macro_men_slg,bal_micro_men_antwerp_accessories,bal_super_micro_men_wallets,productList,instock,7928362AA7Y6450,"https://balenciaga.dam.kering.com/m/3cc0e1900b2863e/Small-7928362AA7Y6450_X.jpg?v=2, https://balenciaga.dam.kering.com/m/3d601fd410f603cd/Small-7928362AA7Y6450_Y.jpg?v=1",/en-us/antwerp-mini-wallet--multicolored-7928362AA7Y6450.html,men_slg.txt
