product_id,product_name,price,category,image_urls,product_url,colors,sale_price,original_price,filename
mk2228m3q,ORIGINAL 3Q FUR,1190.00,men_icons,https://mooseknuckles.co/media/catalog/product/m/k/mk2228m3q_256_front_category_xipfwcvvoeykcsb9.jpg?optimize=high&fit=bounds&height=&width=750&format=pjpg&quality=100&auto=webp,/us-en/p/original-3q-fur-mk2228m3q,"Black / Natural Fox Fur, Black / Black Fox Fur, Navy / Natural Fox Fur, Navy / Black Fox Fur",,1190.00,men_icons.html
mk4661mp,ORIGINAL STIRLING PARKA FUR,1295.00,men_icons,https://mooseknuckles.co/media/catalog/product/m/k/mk4661mp_864_front_3.jpg?optimize=high&fit=bounds&height=&width=750&format=pjpg&quality=100&auto=webp,/us-en/p/original-stirling-parka-fur-mk4661mp,"Black / Natural Fox Fur, Black / Black Fox Fur, Navy / Natural Fox Fur, Navy / Black Fox Fur",,1295.00,men_icons.html
m32mp221,CLOUD PARKA FUR,1250.00,men_icons,https://mooseknuckles.co/media/catalog/product/m/3/m32mp221_291_front_category_3.jpg?optimize=high&fit=bounds&height=&width=750&format=pjpg&quality=100&auto=webp,/us-en/p/cloud-parka-fur-m32mp221,"Black / Natural Fox Fur, Black / Black Fox Fur",,1250.00,men_icons.html
m32mp221s,CLOUD PARKA NEOSHEAR,1250.00,men_icons,https://mooseknuckles.co/media/catalog/product/m/3/m32mp221s_1009_front_category_1.jpg?optimize=high&fit=bounds&height=&width=750&format=pjpg&quality=100&auto=webp,/us-en/p/cloud-parka-neoshear-m32mp221s,Pebble / Natural Shearling,,1250.00,men_icons.html
m39mb000g,GOLD BALLISTIC BOMBER FUR,1424.00,men_icons,https://mooseknuckles.co/media/catalog/product/m/3/m39mb000g_412_front_category_6.jpg?optimize=high&fit=bounds&height=&width=750&format=pjpg&quality=100&auto=webp,/us-en/p/gold-ballistic-bomber-fur-m39mb000g,"Black / Black Fox Fur, Black / Gold Fox Fur, Navy / Black Fox Fur, Navy / Gold Fox Fur",,1424.00,men_icons.html
m39mp261g,GOLD STIRLING PARKA FUR,1524.00,men_icons,https://mooseknuckles.co/media/catalog/product/m/3/m39mp261g_412_front_5.jpg?optimize=high&fit=bounds&height=&width=750&format=pjpg&quality=100&auto=webp,/us-en/p/gold-stirling-parka-fur-m39mp261g,"Black / Black Fox Fur, Black / Gold Fox Fur, Navy / Black Fox Fur, Navy / Gold Fox Fur",,1524.00,men_icons.html
m39mj122,ONYX ROUND ISLAND JACKET,1395.00,men_icons,https://mooseknuckles.co/media/catalog/product/m/3/m39mj122_310_front_2.jpg?optimize=high&fit=bounds&height=&width=750&format=pjpg&quality=100&auto=webp,/us-en/p/onyx-round-island-jacket-m39mj122,"Black / Black Fox Fur, Black / Frost Fox Fur, True Navy / Black Fox Fur",,1395.00,men_icons.html
m32mb005,CLOUD BOMBER,950.00,men_icons,https://mooseknuckles.co/media/catalog/product/m/3/m32mb005_292_front_category_5.jpg?optimize=high&fit=bounds&height=&width=750&format=pjpg&quality=100&auto=webp,/us-en/p/cloud-bomber-m32mb005,"Black, Nimbus Cloud",,950.00,men_icons.html
m33mb005s,CLOUD BOMBER NEOSHEAR,1050.00,men_icons,https://mooseknuckles.co/media/catalog/product/m/3/m33mb005s_305_front_category_ip1qdhyqeayudxoq.jpg?optimize=high&fit=bounds&height=&width=750&format=pjpg&quality=100&auto=webp,/us-en/p/cloud-bomber-neoshear-m33mb005s,"Black / Black Shearling, Navy / Black Shearling",,1050.00,men_icons.html
m32mj178s,CLOUD 3Q NEOSHEAR,1150.00,men_icons,https://mooseknuckles.co/media/catalog/product/m/3/m32mj178s_1010_front_category_y27aj3xqkcxoa1we.jpg?optimize=high&fit=bounds&height=&width=750&format=pjpg&quality=100&auto=webp,/us-en/p/cloud-3q-neoshear-m32mj178s,"Black / Black Shearling, Black / Natural Shearling, Nimbus Cloud / Natural Shearling",,1150.00,men_icons.html
m32mj178n,CLOUD 3Q,1050.00,men_icons,https://mooseknuckles.co/media/catalog/product/m/3/m32mj178n_981_front_category_bktg3qfiresqgqvx.jpg?optimize=high&fit=bounds&height=&width=750&format=pjpg&quality=100&auto=webp,/us-en/p/cloud-3q-m32mj178n,"Black, Nimbus Cloud",,1050.00,men_icons.html
