filename,data_pid,id,name,collection,productSMC,material,customization,packshotType,brand,color,colorId,size,price,discountPrice,coupon,subCategory,category,topCategory,productCategory,macroCategory,microCategory,superMicroCategory,list,stock,productGlobalSMC,images,product_url
578004VMAY11242,578004VMAY11242,cassette,F_W_2019/F_W_2021/F_W_2023/S_S_2022/S_S_2023,578004VMAY11242,,not customizable,image,bottega veneta,thunder,1242,,None,3000,None,None,women_bags,women,women-bags,bv_macro_women_bags,bv_micro_women_crossbody_bags,bv_super_micro_women_crossbody_bags,productList,outofstock,578004VMAY11242,"/on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg",/en-us/cassette-thunder-578004VMAY11242.html,women_bags.html
667298VCQ713724,667298VCQ713724,cassette,F_W_2021/F_W_2022/F_W_2023/F_W_2024/S_S_2021/S_S_2022/S_S_2023,667298VCQ713724,,not customizable,image,bottega veneta,parakeet,3724,,None,3000,None,None,women_bags,women,women-bags,bv_macro_men_bags,bv_micro_men_crossbody_bags,bv_super_micro_men_crossbody_bags,productList,instock,667298VCQ713724,"/on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg",/en-us/cassette-parakeet-667298VCQ713724.html,women_bags.html
667298VCQ712145,667298VCQ712145,cassette,F_W_2021/F_W_2022/F_W_2023/S_S_2021/S_S_2022/S_S_2023,667298VCQ712145,,not customizable,image,bottega veneta,fondant,2145,,None,3000,None,men-gifting-viewall-us,women_bags,gifts,men-gifting-viewall-us,bv_macro_men_bags,bv_micro_men_crossbody_bags,bv_super_micro_men_crossbody_bags,productList,instock,667298VCQ712145,"/on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg",/en-us/cassette-fondant-667298VCQ712145.html,women_bags.html
717506VCQR18425,717506VCQR18425,small padded cassette,F_W_2022/F_W_2023/F_W_2024/S_S_2023,717506VCQR18425,,not customizable,image,bottega veneta,black,8425,,None,3900,None,women-crossbody-bags,women_bags,women,women-crossbody-bags,bv_macro_women_bags,bv_micro_women_crossbody_bags,bv_super_micro_women_crossbody_bags,productList,instock,717506VCQR18425,"/on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg",/en-us/small-padded-cassette-black-717506VCQR18425.html,women_bags.html
717506VCQR18837,717506VCQR18837,small padded cassette,F_W_2022/S_S_2023,717506VCQR18837,,not customizable,image,bottega veneta,space,8837,,None,3900,None,women-crossbody-bags,women_bags,women,women-crossbody-bags,bv_macro_women_bags,bv_micro_women_crossbody_bags,bv_super_micro_women_crossbody_bags,productList,instock,717506VCQR18837,"/on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg",/en-us/small-padded-cassette-space-717506VCQR18837.html,women_bags.html
717506VCQR12593,717506VCQR12593,small padded cassette,F_W_2022/S_S_2023,717506VCQR12593,,not customizable,image,bottega veneta,camel,2593,,None,3900,None,women-crossbody-bags,women_bags,women,women-crossbody-bags,bv_macro_women_bags,bv_micro_women_crossbody_bags,bv_super_micro_women_crossbody_bags,productList,instock,717506VCQR12593,"/on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg",/en-us/small-padded-cassette-camel-717506VCQR12593.html,women_bags.html
591970VCQR19782,591970VCQR19782,padded cassette,F_W_2019/F_W_2020/F_W_2021/F_W_2022/S_S_2021/S_S_2022,591970VCQR19782,,not customizable,image,bottega veneta,porridge,9782,,None,4900,None,certificate-of-craft,women_bags,inside-bottega,certificate-of-craft,bv_macro_women_bags,bv_micro_women_crossbody_bags,bv_super_micro_women_crossbody_bags,productList,instock,591970VCQR19782,"/on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg",/en-us/padded-cassette-porridge-591970VCQR19782.html,women_bags.html
591970VCQR12916,591970VCQR12916,padded cassette,F_W_2019/F_W_2022,591970VCQR12916,,not customizable,image,bottega veneta,travertine,2916,,None,4900,None,women-crossbody-bags,women_bags,women,women-crossbody-bags,bv_macro_women_bags,bv_micro_women_crossbody_bags,bv_super_micro_women_crossbody_bags,productList,instock,591970VCQR12916,"/on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg",/en-us/padded-cassette-travertine-591970VCQR12916.html,women_bags.html
591970VCQR13724,591970VCQR13724,padded cassette,F_W_2019/F_W_2021/F_W_2022/F_W_2023/S_S_2021/S_S_2022/S_S_2023/S_S_2024,591970VCQR13724,,not customizable,image,bottega veneta,parakeet,3724,,None,4900,None,women-cassette,women_bags,women,women-cassette,bv_macro_women_bags,bv_micro_men_cross_body_and_belt_bags,bv_super_micro_men_cross_body_and_belt_bags,productList,instock,591970VCQR13724,"/on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg",/en-us/padded-cassette-parakeet-591970VCQR13724.html,women_bags.html
591970VCQR18425,591970VCQR18425,padded cassette,F_W_2019/F_W_2021/F_W_2022/F_W_2023/F_W_2024/S_S_2021/S_S_2022/S_S_2023/S_S_2024,591970VCQR18425,,not customizable,image,bottega veneta,nero,8425,,None,4900,None,certificate-of-craft,women_bags,inside-bottega,certificate-of-craft,bv_macro_women_bags,bv_micro_women_crossbody_bags,bv_super_micro_women_crossbody_bags,productList,instock,591970VCQR18425,"/on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg",/en-us/padded-cassette-nero-591970VCQR18425.html,women_bags.html
591970VCQR19850,591970VCQR19850,padded cassette,F_W_2020/F_W_2021/S_S_2020/S_S_2021,591970VCQR19850,,not customizable,image,bottega veneta,caramel,9850,,None,4900,None,None,women_bags,women,women-bags,bv_macro_women_bags,bv_micro_women_crossbody_bags,bv_super_micro_women_crossbody_bags,productList,instock,591970VCQR19850,"/on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg",/en-us/padded-cassette-caramel-591970VCQR19850.html,women_bags.html
730543VCQC42593,730543VCQC42593,cassette pouch,S_S_2023,730543VCQC42593,,not customizable,image,bottega veneta,camel,2593,,None,1950,None,women-cassette,women_bags,women,women-cassette,bv_macro_women_bags,bv_micro_women_mini_bags,bv_super_micro_women_mini_bags,productList,instock,730543VCQC42593,"/on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg",/en-us/cassette-pouch-camel-730543VCQC42593.html,women_bags.html
730543VCQC48425,730543VCQC48425,cassette pouch,S_S_2023,730543VCQC48425,,not customizable,image,bottega veneta,black,8425,,None,1950,None,women-mini-bags,women_bags,women,women-mini-bags,bv_macro_women_bags,bv_micro_women_mini_bags,bv_super_micro_women_mini_bags,productList,instock,730543VCQC48425,"/on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BV-R-NOAM-Site/-/default/dwe80000e1/images/image-tile-placeholder.svg",/en-us/cassette-pouch-black-730543VCQC48425.html,women_bags.html
