"Cod10","Title","Price","position","category","macro_category","micro_category","macro_category_id","micro_category_id","color","color_id","product_price","discountedPrice","price_tf","discountedPrice_tf","quantity","coupon","is_in_stock","list","url","img_src","filename"
"45863423GD","Small Woody hamper in fair-trade paper","850","0","2300/29810","Bags","Tote bag","2300","29810","WILD GREY","62195","850","850","850.0","850.0","1","","True","searchresult","https://www.chloe.com/us/tote-bag_cod45863423gd.html","https://www.chloe.com/product_image/45863423GD/f/w282.jpg","bags.html"
"45863424VG","Small Woody hamper in fair-trade paper","850","1","2300/29810","Bags","Tote bag","2300","29810","DARK NUT","62442","850","850","850.0","850.0","1","","True","searchresult","https://www.chloe.com/us/tote-bag_cod45863424vg.html","https://www.chloe.com/product_image/45863424VG/f/w282.jpg","bags.html"
"45863421LX","Large Woody basket in fair trade paper","950","2","2300/29810","Bags","Tote bag","2300","29810","WILD GREY","62195","950","950","950.0","950.0","1","","True","searchresult","https://www.chloe.com/us/tote-bag_cod45863421lx.html","https://www.chloe.com/product_image/45863421LX/f/w282.jpg","bags.html"
"45863422BT","Large Woody basket in fair-trade paper","950","3","2300/29810","Bags","Tote bag","2300","29810","DARK NUT","62442","950","950","950.0","950.0","1","","True","searchresult","https://www.chloe.com/us/tote-bag_cod45863422bt.html","https://www.chloe.com/product_image/45863422BT/f/w282.jpg","bags.html"
"45851855RK","Large Woody basket","990","4","2300/29810","Bags","Tote bag","2300","29810","ARGIL BROWN","26098","990","990","990.0","990.0","1","","True","searchresult","https://www.chloe.com/us/tote-bag_cod45851855rk.html","https://www.chloe.com/product_image/45851855RK/f/w282.jpg","bags.html"
"45851856HI","Large Woody basket","990","5","2300/29810","Bags","Tote bag","2300","29810","Light Gold","8605","990","990","990.0","990.0","1","","True","searchresult","https://www.chloe.com/us/tote-bag_cod45851856hi.html","https://www.chloe.com/product_image/45851856HI/f/w282.jpg","bags.html"
"45863425BB","Woody tote bag in linen","1450","6","2300/29810","Bags","Tote bag","2300","29810","WILD GREY","62195","1450","1450","1450.0","1450.0","1","","True","searchresult","https://www.chloe.com/us/tote-bag_cod45863425bb.html","https://www.chloe.com/product_image/45863425BB/f/w282.jpg","bags.html"
"45863426TL","Woody tote bag in linen","1450","7","2300/29810","Bags","Tote bag","2300","29810","DARK NUT","62442","1450","1450","1450.0","1450.0","1","","True","searchresult","https://www.chloe.com/us/tote-bag_cod45863426tl.html","https://www.chloe.com/product_image/45863426TL/f/w282.jpg","bags.html"
"45686267GG","Medium Woody tote bag","1290","8","2300/29810","Bags","Tote bag","2300","29810","WHITE - BROWN 1","20561","1290","1290","1290.0","1290.0","1","","True","searchresult","https://www.chloe.com/us/tote-bag_cod45686267gg.html","https://www.chloe.com/product_image/45686267GG/f/w282.jpg","bags.html"
"45660586MX","Medium Woody tote bag","1290","9","2300/29810","Bags","Tote bag","2300","29810","White - Beige 1","14781","1290","1290","1290.0","1290.0","1","","True","searchresult","https://www.chloe.com/us/tote-bag_cod45660586mx.html","https://www.chloe.com/product_image/45660586MX/f/w282.jpg","bags.html"
"45863412OK","Small Marcie double carry bag in grained leather","2390","10","2300/32341","Bags","Hand bag","2300","32341","Cement Pink","23868","2390","2390","2390.0","2390.0","1","","True","searchresult","https://www.chloe.com/us/hand-bag_cod45863412ok.html","https://www.chloe.com/product_image/45863412OK/f/w282.jpg","bags.html"
"45863416HV","Small Marcie saddle bag in grained leather","1450","11","2300/32341","Bags","Hand bag","2300","32341","Cement Pink","23868","1450","1450","1450.0","1450.0","1","","True","searchresult","https://www.chloe.com/us/hand-bag_cod45863416hv.html","https://www.chloe.com/product_image/45863416HV/f/w282.jpg","bags.html"
"45863477BF","Small Marcie saddle bag in shiny leather","1450","12","2300/29809","Bags","Shoulder bag","2300","29809","DEEP BEIGE","20587","1450","1450","1450.0","1450.0","1","","True","searchresult","https://www.chloe.com/us/shoulder-bag_cod45863477bf.html","https://www.chloe.com/product_image/45863477BF/f/w282.jpg","bags.html"
"45863479LQ","Small Marcie saddle bag in linen & smooth leather","1450","13","2300/29809","Bags","Shoulder bag","2300","29809","Sepia Brown","15278","1450","1450","1450.0","1450.0","1","","True","searchresult","https://www.chloe.com/us/shoulder-bag_cod45863479lq.html","https://www.chloe.com/product_image/45863479LQ/f/w282.jpg","bags.html"
"45863478QM","Small Marcie saddle bag in linen & smooth leather","1450","14","2300/29809","Bags","Shoulder bag","2300","29809","Black","23387","1450","1450","1450.0","1450.0","1","","True","searchresult","https://www.chloe.com/us/shoulder-bag_cod45863478qm.html","https://www.chloe.com/product_image/45863478QM/f/w282.jpg","bags.html"
"45863466OK","Small Marcie hobo bag in grained leather","2090","15","2300/29809","Bags","Shoulder bag","2300","29809","MISTY IVORY","42643","2090","2090","2090.0","2090.0","1","","True","searchresult","https://www.chloe.com/us/shoulder-bag_cod45863466ok.html","https://www.chloe.com/product_image/45863466OK/f/w282.jpg","bags.html"
"45863467KH","Small Marcie hobo bag in grained leather","2090","16","2300/29809","Bags","Shoulder bag","2300","29809","Tan","23804","2090","2090","2090.0","2090.0","1","","True","searchresult","https://www.chloe.com/us/shoulder-bag_cod45863467kh.html","https://www.chloe.com/product_image/45863467KH/f/w282.jpg","bags.html"
"45823288TB","Met Gala clutch","5290","17","2300/29811","Bags","Clutches and Evening bags","2300","29811","Black","23387","5290","3704","5290.0","3704.0","1","","True","searchresult","https://www.chloe.com/us/clutches-and-evening-bags_cod45823288tb.html","https://www.chloe.com/product_image/45823288TB/f/w282.jpg","bags.html"
"45823307GQ","Penelope large soft shoulder bag","4250","18","2300/29809","Bags","Shoulder bag","2300","29809","Multicolor 1","1245","4250","4250","4250.0","4250.0","1","","True","searchresult","https://www.chloe.com/us/shoulder-bag_cod45823307gq.html","https://www.chloe.com/product_image/45823307GQ/f/w282.jpg","bags.html"
"45800320RR","Steph medium double carry bag","3650","19","2300/29810","Bags","Tote bag","2300","29810","White","23388","3650","3650","3650.0","3650.0","1","","True","searchresult","https://www.chloe.com/us/tote-bag_cod45800320rr.html","https://www.chloe.com/product_image/45800320RR/f/w282.jpg","bags.html"
"45800319FM","Steph medium double carry bag","3650","20","2300/29810","Bags","Tote bag","2300","29810","Black","23387","3650","3650","3650.0","3650.0","1","","True","searchresult","https://www.chloe.com/us/tote-bag_cod45800319fm.html","https://www.chloe.com/product_image/45800319FM/f/w282.jpg","bags.html"
"45851854IH","Carmela tote bag","3690","21","2300/29810","Bags","Tote bag","2300","29810","White","23388","3690","2584","3690.0","2584.0","1","","True","searchresult","https://www.chloe.com/us/tote-bag_cod45851854ih.html","https://www.chloe.com/product_image/45851854IH/f/w282.jpg","bags.html"
"45851853MV","Carmela tote bag","3690","22","2300/29810","Bags","Tote bag","2300","29810","Black","23387","3690","2584","3690.0","2584.0","1","","True","searchresult","https://www.chloe.com/us/tote-bag_cod45851853mv.html","https://www.chloe.com/product_image/45851853MV/f/w282.jpg","bags.html"
"45823309QE","Penelope small top handle bag","3650","23","2300/29809","Bags","Shoulder bag","2300","29809","Black","23387","3650","2190","3650.0","2190.0","1","","True","searchresult","https://www.chloe.com/us/shoulder-bag_cod45823309qe.html","https://www.chloe.com/product_image/45823309QE/f/w282.jpg","bags.html"
"45736388VN","Penelope large soft shoulder bag","3650","24","2300/29809","Bags","Shoulder bag","2300","29809","Black","23387","3650","3650","3650.0","3650.0","1","","True","searchresult","https://www.chloe.com/us/shoulder-bag_cod45736388vn.html","https://www.chloe.com/product_image/45736388VN/f/w282.jpg","bags.html"
"45823322XB","Marcie large double carry bag","3550","25","2300/29809","Bags","Shoulder bag","2300","29809","MIDNIGHT BLUE","62456","3550","3550","3550.0","3550.0","1","","True","searchresult","https://www.chloe.com/us/shoulder-bag_cod45823322xb.html","https://www.chloe.com/product_image/45823322XB/f/w282.jpg","bags.html"
"45823321XI","Marcie large double carry bag","3550","26","2300/29809","Bags","Shoulder bag","2300","29809","Palm Brown","2190","3550","3550","3550.0","3550.0","1","","True","searchresult","https://www.chloe.com/us/shoulder-bag_cod45823321xi.html","https://www.chloe.com/product_image/45823321XI/f/w282.jpg","bags.html"
"45823320CE","Marcie large double carry bag","3550","27","2300/29809","Bags","Shoulder bag","2300","29809","FLORAL GREY","62445","3550","3550","3550.0","3550.0","1","","True","searchresult","https://www.chloe.com/us/shoulder-bag_cod45823320ce.html","https://www.chloe.com/product_image/45823320CE/f/w282.jpg","bags.html"
"45823319TM","Marcie large double carry bag","3550","28","2300/29809","Bags","Shoulder bag","2300","29809","Black","23387","3550","3550","3550.0","3550.0","1","","True","searchresult","https://www.chloe.com/us/shoulder-bag_cod45823319tm.html","https://www.chloe.com/product_image/45823319TM/f/w282.jpg","bags.html"
"45823305RI","Medium Mony tote bag","3190","29","2300/29810","Bags","Tote bag","2300","29810","MIDNIGHT BLUE","62456","3190","3190","3190.0","3190.0","1","","True","searchresult","https://www.chloe.com/us/tote-bag_cod45823305ri.html","https://www.chloe.com/product_image/45823305RI/f/w282.jpg","bags.html"
"45822646TC","Penelope medium soft shoulder bag","3190","30","2300/29809","Bags","Shoulder bag","2300","29809","Nomad Beige","12810","3190","3190","3190.0","3190.0","1","","True","searchresult","https://www.chloe.com/us/shoulder-bag_cod45822646tc.html","https://www.chloe.com/product_image/45822646TC/f/w282.jpg","bags.html"
"45800311ID","Penelope medium soft shoulder bag","3190","31","2300/29809","Bags","Shoulder bag","2300","29809","DEEP VIOLINE","62288","3190","3190","3190.0","3190.0","1","","True","searchresult","https://www.chloe.com/us/shoulder-bag_cod45800311id.html","https://www.chloe.com/product_image/45800311ID/f/w282.jpg","bags.html"
"45779102WW","Medium Mony tote bag","3190","32","2300/29810","Bags","Tote bag","2300","29810","Caramel","23831","3190","3190","3190.0","3190.0","1","","True","searchresult","https://www.chloe.com/us/tote-bag_cod45779102ww.html","https://www.chloe.com/product_image/45779102WW/f/w282.jpg","bags.html"
"45779101AP","Medium Mony tote bag","3190","33","2300/29810","Bags","Tote bag","2300","29810","Black","23387","3190","3190","3190.0","3190.0","1","","True","searchresult","https://www.chloe.com/us/tote-bag_cod45779101ap.html","https://www.chloe.com/product_image/45779101AP/f/w282.jpg","bags.html"
"45758976PQ","Penelope medium soft shoulder bag","3190","34","2300/29809","Bags","Shoulder bag","2300","29809","Black","23387","3190","3190","3190.0","3190.0","1","","True","searchresult","https://www.chloe.com/us/shoulder-bag_cod45758976pq.html","https://www.chloe.com/product_image/45758976PQ/f/w282.jpg","bags.html"
"45736392KF","Penelope medium soft shoulder bag","3190","35","2300/29809","Bags","Shoulder bag","2300","29809","Caramel","23831","3190","3190","3190.0","3190.0","1","","True","searchresult","https://www.chloe.com/us/shoulder-bag_cod45736392kf.html","https://www.chloe.com/product_image/45736392KF/f/w282.jpg","bags.html"
"45800348RK","Sabia hamper","3090","36","2300/29810","Bags","Tote bag","2300","29810","DEEP VIOLINE","62288","3090","3090","3090.0","3090.0","1","","True","searchresult","https://www.chloe.com/us/tote-bag_cod45800348rk.html","https://www.chloe.com/product_image/45800348RK/f/w282.jpg","bags.html"
"45800347WE","Sabia hamper","3090","37","2300/29810","Bags","Tote bag","2300","29810","Tan","23804","3090","3090","3090.0","3090.0","1","","True","searchresult","https://www.chloe.com/us/tote-bag_cod45800347we.html","https://www.chloe.com/product_image/45800347WE/f/w282.jpg","bags.html"
"45851864PR","Medium Woody tote bag","2950","38","2300/29810","Bags","Tote bag","2300","29810","Silver","23884","2950","2950","2950.0","2950.0","1","","True","searchresult","https://www.chloe.com/us/tote-bag_cod45851864pr.html","https://www.chloe.com/product_image/45851864PR/f/w282.jpg","bags.html"
"45823328GC","Marcie double carry bag","2950","39","2300/32341","Bags","Hand bag","2300","32341","SAFARI GOLD","42636","2950","2950","2950.0","2950.0","1","","True","searchresult","https://www.chloe.com/us/hand-bag_cod45823328gc.html","https://www.chloe.com/product_image/45823328GC/f/w282.jpg","bags.html"
"45823327BR","Marcie double carry bag","2950","40","2300/32341","Bags","Hand bag","2300","32341","MIDNIGHT BLUE","62456","2950","2950","2950.0","2950.0","1","","True","searchresult","https://www.chloe.com/us/hand-bag_cod45823327br.html","https://www.chloe.com/product_image/45823327BR/f/w282.jpg","bags.html"
"45823325RM","Marcie double carry bag","2950","41","2300/32341","Bags","Hand bag","2300","32341","HEAVEN BLUE","62451","2950","2950","2950.0","2950.0","1","","True","searchresult","https://www.chloe.com/us/hand-bag_cod45823325rm.html","https://www.chloe.com/product_image/45823325RM/f/w282.jpg","bags.html"
"45823324WR","Marcie double carry bag","2950","42","2300/32341","Bags","Hand bag","2300","32341","Palm Brown","2190","2950","2950","2950.0","2950.0","1","","True","searchresult","https://www.chloe.com/us/hand-bag_cod45823324wr.html","https://www.chloe.com/product_image/45823324WR/f/w282.jpg","bags.html"
"45823323GR","Marcie double carry bag","2950","43","2300/32341","Bags","Hand bag","2300","32341","FLORAL GREY","62445","2950","2950","2950.0","2950.0","1","","True","searchresult","https://www.chloe.com/us/hand-bag_cod45823323gr.html","https://www.chloe.com/product_image/45823323GR/f/w282.jpg","bags.html"
"45851860JI","Large Woody tote bag","2890","44","2300/29810","Bags","Tote bag","2300","29810","Black","23387","2890","2890","2890.0","2890.0","1","","True","searchresult","https://www.chloe.com/us/tote-bag_cod45851860ji.html","https://www.chloe.com/product_image/45851860JI/f/w282.jpg","bags.html"
"45851861FS","Medium Woody tote bag","2750","45","2300/29810","Bags","Tote bag","2300","29810","MISTY IVORY","42643","2750","2750","2750.0","2750.0","1","","True","searchresult","https://www.chloe.com/us/tote-bag_cod45851861fs.html","https://www.chloe.com/product_image/45851861FS/f/w282.jpg","bags.html"
"45800275HC","Marcie double carry bag","2690","46","2300/32341","Bags","Hand bag","2300","32341","","","2690","2690","2690.0","2690.0","1","","True","searchresult","https://www.chloe.com/us/hand-bag_cod45800275hc.html","https://www.chloe.com/product_image/45800275HC/f/w282.jpg","bags.html"
"45741541GC","Marcie double carry bag","2690","47","2300/32341","Bags","Hand bag","2300","32341","Navy","23819","2690","2690","2690.0","2690.0","1","","True","searchresult","https://www.chloe.com/us/hand-bag_cod45741541gc.html","https://www.chloe.com/product_image/45741541GC/f/w282.jpg","bags.html"
"45801891MU","Penelope medium soft shoulder bag","3190","48","2300/29809","Bags","Shoulder bag","2300","29809","White","23388","3190","1914","3190.0","1914.0","1","","True","searchresult","https://www.chloe.com/us/shoulder-bag_cod45801891mu.html","https://www.chloe.com/product_image/45801891MU/f/w282.jpg","bags.html"
"45800348RK","Sabia hamper","3090","49","2300/29810","Bags","Tote bag","2300","29810","DEEP VIOLINE","62288","3090","3090","3090.0","3090.0","1","","True","searchresult","https://www.chloe.com/us/tote-bag_cod45800348rk.html","https://www.chloe.com/product_image/45800348RK/f/w282.jpg","bags.html"
"45800347WE","Sabia hamper","3090","50","2300/29810","Bags","Tote bag","2300","29810","Tan","23804","3090","3090","3090.0","3090.0","1","","True","searchresult","https://www.chloe.com/us/tote-bag_cod45800347we.html","https://www.chloe.com/product_image/45800347WE/f/w282.jpg","bags.html"
"45800312HJ","Penelope medium soft shoulder bag","3190","51","2300/29809","Bags","Shoulder bag","2300","29809","DUSTY GOLD","62388","3190","1914","3190.0","1914.0","1","","True","searchresult","https://www.chloe.com/us/shoulder-bag_cod45800312hj.html","https://www.chloe.com/product_image/45800312HJ/f/w282.jpg","bags.html"
"45800311ID","Penelope medium soft shoulder bag","3190","52","2300/29809","Bags","Shoulder bag","2300","29809","DEEP VIOLINE","62288","3190","3190","3190.0","3190.0","1","","True","searchresult","https://www.chloe.com/us/shoulder-bag_cod45800311id.html","https://www.chloe.com/product_image/45800311ID/f/w282.jpg","bags.html"
"45772721HP","Penelope medium soft shoulder bag","3190","53","2300/29809","Bags","Shoulder bag","2300","29809","","","3190","1914","3190.0","1914.0","1","","True","searchresult","https://www.chloe.com/us/shoulder-bag_cod45772721hp.html","https://www.chloe.com/product_image/45772721HP/f/w282.jpg","bags.html"
"45758976PQ","Penelope medium soft shoulder bag","3190","54","2300/29809","Bags","Shoulder bag","2300","29809","Black","23387","3190","3190","3190.0","3190.0","1","","True","searchresult","https://www.chloe.com/us/shoulder-bag_cod45758976pq.html","https://www.chloe.com/product_image/45758976PQ/f/w282.jpg","bags.html"
"45736392KF","Penelope medium soft shoulder bag","3190","55","2300/29809","Bags","Shoulder bag","2300","29809","Caramel","23831","3190","3190","3190.0","3190.0","1","","True","searchresult","https://www.chloe.com/us/shoulder-bag_cod45736392kf.html","https://www.chloe.com/product_image/45736392KF/f/w282.jpg","bags.html"
"45851864PR","Medium Woody tote bag","2950","56","2300/29810","Bags","Tote bag","2300","29810","Silver","23884","2950","2950","2950.0","2950.0","1","","True","searchresult","https://www.chloe.com/us/tote-bag_cod45851864pr.html","https://www.chloe.com/product_image/45851864PR/f/w282.jpg","bags.html"
"45823328GC","Marcie double carry bag","2950","57","2300/32341","Bags","Hand bag","2300","32341","SAFARI GOLD","42636","2950","2950","2950.0","2950.0","1","","True","searchresult","https://www.chloe.com/us/hand-bag_cod45823328gc.html","https://www.chloe.com/product_image/45823328GC/f/w282.jpg","bags.html"
"45823327BR","Marcie double carry bag","2950","58","2300/32341","Bags","Hand bag","2300","32341","MIDNIGHT BLUE","62456","2950","2950","2950.0","2950.0","1","","True","searchresult","https://www.chloe.com/us/hand-bag_cod45823327br.html","https://www.chloe.com/product_image/45823327BR/f/w282.jpg","bags.html"
"45823325RM","Marcie double carry bag","2950","59","2300/32341","Bags","Hand bag","2300","32341","HEAVEN BLUE","62451","2950","2950","2950.0","2950.0","1","","True","searchresult","https://www.chloe.com/us/hand-bag_cod45823325rm.html","https://www.chloe.com/product_image/45823325RM/f/w282.jpg","bags.html"
"45823324WR","Marcie double carry bag","2950","60","2300/32341","Bags","Hand bag","2300","32341","Palm Brown","2190","2950","2950","2950.0","2950.0","1","","True","searchresult","https://www.chloe.com/us/hand-bag_cod45823324wr.html","https://www.chloe.com/product_image/45823324WR/f/w282.jpg","bags.html"
"45823323GR","Marcie double carry bag","2950","61","2300/32341","Bags","Hand bag","2300","32341","FLORAL GREY","62445","2950","2950","2950.0","2950.0","1","","True","searchresult","https://www.chloe.com/us/hand-bag_cod45823323gr.html","https://www.chloe.com/product_image/45823323GR/f/w282.jpg","bags.html"
"45851860JI","Large Woody tote bag","2890","62","2300/29810","Bags","Tote bag","2300","29810","Black","23387","2890","2890","2890.0","2890.0","1","","True","searchresult","https://www.chloe.com/us/tote-bag_cod45851860ji.html","https://www.chloe.com/product_image/45851860JI/f/w282.jpg","bags.html"
"45851861FS","Medium Woody tote bag","2750","63","2300/29810","Bags","Tote bag","2300","29810","MISTY IVORY","42643","2750","2750","2750.0","2750.0","1","","True","searchresult","https://www.chloe.com/us/tote-bag_cod45851861fs.html","https://www.chloe.com/product_image/45851861FS/f/w282.jpg","bags.html"
"45823311PP","Penelope small top handle bag","2690","64","2300/29809","Bags","Shoulder bag","2300","29809","","","2690","1614","2690.0","1614.0","1","","True","searchresult","https://www.chloe.com/us/shoulder-bag_cod45823311pp.html","https://www.chloe.com/product_image/45823311PP/f/w282.jpg","bags.html"
"45800275HC","Marcie double carry bag","2690","65","2300/32341","Bags","Hand bag","2300","32341","","","2690","2690","2690.0","2690.0","1","","True","searchresult","https://www.chloe.com/us/hand-bag_cod45800275hc.html","https://www.chloe.com/product_image/45800275HC/f/w282.jpg","bags.html"
"45741541GC","Marcie double carry bag","2690","66","2300/32341","Bags","Hand bag","2300","32341","Navy","23819","2690","2690","2690.0","2690.0","1","","True","searchresult","https://www.chloe.com/us/hand-bag_cod45741541gc.html","https://www.chloe.com/product_image/45741541GC/f/w282.jpg","bags.html"
"45741208VV","Marcie double carry bag","2690","67","2300/32341","Bags","Hand bag","2300","32341","MILKY BROWN","62091","2690","2690","2690.0","2690.0","1","","True","searchresult","https://www.chloe.com/us/hand-bag_cod45741208vv.html","https://www.chloe.com/product_image/45741208VV/f/w282.jpg","bags.html"
"45711457NV","Marcie double carry bag","2690","68","2300/32341","Bags","Hand bag","2300","32341","Nomad Beige","12810","2690","2690","2690.0","2690.0","1","","True","searchresult","https://www.chloe.com/us/hand-bag_cod45711457nv.html","https://www.chloe.com/product_image/45711457NV/f/w282.jpg","bags.html"
"45661616FT","Marcie double carry bag","2690","69","2300/32341","Bags","Hand bag","2300","32341","Tan","23804","2690","2690","2690.0","2690.0","1","","True","searchresult","https://www.chloe.com/us/hand-bag_cod45661616ft.html","https://www.chloe.com/product_image/45661616FT/f/w282.jpg","bags.html"
"45661614DK","Marcie double carry bag","2690","70","2300/32341","Bags","Hand bag","2300","32341","Cashmere Grey","23851","2690","2690","2690.0","2690.0","1","","True","searchresult","https://www.chloe.com/us/hand-bag_cod45661614dk.html","https://www.chloe.com/product_image/45661614DK/f/w282.jpg","bags.html"
"45661613OG","Marcie double carry bag","2690","71","2300/32341","Bags","Hand bag","2300","32341","Black","23387","2690","2690","2690.0","2690.0","1","","True","searchresult","https://www.chloe.com/us/hand-bag_cod45661613og.html","https://www.chloe.com/product_image/45661613OG/f/w282.jpg","bags.html"
"45660620DN","Marcie double carry bag","2690","72","2300/32341","Bags","Hand bag","2300","32341","Light Tan","23827","2690","2690","2690.0","2690.0","1","","True","searchresult","https://www.chloe.com/us/hand-bag_cod45660620dn.html","https://www.chloe.com/product_image/45660620DN/f/w282.jpg","bags.html"
"45851868SR","Penelope small soft shoulder bag","2590","73","2300/29809","Bags","Shoulder bag","2300","29809","Light Gold","8605","2590","2590","2590.0","2590.0","1","","True","searchresult","https://www.chloe.com/us/shoulder-bag_cod45851868sr.html","https://www.chloe.com/product_image/45851868SR/f/w282.jpg","bags.html"
"45823310EN","Penelope small top handle bag","2590","74","2300/29809","Bags","Shoulder bag","2300","29809","DESERT BEIGE","39204","2590","1554","2590.0","1554.0","1","","True","searchresult","https://www.chloe.com/us/shoulder-bag_cod45823310en.html","https://www.chloe.com/product_image/45823310EN/f/w282.jpg","bags.html"
"45823285UE","Small Tess bag","2550","75","2300/29809","Bags","Shoulder bag","2300","29809","ARGIL BROWN","26098","2550","1785","2550.0","1785.0","1","","True","searchresult","https://www.chloe.com/us/shoulder-bag_cod45823285ue.html","https://www.chloe.com/product_image/45823285UE/f/w282.jpg","bags.html"
"45800297TP","Penelope small top handle bag","2590","76","2300/29809","Bags","Shoulder bag","2300","29809","","","2590","1554","2590.0","1554.0","1","","True","searchresult","https://www.chloe.com/us/shoulder-bag_cod45800297tp.html","https://www.chloe.com/product_image/45800297TP/f/w282.jpg","bags.html"
"45779110XR","Penelope small top handle bag","2590","77","2300/29809","Bags","Shoulder bag","2300","29809","Black","23387","2590","2590","2590.0","2590.0","1","","True","searchresult","https://www.chloe.com/us/shoulder-bag_cod45779110xr.html","https://www.chloe.com/product_image/45779110XR/f/w282.jpg","bags.html"
"45741247VD","Penelope clutch","2590","78","2300/29811","Bags","Clutches and Evening bags","2300","29811","Caramel","23831","2590","2590","2590.0","2590.0","1","","True","searchresult","https://www.chloe.com/us/clutches-and-evening-bags_cod45741247vd.html","https://www.chloe.com/product_image/45741247VD/f/w282.jpg","bags.html"
"45741246BI","Penelope clutch","2590","79","2300/29811","Bags","Clutches and Evening bags","2300","29811","White","23388","2590","2590","2590.0","2590.0","1","","True","searchresult","https://www.chloe.com/us/clutches-and-evening-bags_cod45741246bi.html","https://www.chloe.com/product_image/45741246BI/f/w282.jpg","bags.html"
"45736385CC","Penelope clutch","2590","80","2300/29811","Bags","Clutches and Evening bags","2300","29811","Black","23387","2590","2590","2590.0","2590.0","1","","True","searchresult","https://www.chloe.com/us/clutches-and-evening-bags_cod45736385cc.html","https://www.chloe.com/product_image/45736385CC/f/w282.jpg","bags.html"
"45823312GM","Small Mony tote bag","2490","81","2300/29810","Bags","Tote bag","2300","29810","MIDNIGHT BLUE","62456","2490","2490","2490.0","2490.0","1","","True","searchresult","https://www.chloe.com/us/tote-bag_cod45823312gm.html","https://www.chloe.com/product_image/45823312GM/f/w282.jpg","bags.html"
"45823296QG","Large Woody tote bag","2590","82","2300/29810","Bags","Tote bag","2300","29810","DARK NUT","62442","2590","1814","2590.0","1814.0","1","","True","searchresult","https://www.chloe.com/us/tote-bag_cod45823296qg.html","https://www.chloe.com/product_image/45823296QG/f/w282.jpg","bags.html"
"45823295TQ","Large Woody tote bag","2590","83","2300/29810","Bags","Tote bag","2300","29810","Black","23387","2590","1814","2590.0","1814.0","1","","True","searchresult","https://www.chloe.com/us/tote-bag_cod45823295tq.html","https://www.chloe.com/product_image/45823295TQ/f/w282.jpg","bags.html"
"45822934PO","Small Mony tote bag","2490","84","2300/29810","Bags","Tote bag","2300","29810","STORM BLUE","62268","2490","1744","2490.0","1744.0","1","","True","searchresult","https://www.chloe.com/us/tote-bag_cod45822934po.html","https://www.chloe.com/product_image/45822934PO/f/w282.jpg","bags.html"
"45779115VK","Small Mony tote bag","2490","85","2300/29810","Bags","Tote bag","2300","29810","Caramel","23831","2490","2490","2490.0","2490.0","1","","True","searchresult","https://www.chloe.com/us/tote-bag_cod45779115vk.html","https://www.chloe.com/product_image/45779115VK/f/w282.jpg","bags.html"
"45779113KK","Small Mony tote bag","2490","86","2300/29810","Bags","Tote bag","2300","29810","Black","23387","2490","2490","2490.0","2490.0","1","","True","searchresult","https://www.chloe.com/us/tote-bag_cod45779113kk.html","https://www.chloe.com/product_image/45779113KK/f/w282.jpg","bags.html"
"45711456HF","Marcie double carry bag","2490","87","2300/32341","Bags","Hand bag","2300","32341","DEEP DENIM","39202","2490","2490","2490.0","2490.0","1","","True","searchresult","https://www.chloe.com/us/hand-bag_cod45711456hf.html","https://www.chloe.com/product_image/45711456HF/f/w282.jpg","bags.html"
"45711454WE","Marcie double carry bag","2490","88","2300/32341","Bags","Hand bag","2300","32341","","","2490","2490","2490.0","2490.0","1","","True","searchresult","https://www.chloe.com/us/hand-bag_cod45711454we.html","https://www.chloe.com/product_image/45711454WE/f/w282.jpg","bags.html"
"45863420GN","Small Tess bag in shiny & suede leather","2450","89","2300/29809","Bags","Shoulder bag","2300","29809","Burnt Brown","15236","2450","2450","2450.0","2450.0","1","","True","searchresult","https://www.chloe.com/us/shoulder-bag_cod45863420gn.html","https://www.chloe.com/product_image/45863420GN/f/w282.jpg","bags.html"
"45863418WR","Small Tess bag in shiny & suede leather","2450","90","2300/29809","Bags","Shoulder bag","2300","29809","Dark Khaki","23668","2450","2450","2450.0","2450.0","1","","True","searchresult","https://www.chloe.com/us/shoulder-bag_cod45863418wr.html","https://www.chloe.com/product_image/45863418WR/f/w282.jpg","bags.html"
"45855493ET","Marcie hobo bag","2390","91","2300/32341","Bags","Hand bag","2300","32341","Motty Grey","23855","2390","2390","2390.0","2390.0","1","","True","searchresult","https://www.chloe.com/us/hand-bag_cod45855493et.html","https://www.chloe.com/product_image/45855493ET/f/w282.jpg","bags.html"
"45851875QI","Marcie hobo bag","2390","92","2300/32341","Bags","Hand bag","2300","32341","Tan","23804","2390","2390","2390.0","2390.0","1","","True","searchresult","https://www.chloe.com/us/hand-bag_cod45851875qi.html","https://www.chloe.com/product_image/45851875QI/f/w282.jpg","bags.html"
"45851874GW","Marcie hobo bag","2390","93","2300/32341","Bags","Hand bag","2300","32341","HOT SAND","42830","2390","2390","2390.0","2390.0","1","","True","searchresult","https://www.chloe.com/us/hand-bag_cod45851874gw.html","https://www.chloe.com/product_image/45851874GW/f/w282.jpg","bags.html"
"45851848MR","Marcie hobo bag","2390","94","2300/32341","Bags","Hand bag","2300","32341","MISTY IVORY","42643","2390","2390","2390.0","2390.0","1","","True","searchresult","https://www.chloe.com/us/hand-bag_cod45851848mr.html","https://www.chloe.com/product_image/45851848MR/f/w282.jpg","bags.html"
