"Cod10","Title","Price","position","category","macro_category","micro_category","macro_category_id","micro_category_id","color","color_id","product_price","discountedPrice","price_tf","discountedPrice_tf","quantity","coupon","is_in_stock","list","url","img_src","filename"
"15326247RG","Short tunic dress","1290","343","2298/29827","Ready-to-wear","Dresses","2298","29827","Iconic Milk","1244","1290","645","1290.0","645.0","1","","True","searchresult","https://www.chloe.com/us/dresses_cod15326247rg.html","https://www.chloe.com/product_image/15326247RG/f/w282.jpg","clothing.html"
"10290115DD","Wing-sleeve top","1290","344","2298/29768","Ready-to-wear","Top","2298","29768","Barley Brown","14716","1290","645","1290.0","645.0","1","","True","searchresult","https://www.chloe.com/us/top_cod10290115dd.html","https://www.chloe.com/product_image/10290115DD/f/w282.jpg","clothing.html"
"10290114VK","Wing-sleeve top","1290","345","2298/29768","Ready-to-wear","Top","2298","29768","Eden White","7355","1290","645","1290.0","645.0","1","","True","searchresult","https://www.chloe.com/us/top_cod10290114vk.html","https://www.chloe.com/product_image/10290114VK/f/w282.jpg","clothing.html"
"10212835VH","Balloon-sleeve top","1290","346","2298/29768","Ready-to-wear","Top","2298","29768","OBSCURE KHAKI","36039","1290","645","1290.0","645.0","1","","True","searchresult","https://www.chloe.com/us/top_cod10212835vh.html","https://www.chloe.com/product_image/10212835VH/f/w282.jpg","clothing.html"
"10212834MS","Balloon-sleeve top","1290","347","2298/29768","Ready-to-wear","Top","2298","29768","Black","23387","1290","645","1290.0","645.0","1","","True","searchresult","https://www.chloe.com/us/top_cod10212834ms.html","https://www.chloe.com/product_image/10212834MS/f/w282.jpg","clothing.html"
"10212828LO","Knot-detail top","1290","348","2298/29768","Ready-to-wear","Top","2298","29768","Buttercream","12777","1290","645","1290.0","645.0","1","","True","searchresult","https://www.chloe.com/us/top_cod10212828lo.html","https://www.chloe.com/product_image/10212828LO/f/w282.jpg","clothing.html"
"12981525KX","Puff-sleeve blouse","1250","349","2298/29768","Ready-to-wear","Top","2298","29768","White","23388","1250","625","1250.0","625.0","1","","True","searchresult","https://www.chloe.com/us/top_cod12981525kx.html","https://www.chloe.com/product_image/12981525KX/f/w282.jpg","clothing.html"
"10212832HJ","Scarf blouse","1250","350","2298/29768","Ready-to-wear","Top","2298","29768","Buttercream","12777","1250","625","1250.0","625.0","1","","True","searchresult","https://www.chloe.com/us/top_cod10212832hj.html","https://www.chloe.com/product_image/10212832HJ/f/w282.jpg","clothing.html"
"10212830CI","Flowy blouse","1250","351","2298/29768","Ready-to-wear","Top","2298","29768","Buttercream","12777","1250","625","1250.0","625.0","1","","True","searchresult","https://www.chloe.com/us/top_cod10212830ci.html","https://www.chloe.com/product_image/10212830CI/f/w282.jpg","clothing.html"
"10212823CV","Patchwork denim shirt","1250","352","2298/29768","Ready-to-wear","Top","2298","29768","MULTICOLOR BLUE 1","21182","1250","625","1250.0","625.0","1","","True","searchresult","https://www.chloe.com/us/top_cod10212823cv.html","https://www.chloe.com/product_image/10212823CV/f/w282.jpg","clothing.html"
